Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,C. Newton QB - NE ,37.98,P. Rivers QB - IND ,10.36,E. Elliott RB - DAL ,13.60,L. Fournette RB - TB ,3.70,M. Evans WR - TB ,6.10,C. Ridley WR - ATL ,6.60,G. Kittle TE - SF ,10.30,T. Hilton WR - IND ,12.20,M. Crosby K - GB ,5.00,Patriots DEF ,10.00,J. Cook TE - NO ,12.30,R. Gronkowski TE - TB ,3.90,L. Murray RB - NO Q ,0.00,E. Ebron TE - PIT Q ,0.00,C. Wentz QB - PHI ,0.00,D. Cook RB - MIN ,0.00,D. Slayton WR - NYG ,3.20,H. Butker K - KC ,3.00,-,-,-,-,115.84,LeMar,141.72
Dannye Van,2,L. Jackson QB - BAL Q ,24.22,J. Hurts QB - PHI ,16.28,A. Jones RB - GB Q ,16.50,J. Jacobs RB - LV ,20.90,D. Johnson WR - PIT ,11.10,D. Metcalf WR - SEA ,3.60,N. Fant TE - DEN ,6.80,A. Robinson WR - CHI ,4.70,Y. Koo K - ATL ,9.00,Chiefs DEF ,0.00,D. Hopkins WR - ARI ,5.50,M. Davis RB - CAR Q ,0.00,D. Booker RB - LV ,1.60,T. Hill WR - KC ,0.00,K. Golladay WR - DET Q ,0.00,J. Williams RB - GB ,2.60,Browns DEF ,4.00,M. Thomas WR - NO Q ,0.00,-,-,-,-,113.10,Quinten,86.18
Tilly,4,B. Mayfield QB - CLE ,16.24,J. Herbert QB - LAC ,32.98,N. Chubb RB - CLE ,16.80,M. Gaskin RB - MIA ,15.70,C. Davis WR - TEN ,6.40,C. Godwin WR - TB ,27.80,L. Thomas TE - WAS ,11.20,N. Hines RB - IND ,9.70,R. Blankenship K - IND ,8.00,Colts DEF ,11.00,L. Bell RB - KC ,0.00,T. Kelce TE - KC ,0.00,R. Higgins WR - CLE ,6.50,J. Conner RB - PIT ,8.70,J. Smith-Schuster WR - PIT ,15.50,J. Allen QB - BUF ,19.26,M. Sanders RB - PHI Q ,0.00,J. Dobbins RB - BAL ,28.00,-,-,-,-,155.82,bob,190.06
LeMar,6,D. Brees QB - NO ,20.04,M. Trubisky QB - CHI ,10.28,K. Drake RB - ARI ,6.60,D. Henry RB - TEN ,35.00,J. Landry WR - CLE ,13.90,D. Adams WR - GB ,13.60,D. Waller TE - LV ,22.20,R. Woods WR - LA ,5.60,D. Bailey K - MIN ,6.50,Packers DEF ,8.00,M. Ryan QB - ATL ,22.70,A. Green WR - CIN ,0.00,M. Jones WR - DET ,34.00,K. Allen WR - LAC ,0.00,J. White RB - NE ,11.10,T. Higbee TE - LA ,5.60,E. Engram TE - NYG ,2.70,J. Elliott K - PHI ,2.00,T. Cohen RB - CHI IR ,0.00,S. Barkley RB - NYG IR ,0.00,141.72,Will,115.84
Quinten,1,A. Rodgers QB - GB ,26.00,K. Murray QB - ARI Q ,3.78,C. Carson RB - SEA ,9.30,J. Robinson RB - JAX Q ,0.00,B. Cooks WR - HOU ,34.10,C. Kupp WR - LA Q ,0.00,H. Henry TE - LAC ,0.00,B. Aiyuk WR - SF Q ,0.00,J. Tucker K - BAL ,8.00,Steelers DEF ,5.00,R. Mostert RB - SF IR ,0.00,J. Goff QB - LA ,0.00,M. Gallup WR - DAL ,6.90,C. Kirk WR - ARI ,0.00,B. Scott RB - PHI ,8.90,D. Singletary RB - BUF ,1.80,D. Carlson K - LV ,6.00,Seahawks DEF ,6.00,O. Beckham WR - CLE IR ,0.00,-,-,86.18,Dannye Van,113.10
bob,5,T. Brady QB - TB ,30.26,D. Watson QB - HOU ,25.80,D. Montgomery RB - CHI ,23.70,D. Swift RB - DET ,14.50,A. Brown WR - TB ,31.30,A. Thielen WR - MIN ,7.70,R. Tonyan TE - GB ,8.80,D. Johnson RB - HOU ,19.50,J. Sanders K - MIA ,8.00,Rams DEF ,20.50,K. Cousins QB - MIN ,34.30,S. Diggs WR - BUF ,11.10,T. Boyd WR - CIN ,1.70,R. Anderson WR - CAR ,5.50,W. Gallman RB - NYG ,6.50,C. McCaffrey RB - CAR Q ,0.00,A. Mattison RB - MIN ,28.00,C. Akers RB - LA ,8.60,D. Prescott QB - DAL IR ,0.00,-,-,190.06,Tilly,155.82
the old man,7,T. Bridgewater QB - CAR Q ,3.74,D. Carr QB - LV ,20.94,A. Ekeler RB - LAC Q ,14.10,J. Taylor RB - IND ,37.90,D. Moore WR - CAR ,12.60,J. Jefferson WR - MIN ,17.80,T. Hockenson TE - DET ,4.00,A. Gibson RB - WAS ,8.60,W. Lutz K - NO ,8.50,Ravens DEF ,12.00,A. Cooper WR - DAL Q ,7.10,K. Hunt RB - CLE ,4.60,P. Mahomes QB - KC Q ,0.00,A. Lazard WR - GB ,2.70,D. Goedert TE - PHI Q ,0.00,C. Lamb WR - DAL ,7.10,C. Edwards-Helaire RB - KC ,0.00,C. Claypool WR - PIT ,18.60,-,-,-,-,140.18,Jeff,111.08
Jeff,3,R. Tannehill QB - TEN ,28.44,R. Wilson QB - SEA ,18.14,M. Gordon RB - DEN ,19.00,A. Kamara RB - NO ,0.00,C. Beasley WR - BUF Q ,0.00,A. Brown WR - TEN Q ,26.10,M. Andrews TE - BAL ,4.70,G. Bernard RB - CIN ,0.70,T. Bass K - BUF ,8.00,Buccaneers DEF ,6.00,M. Stafford QB - DET ,22.62,J. Jones WR - ATL Q ,0.00,T. Lockett WR - SEA ,27.00,J. Mixon RB - CIN IR ,0.00,H. Hurst TE - ATL ,10.80,R. Jones RB - TB ,13.80,Bears DEF ,0.00,Dolphins DEF ,1.00,-,-,-,-,111.08,the old man,140.18
