Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,C. Newton QB - NE ,23.56,P. Rivers QB - IND ,19.20,E. Elliott RB - DAL ,11.50,D. Cook RB - MIN ,20.90,T. Hilton WR - IND ,21.00,C. Ridley WR - ATL ,13.30,E. Ebron TE - PIT Q ,10.30,L. Murray RB - NO Q ,2.70,H. Butker K - KC ,16.00,Patriots DEF ,30.00,J. Cook TE - NO ,10.30,R. Gronkowski TE - TB ,0.00,M. Evans WR - TB ,0.00,C. Wentz QB - PHI ,4.96,L. Fournette RB - TB ,0.00,G. Kittle TE - SF ,0.00,D. Slayton WR - NYG ,1.90,M. Crosby K - GB ,5.50,-,-,-,-,168.46,the old man,139.76
Dannye Van,2,B. Roethlisberger QB - PIT ,18.20,L. Jackson QB - BAL Q ,25.68,D. Booker RB - LV ,5.60,A. Jones RB - GB Q ,22.30,T. Hill WR - KC ,11.80,D. Metcalf WR - SEA ,10.50,N. Fant TE - DEN ,7.70,A. Robinson WR - CHI ,10.50,Y. Koo K - ATL ,12.00,Saints DEF ,8.00,R. Fitzpatrick QB - MIA ,0.00,D. Hopkins WR - ARI ,15.20,M. Davis RB - CAR Q ,0.00,M. Thomas WR - NO Q ,15.00,K. Golladay WR - DET Q ,0.00,J. Williams RB - GB ,4.60,J. Jacobs RB - LV ,0.00,D. Johnson WR - PIT ,17.10,-,-,-,-,132.28,Jeff,118.78
Tilly,4,J. Allen QB - BUF ,30.10,J. Herbert QB - LAC ,4.36,N. Chubb RB - CLE ,17.10,M. Gaskin RB - MIA ,13.10,D. Parker WR - MIA ,5.50,T. McLaurin WR - WAS ,2.40,T. Kelce TE - KC ,23.60,M. Sanders RB - PHI Q ,3.10,R. Blankenship K - IND ,6.00,Colts DEF ,14.00,T. Gurley RB - ATL ,2.50,C. Godwin WR - TB ,0.00,J. Smith-Schuster WR - PIT ,6.30,T. Hill QB - NO Q ,23.58,N. Hines RB - IND ,10.70,D. Samuel WR - SF Q ,10.60,J. Dobbins RB - BAL ,13.10,M. Pittman WR - IND ,7.10,J. Conner RB - PIT ,0.00,-,-,119.26,LeMar,150.80
LeMar,6,M. Ryan QB - ATL ,12.92,M. Trubisky QB - CHI ,13.28,K. Drake RB - ARI ,12.80,D. Henry RB - TEN ,5.40,R. Woods WR - LA ,13.50,D. Adams WR - GB ,29.10,D. Waller TE - LV ,38.50,K. Allen WR - LAC ,7.30,D. Bailey K - MIN ,6.00,Packers DEF ,12.00,A. Green WR - CIN ,0.00,D. Brees QB - NO ,0.00,M. Jones WR - DET ,21.60,J. Landry WR - CLE ,16.44,J. White RB - NE ,1.60,T. Higbee TE - LA ,10.40,E. Engram TE - NYG ,5.20,J. Elliott K - PHI ,5.50,T. Cohen RB - CHI IR ,0.00,S. Barkley RB - NYG IR ,0.00,150.80,Tilly,119.26
Quinten,1,A. Rodgers QB - GB ,23.50,K. Murray QB - ARI Q ,16.42,C. Carson RB - SEA ,18.50,J. Robinson RB - JAX Q ,19.80,B. Cooks WR - HOU ,9.00,C. Kupp WR - LA Q ,11.30,H. Henry TE - LAC ,1.00,D. Henderson RB - LA IR ,14.40,J. Tucker K - BAL ,10.00,Steelers DEF ,4.50,R. Mostert RB - SF IR ,4.80,J. Goff QB - LA ,24.14,M. Gallup WR - DAL ,18.10,C. Kirk WR - ARI ,0.70,B. Scott RB - PHI ,0.90,D. Singletary RB - BUF ,9.80,D. Carlson K - LV ,7.00,Seahawks DEF ,10.00,O. Beckham WR - CLE IR ,0.00,B. Aiyuk WR - SF Q ,18.00,128.42,bob,161.74
bob,5,K. Cousins QB - MIN ,21.40,D. Watson QB - HOU ,19.44,W. Gallman RB - NYG ,13.50,D. Montgomery RB - CHI ,25.10,A. Thielen WR - MIN ,17.50,S. Diggs WR - BUF ,14.20,R. Tonyan TE - GB ,11.90,T. Boyd WR - CIN ,13.70,J. Sanders K - MIA ,13.00,Rams DEF ,12.00,T. Brady QB - TB ,0.00,A. Brown WR - TB ,0.00,R. Anderson WR - CAR ,0.00,C. McCaffrey RB - CAR Q ,0.00,S. Michel RB - NE ,6.30,D. Swift RB - DET ,0.00,C. Akers RB - LA ,15.90,Buccaneers DEF ,0.00,D. Johnson RB - HOU ,10.40,D. Prescott QB - DAL IR ,0.00,161.74,Quinten,128.42
the old man,7,D. Carr QB - LV ,31.74,P. Mahomes QB - KC Q ,19.32,A. Ekeler RB - LAC Q ,8.80,A. Gibson RB - WAS ,1.40,A. Cooper WR - DAL Q ,13.80,J. Jefferson WR - MIN ,22.80,T. Hockenson TE - DET ,11.90,J. Taylor RB - IND ,21.00,W. Lutz K - NO ,3.00,Ravens DEF ,6.00,T. Bridgewater QB - CAR Q ,0.00,K. Hunt RB - CLE ,7.20,J. Smith TE - TEN ,0.00,A. Lazard WR - GB ,6.50,D. Moore WR - CAR ,0.00,C. Lamb WR - DAL ,7.60,C. Edwards-Helaire RB - KC ,0.00,C. Claypool WR - PIT ,4.80,-,-,-,-,139.76,Will,168.46
Jeff,3,R. Tannehill QB - TEN ,27.56,R. Wilson QB - SEA ,15.02,M. Gordon RB - DEN ,14.70,A. Kamara RB - NO ,16.70,J. Jones WR - ATL Q ,12.40,A. Brown WR - TEN Q ,8.70,H. Hurst TE - ATL ,1.40,T. Lockett WR - SEA ,9.30,T. Bass K - BUF ,10.00,Bears DEF ,3.00,M. Stafford QB - DET ,26.08,C. Beasley WR - BUF Q ,23.50,G. Bernard RB - CIN ,3.90,J. Mixon RB - CIN IR ,0.00,R. Jones RB - TB ,0.00,M. Andrews TE - BAL ,0.00,S. Ahmed RB - MIA ,0.00,Dolphins DEF ,15.00,-,-,-,-,118.78,Dannye Van,132.28
