Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,6,J. Garoppolo QB - SF IR ,-0.92,G. Minshew QB - JAX ,19.84,L. Murray RB - NO Q ,6.70,E. Elliott RB - DAL ,23.00,C. Ridley WR - ATL ,17.60,D. Metcalf WR - SEA ,24.30,R. Gronkowski TE - TB ,6.70,M. Evans WR - TB ,12.60,H. Butker K - KC ,6.00,Cowboys DEF ,10.00,J. Cook TE - NO ,12.20,T. Hilton WR - IND ,9.90,C. Wentz QB - PHI ,17.42,J. Howard RB ,0.00,L. Fournette RB - TB ,0.00,A. Jones RB - GB Q ,0.00,D. Slayton WR - NYG ,16.90,Patriots DEF ,0.00,C. Newton QB - NE ,0.00,-,-,125.82,Quinten,146.06
Dannye Van,3,B. Roethlisberger QB - PIT ,21.36,J. Allen QB - BUF ,16.32,M. Davis RB - CAR Q ,25.40,J. Robinson RB - JAX Q ,7.50,T. Hill WR - KC ,16.80,D. Chark WR - JAX Q ,3.10,E. Ebron TE - PIT Q ,4.80,D. Cook RB - MIN ,17.40,G. Zuerlein K - DAL ,13.00,Colts DEF ,12.50,R. Fitzpatrick QB - MIA ,27.60,D. Johnson RB - HOU ,11.30,M. Thomas WR - NO Q ,0.00,J. Jacobs RB - LV ,21.50,M. Brown WR - BAL ,16.80,N. Fant TE - DEN ,0.00,D. Johnson WR - PIT ,0.30,J. Jefferson WR - MIN ,3.80,-,-,-,-,138.18,the old man,145.02
Tilly,4,L. Jackson QB - BAL Q ,13.50,J. Herbert QB - LAC ,27.36,J. Conner RB - PIT ,13.80,A. Gibson RB - WAS ,7.60,D. Hopkins WR - ARI ,22.10,R. Anderson WR - CAR ,15.50,T. Kelce TE - KC ,20.80,T. McLaurin WR - WAS ,4.10,R. Blankenship K - IND ,11.00,Cardinals DEF ,8.00,T. Brady QB - TB ,14.12,T. Gurley RB - ATL ,23.00,T. Boyd WR - CIN ,6.20,C. Godwin WR - TB ,0.00,H. Hurst TE - ATL ,1.80,M. Gaskin RB - MIA ,17.60,J. Dobbins RB - BAL ,7.00,J. Jeudy WR - DEN ,0.00,-,-,-,-,143.76,bob,109.96
LeMar,8,M. Ryan QB - ATL ,6.94,D. Brees QB - NO ,21.10,K. Drake RB - ARI ,12.70,D. Henry RB - TEN ,18.80,K. Allen WR - LAC ,9.90,R. Woods WR - LA ,15.10,T. Higbee TE - LA ,2.20,D. Waller TE - LV ,13.30,J. Elliott K - PHI ,3.00,49ers DEF ,-1.00,A. Green WR - CIN ,0.00,M. Jones WR - DET ,0.00,J. Landry WR - CLE ,10.80,D. Adams WR - GB ,0.00,J. White RB - NE ,0.00,E. Engram TE - NYG ,9.00,T. Cohen RB - CHI IR ,0.00,S. Barkley RB - NYG IR ,0.00,-,-,-,-,102.04,Jeff,148.48
Quinten,2,J. Goff QB - LA ,24.36,K. Murray QB - ARI Q ,26.30,C. Carson RB - SEA ,16.90,M. Sanders RB - PHI Q ,22.90,A. Robinson WR - CHI ,14.00,C. Kupp WR - LA Q ,9.10,Z. Ertz TE - PHI ,1.10,R. Mostert RB - SF IR ,13.40,J. Tucker K - BAL ,9.00,Steelers DEF ,9.00,P. Rivers QB - IND ,5.62,A. Rodgers QB - GB ,0.00,R. Burkhead RB - NE IR ,0.00,O. Beckham WR - CLE IR ,8.92,M. Alie-Cox TE - IND ,0.00,M. Gallup WR - DAL ,9.30,D. Singletary RB - BUF ,3.80,Rams DEF ,13.50,-,-,-,-,146.06,Will,125.82
bob,7,D. Prescott QB - DAL IR ,12.94,J. Burrow QB - CIN IR ,4.32,L. Bell RB - KC ,7.20,J. Kelley RB - LAC ,4.30,A. Thielen WR - MIN ,24.80,S. Diggs WR - BUF ,15.60,J. Graham TE - CHI ,10.80,D. Parker WR - MIA ,12.00,D. Carlson K - LV ,9.50,Buccaneers DEF ,8.50,M. Ingram RB - BAL ,5.70,J. McKinnon RB - SF ,1.50,K. Golladay WR - DET Q ,0.00,D. Watson QB - HOU ,24.86,J. Smith-Schuster WR - PIT ,4.80,R. Tonyan TE - GB ,0.00,N. Hines RB - IND ,4.00,D. Montgomery RB - CHI ,15.40,C. McCaffrey RB - CAR Q ,0.00,N. Chubb RB - CLE ,0.00,109.96,Tilly,143.76
the old man,5,T. Bridgewater QB - CAR Q ,20.82,P. Mahomes QB - KC Q ,29.70,J. Taylor RB - IND ,14.40,C. Edwards-Helaire RB - KC ,9.50,A. Cooper WR - DAL Q ,3.10,W. Fuller WR - HOU ,13.80,G. Kittle TE - SF ,6.40,K. Hunt RB - CLE ,16.80,R. Bullock K - CIN ,3.00,Ravens DEF ,27.50,S. Watkins WR - KC ,9.40,D. Carr QB - LV ,23.98,J. Brown WR - BUF ,0.00,J. Smith TE - TEN ,18.50,D. Moore WR - CAR ,17.30,C. Lamb WR - DAL ,16.40,B. Aiyuk WR - SF Q ,5.90,Chiefs DEF ,-1.00,A. Ekeler RB - LAC Q ,0.00,P. Campbell WR - IND IR ,0.00,145.02,Dannye Van,138.18
Jeff,1,R. Tannehill QB - TEN ,30.00,R. Wilson QB - SEA ,24.48,J. Mixon RB - CIN IR ,12.40,A. Kamara RB - NO ,15.90,T. Lockett WR - SEA ,6.40,A. Brown WR - TEN Q ,17.70,M. Andrews TE - BAL ,14.60,R. Jones RB - TB ,14.00,R. Gould K - SF ,5.00,Bears DEF ,8.00,M. Stafford QB - DET ,0.00,J. Edelman WR - NE IR ,0.00,J. Jones WR - ATL Q ,0.00,D. Freeman RB ,15.70,M. Gordon RB - DEN ,0.00,P. Lindsay RB - DEN IR ,0.00,M. Gesicki TE - MIA ,11.60,Bills DEF ,-3.00,-,-,-,-,148.48,LeMar,102.04
