Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,6,C. Newton QB - NE ,17.98,G. Minshew QB - JAX ,17.62,E. Elliott RB - DAL ,8.00,A. Jones RB - GB Q ,11.60,M. Evans WR - TB ,1.50,C. Ridley WR - ATL ,15.90,E. Ebron TE - PIT Q ,1.90,D. Slayton WR - NYG ,10.80,H. Butker K - KC ,7.50,Patriots DEF ,9.00,J. Cook TE - NO ,0.00,R. Gronkowski TE - TB ,16.30,T. Hilton WR - IND ,1.60,L. Murray RB - NO Q ,0.00,J. Garoppolo QB - SF IR ,23.52,C. Wentz QB - PHI ,29.42,L. Fournette RB - TB ,0.00,D. Metcalf WR - SEA ,0.00,-,-,-,-,101.80,the old man,148.74
Dannye Van,4,B. Roethlisberger QB - PIT ,10.98,R. Fitzpatrick QB - MIA ,16.04,M. Davis RB - CAR Q ,10.50,A. Mattison RB - MIN ,3.50,T. Hill WR - KC ,4.00,M. Brown WR - BAL ,7.70,T. Hockenson TE - DET ,8.70,J. Robinson RB - JAX Q ,13.30,G. Zuerlein K - DAL ,4.00,Football Team DEF ,6.00,J. Crowder WR - NYJ ,8.30,D. Johnson RB - HOU ,13.40,M. Thomas WR - NO Q ,0.00,D. Cook RB - MIN ,0.00,C. Edmonds RB - ARI ,3.40,J. Allen QB - BUF ,15.08,J. Jacobs RB - LV ,0.00,N. Fant TE - DEN ,0.00,-,-,-,-,84.72,Jeff,141.28
Tilly,3,T. Brady QB - TB ,14.64,L. Jackson QB - BAL Q ,28.24,T. Gurley RB - ATL ,8.20,J. Conner RB - PIT ,16.70,D. Hopkins WR - ARI ,8.30,R. Anderson WR - CAR ,9.70,T. Kelce TE - KC ,19.00,T. McLaurin WR - WAS ,10.90,R. Blankenship K - IND ,7.00,Cardinals DEF ,16.00,A. Hooper TE - CLE ,7.70,T. Boyd WR - CIN ,10.40,C. Godwin WR - TB ,7.30,M. Gaskin RB - MIA ,14.60,J. Dobbins RB - BAL ,3.90,J. Jeudy WR - DEN ,4.20,H. Ruggs WR - LV Q ,0.00,J. Herbert QB - LAC ,0.00,-,-,-,-,138.68,LeMar,133.64
LeMar,8,M. Ryan QB - ATL ,31.64,D. Brees QB - NO ,0.00,K. Drake RB - ARI ,28.40,D. Henry RB - TEN ,39.40,R. Woods WR - LA ,12.00,D. Adams WR - GB ,9.10,T. Higbee TE - LA ,7.10,K. Allen WR - LAC ,0.00,J. Elliott K - PHI ,0.00,49ers DEF ,6.00,A. Green WR - CIN ,13.60,M. Jones WR - DET ,1.80,J. Landry WR - CLE ,5.50,J. White RB - NE ,11.30,D. Waller TE - LV ,0.00,E. Engram TE - NYG ,4.00,T. Cohen RB - CHI IR ,0.00,S. Barkley RB - NYG IR ,0.00,-,-,-,-,133.64,Tilly,138.68
Quinten,2,A. Rodgers QB - GB ,3.80,K. Murray QB - ARI Q ,28.92,M. Sanders RB - PHI Q ,11.70,D. Singletary RB - BUF ,5.00,A. Robinson WR - CHI ,7.80,C. Kupp WR - LA Q ,2.60,Z. Ertz TE - PHI ,5.30,R. Mostert RB - SF IR ,8.60,J. Tucker K - BAL ,14.00,Steelers DEF ,19.50,R. Burkhead RB - NE IR ,1.40,O. Beckham WR - CLE IR ,3.50,J. Goff QB - LA ,14.92,M. Alie-Cox TE - IND ,0.00,C. Carson RB - SEA ,0.00,M. Gallup WR - DAL ,3.30,D. Henderson RB - LA IR ,9.20,Rams DEF ,1.00,-,-,-,-,107.22,bob,109.12
bob,7,D. Watson QB - HOU ,32.00,J. Burrow QB - CIN IR ,16.72,M. Ingram RB - BAL ,2.00,D. Montgomery RB - CHI ,11.70,A. Thielen WR - MIN ,12.60,S. Diggs WR - BUF ,13.60,R. Tonyan TE - GB ,4.00,D. Parker WR - MIA ,5.00,J. Sanders K - MIA ,6.00,Colts DEF ,5.50,J. Graham TE - CHI ,5.90,L. Bell RB - KC ,0.00,J. McKinnon RB - SF ,3.80,D. Prescott QB - DAL IR ,0.00,K. Golladay WR - DET Q ,12.50,J. Smith-Schuster WR - PIT ,1.60,S. Michel RB - NE ,0.00,J. Kelley RB - LAC ,0.00,C. McCaffrey RB - CAR Q ,0.00,N. Chubb RB - CLE ,0.00,109.12,Quinten,107.22
the old man,5,T. Bridgewater QB - CAR Q ,9.44,P. Mahomes QB - KC Q ,20.60,J. Taylor RB - IND ,13.50,C. Edwards-Helaire RB - KC ,18.90,A. Cooper WR - DAL Q ,17.40,W. Fuller WR - HOU ,21.30,G. Kittle TE - SF ,20.40,K. Hunt RB - CLE ,6.70,R. Bullock K - CIN ,11.00,Ravens DEF ,9.50,D. Carr QB - LV ,0.00,J. Brown WR - BUF ,0.00,J. Smith TE - TEN ,1.80,D. Moore WR - CAR ,11.80,C. Lamb WR - DAL ,9.90,B. Aiyuk WR - SF Q ,8.20,A. Gibson RB - WAS ,7.50,Chiefs DEF ,5.00,A. Ekeler RB - LAC Q ,0.00,P. Campbell WR - IND IR ,0.00,148.74,Will,101.80
Jeff,1,M. Stafford QB - DET ,12.32,R. Tannehill QB - TEN ,28.64,J. Mixon RB - CIN IR ,13.90,R. Jones RB - TB ,25.10,J. Edelman WR - NE IR ,3.32,J. Jones WR - ATL Q ,29.70,M. Andrews TE - BAL ,3.10,D. Freeman RB ,6.20,R. Gould K - SF ,6.00,Bears DEF ,13.00,R. Wilson QB - SEA ,0.00,T. Lockett WR - SEA ,0.00,M. Gordon RB - DEN ,0.00,A. Kamara RB - NO ,0.00,P. Lindsay RB - DEN IR ,10.10,M. Gesicki TE - MIA ,0.00,A. Brown WR - TEN Q ,20.30,Bills DEF ,3.00,-,-,-,-,141.28,Dannye Van,84.72
