Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,5,M. Stafford QB - DET ,23.38,J. Brissett QB - IND ,9.48,A. Jones RB - GB ,38.10,S. Michel RB - NE ,7.40,D. Hopkins WR - HOU ,16.40,C. Davis WR - TEN ,1.90,E. Ebron TE - IND ,4.10,J. Conner RB - PIT ,22.50,H. Butker K - KC ,6.00,Redskins DEF ,8.00,J. Graham TE - GB ,3.50,A. Green WR - CIN ,0.00,G. Olsen TE - CAR ,2.30,F. Gore RB - BUF ,3.40,A. Thielen WR - MIN ,0.00,T. Cohen RB - CHI ,6.10,L. Jackson QB - BAL ,0.00,M. Brown WR - BAL ,0.00,D. Guice RB - WAS ,0.00,-,-,137.26,Dannye Van,173.22
Dannye Van,1,D. Brees QB - NO ,24.92,K. Cousins QB - MIN ,11.60,D. Freeman RB - ATL ,12.20,D. Cook RB - MIN ,25.60,M. Evans WR - TB ,37.30,M. Thomas WR - NO ,21.80,D. Waller TE - LV ,8.10,A. Ekeler RB - LAC ,9.20,R. Gould K - SF ,9.00,Vikings DEF ,13.50,M. Sanu WR - NE ,3.30,T. Kelce TE - KC ,14.30,J. White RB - NE ,9.90,M. Gallup WR - DAL ,0.00,D. Moore WR - CAR ,6.30,S. Darnold QB - NYJ ,12.62,J. Jacobs RB - LV ,9.10,J. Tucker K - BAL ,0.00,J. Gordon WR - SEA ,0.00,-,-,173.22,Will,137.26
Tilly,8,J. Goff QB - LA ,22.88,G. Minshew QB - JAX ,23.96,M. Gordon RB - LAC ,10.40,N. Chubb RB - CLE ,10.30,B. Cooks WR - LA ,0.00,D. Metcalf WR - SEA ,14.80,G. Everett TE - LA ,2.50,L. McCoy RB - KC ,6.30,M. Crosby K - GB ,7.00,Steelers DEF ,15.50,A. Jeffery WR - PHI ,8.40,D. Adams WR - GB ,0.00,J. Brown WR - BUF ,7.90,E. Elliott RB - DAL ,0.00,D. Prescott QB - DAL ,0.00,T. Hockenson TE - DET ,2.60,D. Singletary RB - BUF ,12.90,Colts DEF ,8.50,-,-,-,-,113.64,Quinten,164.66
LeMar,7,M. Ryan QB - ATL ,0.00,A. Dalton QB - CIN ,17.66,D. Henry RB - TEN ,6.80,P. Lindsay RB - DEN ,10.10,M. Jones WR - DET ,4.20,T. Boyd WR - CIN ,9.80,G. Kittle TE - SF ,11.60,S. Barkley RB - NYG ,24.30,G. Zuerlein K - LA ,6.00,Bears DEF ,6.00,T. Ginn WR - NO ,5.20,S. Watkins WR - KC ,7.00,O. Beckham WR - CLE ,7.70,R. Anderson WR - NYJ ,6.30,O. Howard TE - TB ,0.00,K. Johnson RB - DET ,0.00,B. Mayfield QB - CLE ,11.56,K. Ballage RB - MIA ,2.40,-,-,-,-,96.46,bob,152.56
Quinten,3,T. Brady QB - NE ,18.36,A. Rodgers QB - GB ,27.10,M. Mack RB - IND ,15.50,M. Sanders RB - PHI ,21.30,A. Robinson WR - CHI ,8.70,C. Kupp WR - LA ,31.50,Z. Ertz TE - PHI ,3.00,R. Woods WR - LA ,5.20,A. Vinatieri K - IND ,12.50,Patriots DEF ,21.50,D. Jackson WR - PHI ,0.00,C. Newton QB - CAR ,0.00,M. Ingram RB - BAL ,0.00,K. Allen WR - LAC ,8.80,V. McDonald TE - PIT ,3.40,D. Johnson RB - ARI ,0.00,P. Barber RB - TB ,3.30,M. Gay K - TB ,9.00,-,-,-,-,164.66,Tilly,113.64
bob,2,D. Watson QB - HOU ,27.76,K. Murray QB - ARI ,10.10,C. McCaffrey RB - CAR ,25.50,C. Carson RB - SEA ,15.00,C. Godwin WR - TB ,8.30,D. Chark WR - JAX ,16.90,A. Hooper TE - ATL ,15.50,L. Bell RB - NYJ ,5.00,J. Lambo K - JAX ,10.50,49ers DEF ,18.00,L. Murray RB - NO ,32.20,J. Winston QB - TB ,19.34,T. Coleman RB - SF ,36.80,T. Hill WR - KC ,11.10,K. Golladay WR - DET ,25.30,C. Sutton WR - DEN ,8.70,T. McLaurin WR - WAS ,5.90,D. Henderson RB - LA ,7.90,-,-,-,-,152.56,LeMar,96.46
the old man,4,C. Wentz QB - PHI ,14.38,J. Allen QB - BUF ,17.26,L. Fournette RB - JAX ,17.10,T. Johnson RB - DET ,4.30,J. Jones WR - ATL ,20.20,J. Smith-Schuster WR - PIT ,18.80,E. Engram TE - NYG ,12.00,T. Hilton WR - IND ,6.40,Z. Gonzalez K - ARI ,11.00,Titans DEF ,12.00,J. Edelman WR - NE ,23.50,E. Sanders WR - SF ,10.50,C. Hyde RB - HOU ,8.30,P. Mahomes QB - KC ,0.00,C. Edmonds RB - ARI ,2.30,C. Ridley WR - ATL ,11.00,M. Andrews TE - BAL ,0.00,D. Montgomery RB - CHI ,22.70,-,-,-,-,133.44,Jeff,101.12
Jeff,6,P. Rivers QB - LAC ,10.04,R. Wilson QB - SEA ,15.68,T. Gurley RB - LA ,10.40,J. Mixon RB - CIN ,15.70,T. Lockett WR - SEA ,13.00,S. Diggs WR - MIN ,15.80,H. Henry TE - LAC ,6.70,L. Fitzgerald WR - ARI ,1.80,W. Lutz K - NO ,7.00,Packers DEF ,5.00,G. Tate WR - NYG ,12.50,T. Bridgewater QB - NO ,-0.20,J. Landry WR - CLE ,9.00,M. Brown RB - LA ,0.00,A. Cooper WR - DAL ,0.00,W. Fuller WR - HOU ,0.00,A. Kamara RB - NO ,0.00,Rams DEF ,10.00,K. Hunt RB - CLE ,0.00,D. Njoku TE - CLE ,0.00,101.12,the old man,133.44
