Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,J. Brissett QB - IND ,10.94,L. Jackson QB - BAL ,11.44,J. Conner RB - PIT ,11.50,A. Jones RB - GB ,45.70,D. Hopkins WR - HOU ,12.30,M. Brown WR - BAL ,9.70,E. Ebron TE - IND ,1.30,A. Thielen WR - MIN ,28.50,H. Butker K - KC ,7.00,Buccaneers DEF ,1.00,M. Stafford QB - DET ,0.00,J. Graham TE - GB ,5.60,A. Green WR - CIN ,0.00,G. Olsen TE - CAR ,0.00,F. Gore RB - BUF ,7.90,A. Brown WR ,0.00,T. Cohen RB - CHI ,7.90,S. Michel RB - NE ,19.80,D. Guice RB - WAS ,0.00,-,-,139.38,Quinten,138.34
Dannye Van,2,K. Cousins QB - MIN ,20.54,K. Allen QB - CAR ,11.64,D. Cook RB - MIN ,22.80,A. Ekeler RB - LAC ,14.80,M. Evans WR - TB ,0.00,M. Thomas WR - NO ,35.70,T. Kelce TE - KC ,9.00,D. Freeman RB - ATL ,15.50,B. Maher K ,6.00,Ravens DEF ,6.50,D. Brees QB - NO ,0.00,J. Gordon WR - SEA ,8.40,D. Carr QB - LV ,7.96,J. White RB - NE ,10.20,D. Waller TE - LV ,5.90,M. Gallup WR - DAL ,20.80,D. Moore WR - CAR ,12.10,J. Jacobs RB - LV ,27.80,-,-,-,-,142.48,the old man,95.40
Tilly,6,D. Prescott QB - DAL ,23.22,J. Goff QB - LA ,17.90,E. Elliott RB - DAL ,16.10,N. Chubb RB - CLE ,10.40,A. Jeffery WR - PHI ,8.20,B. Cooks WR - LA ,6.10,J. O'Shaughnessy TE - JAX ,7.20,L. McCoy RB - KC ,1.30,M. Crosby K - GB ,10.00,Colts DEF ,11.00,D. Adams WR - GB ,0.00,D. Williams RB - KC ,5.30,M. Gordon RB - LAC ,5.80,M. Williams WR - LAC ,10.40,T. Hockenson TE - DET ,0.00,D. Metcalf WR - SEA ,11.40,D. Singletary RB - BUF ,0.00,G. Minshew QB - JAX ,21.16,-,-,-,-,111.42,bob,233.00
LeMar,7,M. Ryan QB - ATL ,31.90,B. Mayfield QB - CLE ,-2.00,D. Henry RB - TEN ,13.80,P. Lindsay RB - DEN ,22.70,S. Watkins WR - KC ,0.00,T. Boyd WR - CIN ,23.30,G. Kittle TE - SF ,17.80,O. Beckham WR - CLE ,4.00,G. Zuerlein K - LA ,11.00,Bears DEF ,4.50,T. Ginn WR - NO ,10.60,M. Jones WR - DET ,0.00,R. Anderson WR - NYJ ,2.10,O. Howard TE - TB ,1.50,K. Johnson RB - DET ,0.00,K. Ballage RB - MIA ,0.00,S. Barkley RB - NYG ,0.00,T. Pollard RB - DAL ,1.90,-,-,-,-,127.00,Jeff,143.78
Quinten,5,T. Brady QB - NE ,23.92,A. Rodgers QB - GB ,9.42,M. Ingram RB - BAL ,11.90,D. Johnson RB - ARI ,17.10,K. Allen WR - LAC ,3.80,C. Kupp WR - LA ,22.20,Z. Ertz TE - PHI ,14.20,R. Woods WR - LA ,7.30,A. Vinatieri K - IND ,13.00,Patriots DEF ,15.50,D. Jackson WR - PHI ,0.00,C. Newton QB - CAR ,0.00,V. McDonald TE - PIT ,4.90,A. Robinson WR - CHI ,25.20,P. Barber RB - TB ,9.60,M. Mack RB - IND ,16.30,R. Penny RB - SEA ,5.90,M. Sanders RB - PHI ,8.40,-,-,-,-,138.34,Will,139.38
bob,1,J. Winston QB - TB ,17.46,D. Watson QB - HOU ,41.74,L. Bell RB - NYJ ,12.30,C. McCaffrey RB - CAR ,44.70,C. Godwin WR - TB ,28.00,D. Chark WR - JAX ,32.40,A. Hooper TE - ATL ,10.60,C. Carson RB - SEA ,18.80,J. Tucker K - BAL ,14.00,Vikings DEF ,13.00,D. Walker TE - TEN ,1.50,T. Coleman RB - SF ,15.70,T. Hill WR - KC ,0.00,W. Gallman RB - NYG ,1.40,K. Golladay WR - DET ,0.00,C. Kirk WR - ARI ,0.00,K. Murray QB - ARI ,25.42,T. McLaurin WR - WAS ,6.60,-,-,-,-,233.00,Tilly,111.42
the old man,4,C. Wentz QB - PHI ,12.06,P. Mahomes QB - KC ,18.54,L. Fournette RB - JAX ,21.70,D. Montgomery RB - CHI ,10.10,J. Jones WR - ATL ,5.70,T. Hilton WR - IND ,5.70,E. Engram TE - NYG ,7.70,E. Sanders WR - SF ,1.40,J. Slye K - CAR ,3.50,Titans DEF ,9.00,J. Edelman WR - NE ,21.00,C. Hyde RB - HOU ,12.00,J. Howard RB - PHI ,12.20,J. Smith-Schuster WR - PIT ,15.00,R. Freeman RB - DEN ,7.70,C. Ridley WR - ATL ,17.30,J. Allen QB - BUF ,17.46,M. Andrews TE - BAL ,7.00,-,-,-,-,95.40,Dannye Van,142.48
Jeff,3,P. Rivers QB - LAC ,4.14,R. Wilson QB - SEA ,29.92,T. Gurley RB - LA ,17.20,A. Kamara RB - NO ,13.92,T. Lockett WR - SEA ,12.30,A. Cooper WR - DAL ,34.10,W. Dissly TE - SEA ,10.80,J. Mixon RB - CIN ,11.40,W. Lutz K - NO ,7.00,Rams DEF ,3.00,G. Tate WR - NYG ,2.80,L. Fitzgerald WR - ARI ,8.80,J. Landry WR - CLE ,9.50,M. Brown RB - LA ,0.30,S. Diggs WR - MIN ,5.90,W. Fuller WR - HOU ,46.70,D. Jones QB - NYG ,10.48,Packers DEF ,8.50,K. Hunt RB - CLE ,0.00,D. Njoku TE - CLE ,0.00,143.78,LeMar,127.00
