Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,J. Brissett QB - IND ,16.34,L. Jackson QB - BAL ,30.88,A. Peterson RB - WAS ,10.20,D. Johnson RB - HOU ,3.10,D. Hopkins WR - HOU ,6.50,M. Brown WR - BAL ,12.60,J. Graham TE - GB ,0.00,S. Michel RB - NE ,12.30,H. Butker K - KC ,4.00,Cowboys DEF ,2.00,A. Green WR - CIN ,0.00,A. Brown WR ,14.10,A. Thielen WR - MIN ,10.00,J. Garoppolo QB - SF ,22.64,D. Westbrook WR - JAX ,0.80,J. Conner RB - PIT ,12.00,A. Jones RB - GB ,23.00,T. Cohen RB - CHI ,3.50,D. Guice RB - WAS ,0.00,-,-,97.92,LeMar,152.50
Dannye Van,1,D. Brees QB - NO ,-0.48,D. Carr QB - LV ,9.72,D. Cook RB - MIN ,26.60,J. Jacobs RB - LV ,9.90,M. Evans WR - TB ,8.10,M. Thomas WR - NO ,13.90,T. Kelce TE - KC ,20.20,A. Ekeler RB - LAC ,20.30,B. Maher K ,7.00,Ravens DEF ,6.00,K. Cousins QB - MIN ,8.90,J. Gordon WR - SEA ,2.90,D. Freeman RB - ATL ,7.90,J. White RB - NE ,10.40,D. Waller TE - LV ,9.30,M. Breida RB - SF ,13.70,M. Gallup WR - DAL ,9.80,D. Moore WR - CAR ,13.40,-,-,-,-,121.24,bob,107.08
Tilly,6,D. Prescott QB - DAL ,27.66,J. Goff QB - LA ,19.12,E. Elliott RB - DAL ,19.00,N. Chubb RB - CLE ,17.80,A. Jeffery WR - PHI ,0.00,D. Metcalf WR - SEA ,13.60,T. Hockenson TE - DET ,1.20,D. Singletary RB - BUF ,11.70,M. Crosby K - GB ,3.00,Colts DEF ,8.00,J. Cook TE - NO ,3.50,L. McCoy RB - KC ,3.80,D. Adams WR - GB ,14.10,B. Cooks WR - LA ,15.10,D. Williams RB - KC ,7.10,M. Gordon RB - LAC ,0.00,M. Trubisky QB - CHI ,5.60,M. Williams WR - LAC ,9.80,-,-,-,-,121.08,Jeff,105.82
LeMar,3,M. Ryan QB - ATL ,19.10,B. Mayfield QB - CLE ,15.00,K. Johnson RB - DET ,15.80,S. Barkley RB - NYG ,21.00,O. Beckham WR - CLE ,25.10,T. Boyd WR - CIN ,17.20,G. Kittle TE - SF ,6.90,D. Henry RB - TEN ,16.40,G. Zuerlein K - LA ,9.00,Bears DEF ,7.00,T. Ginn WR - NO ,0.00,M. Jones WR - DET ,6.80,S. Watkins WR - KC ,7.90,R. Anderson WR - NYJ ,10.10,P. Lindsay RB - DEN ,8.60,D. Pettis WR - SF ,0.64,K. Ballage RB - MIA ,1.70,T. Pollard RB - DAL ,3.00,-,-,-,-,152.50,Will,97.92
Quinten,7,T. Brady QB - NE ,24.66,A. Rodgers QB - GB ,14.36,M. Ingram RB - BAL ,8.70,M. Mack RB - IND ,7.30,K. Allen WR - LAC ,13.80,A. Robinson WR - CHI ,6.10,Z. Ertz TE - PHI ,13.20,R. Woods WR - LA ,5.20,S. Gostkowski K - NE ,6.00,Patriots DEF ,37.00,D. Jackson WR - PHI ,0.00,C. Newton QB - CAR ,11.32,V. McDonald TE - PIT ,19.30,D. Johnson RB - ARI ,7.90,P. Barber RB - TB ,15.40,C. Kupp WR - LA ,15.10,R. Penny RB - SEA ,13.00,M. Sanders RB - PHI ,5.20,-,-,-,-,136.32,the old man,138.76
bob,4,J. Winston QB - TB ,13.22,D. Watson QB - HOU ,12.86,C. McCaffrey RB - CAR ,6.30,C. Carson RB - SEA ,8.20,S. Diggs WR - MIN ,9.40,K. Golladay WR - DET ,21.70,O. Howard TE - TB ,0.00,L. Bell RB - NYJ ,15.90,J. Tucker K - BAL ,13.00,Vikings DEF ,6.50,L. Murray RB - NO ,2.80,T. Coleman RB - SF ,0.00,A. Hooper TE - ATL ,5.40,T. Hill WR - KC ,0.00,C. Godwin WR - TB ,22.10,R. Freeman RB - DEN ,12.70,C. Kirk WR - ARI ,14.40,K. Murray QB - ARI ,16.36,-,-,-,-,107.08,Dannye Van,121.24
the old man,2,C. Wentz QB - PHI ,17.54,P. Mahomes QB - KC ,31.62,L. Fournette RB - JAX ,10.70,D. Montgomery RB - CHI ,13.30,J. Jones WR - ATL ,25.10,T. Hilton WR - IND ,12.30,E. Engram TE - NYG ,7.80,J. Smith-Schuster WR - PIT ,10.90,A. Vinatieri K - IND ,0.00,Titans DEF ,9.50,J. Edelman WR - NE ,7.20,E. Sanders WR - SF ,23.30,C. Hyde RB - HOU ,9.00,J. Howard RB - PHI ,3.10,C. Ridley WR - ATL ,20.50,D. Cain WR - PIT ,0.00,P. Campbell WR - IND ,7.70,-,-,-,-,-,-,138.76,Quinten,136.32
Jeff,5,P. Rivers QB - LAC ,10.92,R. Wilson QB - SEA ,24.20,T. Gurley RB - LA ,14.20,A. Kamara RB - NO ,6.50,T. Lockett WR - SEA ,12.90,A. Cooper WR - DAL ,12.40,D. Njoku TE - CLE ,0.00,J. Mixon RB - CIN ,4.20,W. Lutz K - NO ,11.00,Rams DEF ,9.50,L. Fitzgerald WR - ARI ,12.90,J. Landry WR - CLE ,4.70,T. Burton TE - CHI ,1.50,M. Brown RB - LA ,5.20,W. Fuller WR - HOU ,6.00,J. Ross WR - CIN ,19.20,N. Hines RB - IND ,1.90,Seahawks DEF ,4.00,G. Tate WR - NYG ,0.00,K. Hunt RB - CLE ,0.00,105.82,Tilly,121.08
