Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,4,B. Roethlisberger QB - PIT ,38.98,P. Mahomes QB - KC ,38.84,L. McCoy RB - BUF ,8.80,A. Peterson RB - WAS ,6.50,A. Brown WR - PIT ,11.20,M. Evans WR - TB ,17.30,Z. Ertz TE - PHI ,14.90,L. Miller RB - HOU ,8.00,R. Gould K - SF ,12.00,Chargers DEF ,10.00,P. Garcon WR - SF ,7.70,R. Fitzpatrick QB - TB ,29.98,J. Doyle TE - IND ,3.00,C. Hyde RB - JAX ,11.50,J. White RB - NE ,11.90,D. Johnson RB - CLE ,2.00,L. Fournette RB - JAX ,0.00,A. Ekeler RB - LAC ,11.30,166.52,LeMar,147.00
Dannye Van,1,K. Cousins QB - MIN ,33.50,J. Garoppolo QB - SF ,16.64,C. McCaffrey RB - CAR ,20.90,A. Kamara RB - NO ,14.90,S. Diggs WR - MIN ,31.40,M. Thomas WR - NO ,24.90,R. Seals-Jones TE - ARI ,3.70,T. Coleman RB - ATL ,14.50,J. Elliott K - PHI ,3.00,Rams DEF ,13.00,T. Taylor QB - CLE ,14.44,C. Hogan WR - NE ,17.70,M. Goodwin WR - SF ,0.00,Q. Enunwa WR - NYJ ,12.70,D. Parker WR - MIA ,0.00,M. Breida RB - SF ,23.40,K. Johnson RB - DET ,9.10,Texans DEF ,2.00,176.44,bob,125.78
Tilly,5,R. Wilson QB - SEA ,14.74,D. Watson QB - HOU ,22.80,J. Conner RB - PIT ,17.00,R. Freeman RB - DEN ,8.80,C. Kupp WR - LA ,9.30,J. Smith-Schuster WR - PIT ,24.60,J. Graham TE - GB ,12.50,D. Amendola WR - MIA ,5.20,A. Vinatieri K - IND ,3.00,Jaguars DEF ,5.00,A. Jeffery WR - PHI ,0.00,L. Bell RB - PIT ,0.00,E. Ebron TE - IND ,10.10,D. Carr QB - LV ,15.52,D. Funchess WR - CAR ,11.20,N. Agholor WR - PHI ,19.00,N. Chubb RB - CLE ,1.40,Seahawks DEF ,7.00,122.94,the old man,123.30
LeMar,3,A. Rodgers QB - GB ,16.04,A. Luck QB - IND ,11.36,M. Gordon RB - LAC ,27.60,S. Barkley RB - NYG ,17.80,A. Thielen WR - MIN ,25.10,B. Cooks WR - LA ,19.40,E. Engram TE - NYG ,16.20,J. Reed TE - WAS ,6.50,S. Gostkowski K - NE ,8.00,Ravens DEF ,-1.00,D. Baldwin WR - SEA ,0.00,M. Jones WR - DET ,13.40,G. Bernard RB - CIN ,6.20,R. Woods WR - LA ,11.10,J. Crowder WR - WAS ,4.70,D. Henry RB - TEN ,5.92,M. Mack RB - IND ,4.10,Patriots DEF ,3.00,147.00,Will,166.52
Quinten,6,T. Brady QB - NE ,16.36,J. Goff QB - LA ,18.36,K. Hunt RB ,14.50,J. Mixon RB - CIN ,9.20,L. Fitzgerald WR - ARI ,4.30,D. Hopkins WR - HOU ,20.00,T. Burton TE - CHI ,10.20,D. Adams WR - GB ,16.40,M. Bryant K - ATL ,7.00,Eagles DEF ,6.00,T. Ginn WR - NO ,5.50,C. Thompson RB - WAS ,15.80,T. Eifert TE - CIN ,3.30,A. Robinson WR - CHI ,13.30,J. Winston QB - TB ,0.00,C. Davis WR - TEN ,8.00,T. Cohen RB - CHI ,3.00,S. Michel RB - NE ,4.60,122.32,Jeff,119.14
bob,8,M. Stafford QB - DET ,24.68,D. Prescott QB - DAL ,14.90,J. Ajayi RB - PHI ,9.20,E. Elliott RB - DAL ,17.20,J. Jones WR - ATL ,8.90,K. Allen WR - LAC ,9.70,T. Kelce TE - KC ,26.40,D. Lewis RB - TEN ,4.80,J. Tucker K - BAL ,7.00,Broncos DEF ,3.00,M. Crabtree WR - BAL ,8.10,D. Thomas WR - HOU ,4.30,R. Burkhead RB - NE ,2.20,S. Watkins WR - KC ,16.10,A. Cooper WR - DAL ,16.60,C. Wentz QB - PHI ,0.00,J. Howard RB - CHI ,8.30,D. Njoku TE - CLE ,4.00,125.78,Dannye Van,176.44
the old man,2,D. Brees QB - NO ,17.62,A. Smith QB - WAS ,13.08,T. Gurley RB - LA ,30.80,D. Cook RB - MIN ,10.50,T. Hilton WR - IND ,17.80,T. Hill WR - KC ,17.50,R. Gronkowski TE - NE ,2.50,A. Collins RB - BAL ,10.50,G. Zuerlein K - LA ,0.00,Vikings DEF ,3.00,J. Edelman WR - NE ,0.00,E. Sanders WR - DEN ,11.60,M. Lynch RB - LV ,13.80,R. Tannehill QB - MIA ,17.12,K. Benjamin WR - KC ,8.90,K. Drake RB - MIA ,15.00,W. Fuller WR - HOU ,21.30,R. Penny RB - SEA ,3.00,123.30,Tilly,122.94
Jeff,7,C. Newton QB - CAR ,27.60,P. Rivers QB - LAC ,22.74,D. Johnson RB - ARI ,5.60,C. Carson RB - SEA ,2.40,A. Green WR - CIN ,27.40,O. Beckham WR - NYG ,7.10,J. Cook TE - LV ,6.90,J. Landry WR - CLE ,9.40,D. Carlson K - LV ,3.00,Browns DEF ,7.00,G. Tate WR - PHI ,15.30,K. Rudolph TE - MIN ,10.70,R. Cobb WR - GB ,5.00,M. Ingram RB - NO ,0.00,C. Keenum QB - DEN ,14.48,J. Gordon WR - NE ,0.00,D. Freeman RB - ATL ,0.00,J. Williams RB - GB ,8.60,119.14,Quinten,122.32
