Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,B. Roethlisberger QB - PIT ,24.02,P. Mahomes QB - KC ,25.26,J. White RB - NE ,12.60,L. Fournette RB - JAX ,0.00,A. Brown WR - PIT ,14.00,M. Evans WR - TB ,22.70,Z. Ertz TE - PHI ,9.80,L. Miller RB - HOU ,11.60,R. Gould K - SF ,7.00,Chargers DEF ,1.00,P. Garcon WR - SF ,1.60,L. McCoy RB - BUF ,0.00,R. Fitzpatrick QB - TB ,25.14,A. Peterson RB - WAS ,24.00,J. Doyle TE - IND ,0.00,C. Hyde RB - JAX ,23.30,D. Johnson RB - CLE ,4.30,A. Ekeler RB - LAC ,6.60,127.98,bob,108.38
Dannye Van,1,K. Cousins QB - MIN ,10.04,J. Garoppolo QB - SF ,22.34,C. McCaffrey RB - CAR ,20.40,A. Kamara RB - NO ,26.50,S. Diggs WR - MIN ,3.70,M. Thomas WR - NO ,17.90,O. Howard TE - TB ,10.20,T. Coleman RB - ATL ,11.70,J. Elliott K - PHI ,8.00,Rams DEF ,13.00,M. Goodwin WR - SF ,10.30,Q. Enunwa WR - NYJ ,7.70,K. Golladay WR - DET ,14.30,A. Jones RB - GB ,5.20,M. Breida RB - SF ,13.20,K. Johnson RB - DET ,12.00,-,-,-,-,143.78,LeMar,134.96
Tilly,5,R. Wilson QB - SEA ,15.58,D. Watson QB - HOU ,25.00,J. Conner RB - PIT ,12.00,R. Freeman RB - DEN ,12.30,N. Agholor WR - PHI ,4.40,J. Smith-Schuster WR - PIT ,16.10,E. Ebron TE - IND ,5.80,C. Kupp WR - LA ,14.80,A. Vinatieri K - IND ,10.00,Jaguars DEF ,7.00,D. Amendola WR - MIA ,5.70,J. Graham TE - GB ,7.00,A. Jeffery WR - PHI ,0.00,L. Bell RB - PIT ,0.00,D. Carr QB - LV ,13.60,D. Funchess WR - CAR ,14.70,N. Chubb RB - CLE ,0.60,Seahawks DEF ,15.00,122.98,Jeff,123.84
LeMar,4,A. Rodgers QB - GB ,19.90,A. Luck QB - IND ,13.86,M. Gordon RB - LAC ,15.40,S. Barkley RB - NYG ,20.20,A. Thielen WR - MIN ,17.50,B. Cooks WR - LA ,12.50,J. Reed TE - WAS ,8.50,G. Bernard RB - CIN ,17.10,S. Gostkowski K - NE ,4.00,Ravens DEF ,6.00,D. Baldwin WR - SEA ,0.00,M. Jones WR - DET ,14.90,R. Woods WR - LA ,28.70,J. Crowder WR - WAS ,12.50,D. Henry RB - TEN ,5.70,E. Engram TE - NYG ,2.40,M. Mack RB - IND ,0.00,Patriots DEF ,3.00,134.96,Dannye Van,143.78
Quinten,7,T. Brady QB - NE ,7.52,J. Goff QB - LA ,25.56,C. Thompson RB - WAS ,2.20,K. Hunt RB ,16.40,L. Fitzgerald WR - ARI ,1.90,D. Hopkins WR - HOU ,11.60,T. Burton TE - CHI ,7.50,D. Adams WR - GB ,14.70,M. Bryant K - ATL ,3.00,Eagles DEF ,3.00,T. Ginn WR - NO ,10.70,T. Eifert TE - CIN ,10.40,A. Robinson WR - CHI ,6.50,J. Winston QB - TB ,0.00,C. Davis WR - TEN ,4.40,J. Mixon RB - CIN ,0.00,T. Cohen RB - CHI ,8.30,S. Michel RB - NE ,5.40,93.38,the old man,126.74
bob,8,M. Stafford QB - DET ,17.48,B. Bortles QB - JAX ,8.90,E. Elliott RB - DAL ,13.30,J. Howard RB - CHI ,15.10,D. Jackson WR - TB ,5.20,J. Jones WR - ATL ,12.10,T. Kelce TE - KC ,15.40,K. Allen WR - LAC ,3.90,J. Tucker K - BAL ,13.00,Jets DEF ,4.00,M. Crabtree WR - BAL ,9.60,D. Thomas WR - HOU ,8.80,D. Lewis RB - TEN ,5.50,S. Watkins WR - KC ,16.00,A. Cooper WR - DAL ,2.70,J. Ajayi RB - PHI ,0.00,C. Wentz QB - PHI ,11.20,P. Lindsay RB - DEN ,2.00,108.38,Will,127.98
the old man,2,D. Brees QB - NO ,40.54,A. Smith QB - WAS ,16.80,T. Gurley RB - LA ,22.10,K. Drake RB - MIA ,2.00,T. Hilton WR - IND ,7.50,T. Hill WR - KC ,6.60,R. Gronkowski TE - NE ,7.10,M. Lynch RB - LV ,16.10,M. Crosby K - GB ,5.00,Vikings DEF ,3.00,J. Edelman WR - NE ,0.00,E. Sanders WR - DEN ,15.80,R. Tannehill QB - MIA ,26.16,W. Fuller WR - HOU ,18.60,A. Collins RB - BAL ,14.90,D. Cook RB - MIN ,0.00,W. Dissly TE - SEA ,0.90,Bears DEF ,13.00,126.74,Quinten,93.38
Jeff,6,C. Newton QB - CAR ,29.60,P. Rivers QB - LAC ,17.04,D. Johnson RB - ARI ,14.10,J. Williams RB - GB ,5.50,A. Green WR - CIN ,8.30,O. Beckham WR - NYG ,15.40,J. Cook TE - LV ,5.60,J. Landry WR - CLE ,16.30,R. Bullock K - CIN ,3.00,Browns DEF ,9.00,G. Tate WR - PHI ,9.90,K. Rudolph TE - MIN ,13.30,R. Cobb WR - GB ,2.20,M. Ingram RB - NO ,0.00,C. Keenum QB - DEN ,5.68,J. Gordon WR - NE ,0.00,D. Freeman RB - ATL ,0.00,C. Carson RB - SEA ,19.40,123.84,Tilly,122.98
