Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,B. Roethlisberger QB - PIT ,20.28,N. Mullens QB - SF ,8.74,J. White RB - NE ,8.30,L. Fournette RB - JAX ,24.30,A. Brown WR - PIT ,11.20,M. Evans WR - TB ,14.60,G. Olsen TE - CAR ,2.10,T. Boyd WR - CIN ,18.00,A. Vinatieri K - IND ,9.00,Texans DEF ,9.00,L. McCoy RB - BUF ,5.80,A. Peterson RB - WAS ,5.40,L. Miller RB - HOU ,23.20,Z. Ertz TE - PHI ,18.60,P. Mahomes QB - KC ,0.00,C. Ridley WR - ATL ,17.30,G. Edwards RB - BAL ,11.80,Chargers DEF ,8.00,-,-,125.52,Quinten,145.20
Dannye Van,4,A. Dalton QB - CIN ,8.10,K. Cousins QB - MIN ,27.38,C. McCaffrey RB - CAR ,41.20,A. Kamara RB - NO ,10.30,S. Diggs WR - MIN ,18.90,M. Thomas WR - NO ,5.80,J. Doyle TE - IND ,9.60,M. Breida RB - SF ,15.50,W. Lutz K - NO ,7.00,--empty--,-,R. Fitzpatrick QB - TB ,0.00,M. Goodwin WR - SF ,0.00,T. Coleman RB - ATL ,9.80,D. Njoku TE - CLE ,14.80,K. Golladay WR - DET ,11.50,A. Jones RB - GB ,16.80,M. Williams WR - LAC ,16.50,K. Johnson RB - DET ,0.00,Rams DEF ,0.00,143.78,the old man,147.62
Tilly,7,R. Wilson QB - SEA ,21.96,D. Watson QB - HOU ,29.40,J. Conner RB - PIT ,9.50,N. Chubb RB - CLE ,26.30,D. Amendola WR - MIA ,1.80,A. Jeffery WR - PHI ,5.40,E. Ebron TE - IND ,19.00,D. Lewis RB - TEN ,7.60,M. Prater K - DET ,4.00,Colts DEF ,3.00,J. Graham TE - GB ,4.40,L. Murray RB - MIN ,3.30,D. Moncrief WR - JAX ,3.40,D. Funchess WR - CAR ,0.00,N. Agholor WR - PHI ,1.70,W. Smallwood RB - PHI ,0.00,B. Mayfield QB - CLE ,25.92,Broncos DEF ,12.00,-,-,127.96,bob,128.00
LeMar,3,A. Rodgers QB - GB ,11.92,A. Luck QB - IND ,23.12,M. Gordon RB - LAC ,19.60,S. Barkley RB - NYG ,29.70,D. Baldwin WR - SEA ,6.40,A. Thielen WR - MIN ,22.50,E. Engram TE - NYG ,0.00,M. Mack RB - IND ,10.60,C. Parkey K - CHI ,5.00,Ravens DEF ,18.00,M. Jones WR - DET ,0.00,G. Bernard RB - CIN ,2.70,R. Woods WR - LA ,0.00,B. Cooks WR - LA ,0.00,J. Crowder WR - WAS ,0.00,D. Henry RB - TEN ,3.90,G. Kittle TE - SF ,8.80,S. Gostkowski K - NE ,9.00,-,-,146.84,Jeff,126.42
Quinten,5,T. Brady QB - NE ,19.22,B. Bortles QB - JAX ,8.98,J. Mixon RB - CIN ,19.00,S. Michel RB - NE ,21.50,D. Hopkins WR - HOU ,9.90,D. Adams WR - GB ,15.40,T. Burton TE - CHI ,2.80,J. Smith-Schuster WR - PIT ,31.40,G. Gano K - CAR ,9.00,Patriots DEF ,8.00,L. Fitzgerald WR - ARI ,10.00,B. Watson TE - NO ,2.50,C. Thompson RB - WAS ,0.00,A. Robinson WR - CHI ,4.70,J. Goff QB - LA ,0.00,C. Davis WR - TEN ,21.50,K. Hunt RB ,0.00,T. Cohen RB - CHI ,15.40,-,-,145.20,Will,125.52
bob,8,P. Rivers QB - LAC ,20.66,C. Wentz QB - PHI ,13.24,I. Crowell RB - NYJ ,7.50,P. Lindsay RB - DEN ,17.00,J. Jones WR - ATL ,18.30,O. Beckham WR - NYG ,11.00,J. Smith TE - TEN ,13.30,T. Lockett WR - SEA ,19.00,M. Crosby K - GB ,5.00,Redskins DEF ,3.00,D. Jackson WR - TB ,4.00,D. Thomas WR - HOU ,17.80,T. Kelce TE - KC ,0.00,J. Brown WR - BAL ,3.00,K. Drake RB - MIA ,24.10,S. Shepard WR - NYG ,5.70,J. Howard RB - CHI ,2.00,L. Jackson QB - BAL ,20.22,-,-,128.00,Tilly,127.96
the old man,1,D. Brees QB - NO ,20.44,J. Winston QB - TB ,22.88,J. Richard RB - LV ,2.60,D. Cook RB - MIN ,15.10,J. Edelman WR - NE ,16.40,T. Hilton WR - IND ,16.00,R. Gronkowski TE - NE ,13.10,E. Sanders WR - DEN ,18.10,K. Fairbairn K - HOU ,10.00,Bears DEF ,13.00,D. Parker WR - MIA ,2.50,T. Yeldon RB - JAX ,4.30,T. Gurley RB - LA ,0.00,A. Hooper TE - ATL ,5.60,A. Collins RB - BAL ,0.00,T. Hill WR - KC ,0.00,M. Trubisky QB - CHI ,0.00,Titans DEF ,3.00,-,-,147.62,Dannye Van,143.78
Jeff,6,M. Ryan QB - ATL ,20.68,C. Newton QB - CAR ,22.54,D. Johnson RB - ARI ,8.90,E. Elliott RB - DAL ,22.80,G. Tate WR - PHI ,5.00,K. Allen WR - LAC ,16.70,J. Cook TE - LV ,10.20,M. Ingram RB - NO ,7.60,M. Bryant K - ATL ,5.00,Vikings DEF ,7.00,K. Rudolph TE - MIN ,9.80,R. Cobb WR - GB ,0.00,A. Green WR - CIN ,0.00,J. Gordon WR - NE ,9.50,S. Watkins WR - KC ,0.00,J. Landry WR - CLE ,4.50,C. Carson RB - SEA ,13.30,R. Penny RB - SEA ,0.40,-,-,126.42,LeMar,146.84
