Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,B. Roethlisberger QB - PIT ,19.28,P. Mahomes QB - KC ,20.78,L. Miller RB - HOU ,13.70,J. White RB - NE ,3.80,A. Brown WR - PIT ,6.00,T. Boyd WR - CIN ,6.70,Z. Ertz TE - PHI ,6.30,L. Fournette RB - JAX ,5.10,A. Vinatieri K - IND ,8.00,Texans DEF ,4.00,L. McCoy RB - BUF ,0.10,G. Olsen TE - CAR ,0.00,A. Peterson RB - WAS ,2.40,M. Evans WR - TB ,10.60,N. Mullens QB - SF ,18.28,C. Ridley WR - ATL ,1.50,G. Edwards RB - BAL ,6.70,Chargers DEF ,3.00,93.66,-,-
Dannye Van,4,P. Rivers QB - LAC ,13.50,K. Cousins QB - MIN ,10.82,C. McCaffrey RB - CAR ,25.10,A. Kamara RB - NO ,13.20,S. Diggs WR - MIN ,10.10,M. Thomas WR - NO ,15.30,D. Njoku TE - CLE ,5.00,A. Jones RB - GB ,18.10,W. Lutz K - NO ,8.00,Rams DEF ,11.00,R. Fitzpatrick QB - TB ,0.00,M. Goodwin WR - SF ,3.00,K. Golladay WR - DET ,1.50,M. Breida RB - SF ,0.00,K. Johnson RB - DET ,0.00,-,-,-,-,-,-,130.12,Quinten,120.72
Tilly,7,R. Wilson QB - SEA ,8.98,D. Watson QB - HOU ,18.18,J. Conner RB - PIT ,0.00,N. Chubb RB - CLE ,16.30,A. Cooper WR - DAL ,44.70,D. Moore WR - CAR ,9.20,E. Ebron TE - IND ,14.50,J. Adams RB - PHI ,3.60,M. Prater K - DET ,5.00,Colts DEF ,5.00,J. Graham TE - GB ,2.30,D. Lewis RB - TEN ,7.70,A. Jeffery WR - PHI ,14.00,D. Moncrief WR - JAX ,7.20,D. Williams RB - KC ,17.00,D. Funchess WR - CAR ,0.00,B. Mayfield QB - CLE ,13.72,Broncos DEF ,6.00,125.46,-,-
LeMar,3,A. Rodgers QB - GB ,20.24,A. Luck QB - IND ,23.56,A. Ekeler RB - LAC ,16.40,S. Barkley RB - NYG ,27.70,A. Thielen WR - MIN ,10.30,B. Cooks WR - LA ,3.70,G. Kittle TE - SF ,30.50,M. Mack RB - IND ,9.30,S. Gostkowski K - NE ,9.00,Ravens DEF ,5.00,D. Baldwin WR - SEA ,0.00,M. Jones WR - DET ,0.00,G. Bernard RB - CIN ,3.00,R. Woods WR - LA ,9.60,J. Crowder WR - WAS ,15.70,M. Gordon RB - LAC ,0.00,D. Henry RB - TEN ,47.80,E. Engram TE - NYG ,9.20,155.70,Jeff,132.18
Quinten,5,T. Brady QB - NE ,26.62,J. Goff QB - LA ,-0.30,J. Mixon RB - CIN ,22.30,S. Michel RB - NE ,5.70,D. Hopkins WR - HOU ,11.60,D. Adams WR - GB ,17.60,T. Burton TE - CHI ,3.20,J. Smith-Schuster WR - PIT ,29.00,G. Gano K - CAR ,0.00,Patriots DEF ,5.00,L. Fitzgerald WR - ARI ,8.00,B. Watson TE - NO ,3.90,C. Thompson RB - WAS ,5.30,A. Robinson WR - CHI ,6.70,D. Prescott QB - DAL ,24.40,C. Davis WR - TEN ,3.10,K. Hunt RB ,0.00,T. Cohen RB - CHI ,10.90,120.72,Dannye Van,130.12
bob,8,C. Wentz QB - PHI ,18.82,L. Jackson QB - BAL ,18.58,T. Coleman RB - ATL ,4.60,P. Lindsay RB - DEN ,13.10,J. Jones WR - ATL ,26.60,O. Beckham WR - NYG ,0.00,T. Kelce TE - KC ,17.20,T. Lockett WR - SEA ,8.40,M. Crosby K - GB ,12.00,Redskins DEF ,3.00,D. Jackson WR - TB ,0.00,D. Thomas WR - HOU ,6.80,J. Brown WR - BAL ,9.30,I. Crowell RB - NYJ ,1.20,K. Drake RB - MIA ,14.40,S. Shepard WR - NYG ,8.70,J. Howard RB - CHI ,10.80,M. Williams WR - LAC ,6.00,122.30,-,-
the old man,1,D. Brees QB - NO ,13.94,J. Winston QB - TB ,19.22,T. Gurley RB - LA ,7.30,D. Cook RB - MIN ,16.80,T. Hilton WR - IND ,24.40,T. Hill WR - KC ,18.50,R. Gronkowski TE - NE ,20.70,J. Edelman WR - NE ,19.10,K. Fairbairn K - HOU ,3.00,Bears DEF ,20.00,D. Parker WR - MIA ,2.30,T. Yeldon RB - JAX ,2.20,A. Hooper TE - ATL ,5.70,J. Richard RB - LV ,3.40,M. Trubisky QB - CHI ,4.70,Titans DEF ,10.00,-,-,-,-,162.96,-,-
Jeff,6,M. Ryan QB - ATL ,20.48,C. Newton QB - CAR ,10.90,D. Johnson RB - ARI ,10.10,E. Elliott RB - DAL ,25.20,J. Gordon WR - NE ,12.10,K. Allen WR - LAC ,16.30,J. Cook TE - LV ,15.10,C. Carson RB - SEA ,15.00,M. Bryant K - ATL ,2.00,Vikings DEF ,5.00,G. Tate WR - PHI ,1.20,K. Rudolph TE - MIN ,1.70,R. Cobb WR - GB ,12.80,A. Green WR - CIN ,0.00,M. Ingram RB - NO ,11.80,S. Ware RB - KC ,15.40,S. Watkins WR - KC ,0.00,J. Landry WR - CLE ,22.60,132.18,LeMar,155.70
