Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,B. Roethlisberger QB - PIT ,14.86,P. Mahomes QB - KC ,22.86,C. Hyde RB - JAX ,14.20,J. White RB - NE ,27.20,A. Brown WR - PIT ,14.70,M. Evans WR - TB ,8.90,Z. Ertz TE - PHI ,16.20,L. Fournette RB - JAX ,4.00,R. Gould K - SF ,9.00,Chargers DEF ,5.00,L. McCoy RB - BUF ,5.20,R. Fitzpatrick QB - TB ,3.04,A. Peterson RB - WAS ,0.00,L. Miller RB - HOU ,4.90,V. McDonald TE - PIT ,6.70,T. Boyd WR - CIN ,15.50,A. Ekeler RB - LAC ,12.60,C. Ridley WR - ATL ,19.50,136.92,Tilly,117.28
Dannye Van,1,A. Dalton QB - CIN ,24.78,K. Cousins QB - MIN ,31.68,T. Coleman RB - ATL ,9.20,A. Kamara RB - NO ,38.60,S. Diggs WR - MIN ,17.80,M. Thomas WR - NO ,6.70,O. Howard TE - TB ,0.00,K. Golladay WR - DET ,9.40,J. Elliott K - PHI ,11.00,Rams DEF ,5.00,M. Goodwin WR - SF ,3.80,Q. Enunwa WR - NYJ ,8.60,C. McCaffrey RB - CAR ,0.00,A. Jones RB - GB ,14.70,M. Williams WR - LAC ,2.00,M. Breida RB - SF ,8.60,K. Johnson RB - DET ,12.10,-,-,154.16,Quinten,180.56
Tilly,8,R. Wilson QB - SEA ,8.98,B. Mayfield QB - CLE ,12.80,J. Conner RB - PIT ,7.90,R. Freeman RB - DEN ,12.70,N. Agholor WR - PHI ,4.70,J. Smith-Schuster WR - PIT ,8.00,E. Ebron TE - IND ,12.50,C. Kupp WR - LA ,32.70,A. Vinatieri K - IND ,8.00,Jaguars DEF ,9.00,D. Amendola WR - MIA ,3.10,J. Graham TE - GB ,9.60,A. Jeffery WR - PHI ,20.50,L. Bell RB - PIT ,0.00,D. Funchess WR - CAR ,0.00,D. Watson QB - HOU ,31.10,N. Chubb RB - CLE ,22.50,Colts DEF ,8.00,117.28,Will,136.92
LeMar,4,A. Rodgers QB - GB ,15.02,A. Luck QB - IND ,35.66,M. Gordon RB - LAC ,27.40,S. Barkley RB - NYG ,19.00,A. Thielen WR - MIN ,23.50,B. Cooks WR - LA ,22.10,G. Kittle TE - SF ,21.50,G. Bernard RB - CIN ,23.60,S. Gostkowski K - NE ,8.00,Ravens DEF ,6.00,D. Baldwin WR - SEA ,6.60,M. Jones WR - DET ,7.10,R. Woods WR - LA ,18.60,J. Crowder WR - WAS ,0.00,D. Henry RB - TEN ,4.10,E. Engram TE - NYG ,0.00,M. Mack RB - IND ,0.00,Patriots DEF ,10.00,201.78,the old man,120.28
Quinten,5,T. Brady QB - NE ,18.96,J. Goff QB - LA ,39.30,K. Hunt RB ,25.00,S. Michel RB - NE ,17.20,D. Hopkins WR - HOU ,27.90,D. Adams WR - GB ,12.10,T. Eifert TE - CIN ,11.80,A. Robinson WR - CHI ,9.30,M. Bryant K - ATL ,14.00,Eagles DEF ,5.00,L. Fitzgerald WR - ARI ,4.30,T. Ginn WR - NO ,0.10,C. Thompson RB - WAS ,0.00,T. Burton TE - CHI ,15.60,J. Winston QB - TB ,6.50,C. Davis WR - TEN ,26.60,J. Mixon RB - CIN ,0.00,T. Cohen RB - CHI ,26.90,180.56,Dannye Van,154.16
bob,6,M. Stafford QB - DET ,20.78,C. Wentz QB - PHI ,20.72,E. Elliott RB - DAL ,32.00,J. Howard RB - CHI ,2.50,D. Jackson WR - TB ,13.70,J. Jones WR - ATL ,21.80,T. Kelce TE - KC ,17.30,P. Lindsay RB - DEN ,14.90,J. Tucker K - BAL ,14.00,Jets DEF ,7.00,M. Crabtree WR - BAL ,4.40,D. Thomas WR - HOU ,4.40,K. Allen WR - LAC ,9.80,S. Watkins WR - KC ,0.00,B. Bortles QB - JAX ,24.32,I. Crowell RB - NYJ ,0.80,T. Lockett WR - SEA ,7.80,J. Ajayi RB - PHI ,9.60,164.70,Jeff,142.36
the old man,2,D. Brees QB - NO ,8.58,R. Tannehill QB - MIA ,0.00,M. Lynch RB - LV ,17.20,T. Gurley RB - LA ,23.60,T. Hilton WR - IND ,13.50,T. Hill WR - KC ,10.10,R. Gronkowski TE - NE ,6.40,W. Fuller WR - HOU ,12.90,M. Crosby K - GB ,14.00,Bears DEF ,14.00,J. Edelman WR - NE ,0.00,E. Sanders WR - DEN ,8.80,A. Smith QB - WAS ,0.00,J. Allen RB - BAL ,5.70,A. Collins RB - BAL ,9.00,D. Cook RB - MIN ,2.00,W. Dissly TE - SEA ,1.00,Vikings DEF ,-3.00,120.28,LeMar,201.78
Jeff,7,M. Ryan QB - ATL ,29.26,P. Rivers QB - LAC ,21.70,D. Johnson RB - ARI ,16.70,C. Carson RB - SEA ,0.00,A. Green WR - CIN ,15.80,O. Beckham WR - NYG ,10.50,J. Cook TE - LV ,27.00,J. Landry WR - CLE ,11.40,R. Bullock K - CIN ,7.00,Browns DEF ,3.00,G. Tate WR - PHI ,29.20,K. Rudolph TE - MIN ,8.20,R. Cobb WR - GB ,0.00,C. Newton QB - CAR ,0.00,M. Ingram RB - NO ,0.00,J. Gordon WR - NE ,4.20,D. Freeman RB - ATL ,0.00,J. Williams RB - GB ,2.70,142.36,bob,164.70
