Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,P. Manning QB - IND ,45.18,M. Jones-Drew RB - JAC ,8.50,M. Austin WR - DAL ,3.20,G. Jennings WR - GB ,25.30,M. Floyd WR - LAC ,3.50,D. Clark TE - IND IR ,11.20,A. Vinatieri K - IND ,3.00,Seahawks DEF ,11.00,A. Collie WR - IND IR ,18.70,J. Best RB - DET ,10.70,S. Rice WR - MIN ,0.00,J. Addai RB - IND ,15.80,T. Gonzalez TE - ATL ,16.90,P. Rivers QB - LAC ,27.96,V. Jackson WR - LAC ,0.00,Packers DEF ,3.00,110.88,Dannye Van,140.32
Dannye Van,6,D. Brees QB - NO ,46.72,J. Charles RB - KC ,15.70,C. Johnson WR - DET ,25.60,B. Marshall WR - MIA ,22.70,H. Ward WR - PIT ,16.40,A. Gates TE - LAC IR ,3.20,R. Gould K - CHI ,6.00,Chargers DEF ,4.00,L. McCoy RB - PHI ,12.50,P. Harvin WR - MIN ,12.90,R. Mathews RB - LAC ,10.60,T. Owens WR - CIN IR ,0.00,M. Vick QB - PHI ,0.00,C. Ochocinco WR - CIN ,0.00,V. Shiancoe TE - MIN ,0.00,R. Brown RB - MIA ,8.50,140.32,Will,110.88
Tilly,5,K. Orton QB - DEN ,29.56,D. McFadden RB - LV ,0.00,R. Wayne WR - IND ,13.10,J. Gaffney WR - DEN ,14.10,S. Smith WR - NYG IR ,13.00,T. Scheffler TE - DET ,2.50,M. Crosby K - GB ,9.00,Colts DEF ,9.00,R. Mendenhall RB - PIT ,18.90,C. Spiller RB - BUF ,0.00,D. McNabb QB - WAS ,35.94,T. Brady QB - NE ,35.78,A. Johnson WR - HOU ,27.80,J. Witten TE - DAL ,8.20,E. Manning QB - NYG ,36.98,A. Peterson RB - MIN ,14.10,90.26,bob,132.80
LeMar,1,M. Ryan QB - ATL ,36.30,F. Gore RB - SF IR ,14.90,E. Royal WR - DEN ,8.00,H. Nicks WR - NYG ,3.80,R. White WR - ATL ,14.30,Z. Miller TE - LV ,6.80,J. Scobee K - JAC ,3.00,Steelers DEF ,19.00,D. Jackson WR - PHI ,20.80,P. Hillis RB - CLE ,15.00,J. Maclin WR - PHI ,34.90,S. Moss WR - WAS ,15.70,S. Jackson RB - STL ,18.10,C. Cooley TE - WAS ,8.70,A. Rodgers QB - GB ,35.92,Titans DEF ,21.00,106.10,Quinten,97.40
Quinten,4,M. Schaub QB - HOU ,47.50,C. Johnson RB - TEN ,21.10,M. Colston WR - NO ,10.30,R. Moss WR - TEN ,10.50,L. Fitzgerald WR - ARI ,0.00,J. Finley TE - GB IR ,0.00,J. Kasay K - CAR ,0.00,Jets DEF ,8.00,R. Meachem WR - NO ,17.10,L. Tomlinson RB - NYJ ,20.70,W. Welker WR - NE ,12.30,M. Turner RB - ATL ,5.90,B. Roethlisberger QB - PIT ,41.78,B. Jacobs RB - NYG ,15.50,F. Jackson RB - BUF ,0.00,B. Jackson RB - GB ,11.20,97.40,LeMar,106.10
bob,2,T. Romo QB - DAL IR ,49.00,A. Foster RB - HOU ,27.70,K. Walter WR - HOU ,0.00,A. Boldin WR - BAL ,16.20,B. Lloyd WR - DEN ,11.40,V. Davis TE - SF ,13.50,N. Rackers K - HOU ,5.00,Eagles DEF ,10.00,M. Forte RB - CHI ,14.10,D. Keller TE - NYJ ,10.50,J. Cutler QB - CHI ,24.50,D. Driver WR - GB ,6.10,B. Edwards WR - NYJ ,14.60,S. Holmes WR - NYJ ,7.10,M. Nugent K - CIN IR ,0.00,Chiefs DEF ,-2.00,132.80,Tilly,90.26
