Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,P. Manning QB - IND ,48.76,M. Jones-Drew RB - JAC ,21.00,D. Bowe WR - KC ,1.30,G. Jennings WR - GB ,9.20,M. Floyd WR - LAC ,21.10,K. Winslow TE - TB ,13.20,A. Vinatieri K - IND ,13.00,Packers DEF ,12.00,D. Keller TE - NYJ ,6.40,K. Britt WR - TEN ,4.90,A. Collie WR - IND IR ,0.00,S. Rice WR - MIN ,11.00,A. Boldin WR - BAL ,7.10,B. Jacobs RB - NYG ,17.60,M. Bryant K - ATL ,7.00,Buccaneers DEF ,6.00,139.56,-,-
Dannye Van,5,M. Vick QB - PHI ,38.40,J. Charles RB - KC ,6.90,C. Johnson WR - DET ,6.70,T. Owens WR - CIN IR ,3.20,S. Holmes WR - NYJ ,7.70,A. Hernandez TE - NE ,3.90,G. Hartley K - NO ,8.00,Patriots DEF ,24.00,L. McCoy RB - PHI ,18.30,K. Moreno RB - DEN ,22.30,P. Harvin WR - MIN ,0.00,D. Brees QB - NO ,45.54,A. Gates TE - LAC IR ,0.00,V. Jackson WR - LAC ,6.30,M. Cassel QB - KC ,0.00,Ravens DEF ,19.00,98.80,Quinten,156.62
Tilly,6,K. Orton QB - DEN ,13.14,D. McFadden RB - LV ,41.90,R. Wayne WR - IND ,14.60,J. Gaffney WR - DEN ,7.80,S. Smith WR - NYG IR ,2.20,T. Scheffler TE - DET ,1.30,M. Crosby K - GB ,4.00,Colts DEF ,5.00,R. Mendenhall RB - PIT ,8.50,C. Spiller RB - BUF ,3.30,D. McNabb QB - WAS ,41.12,T. Brady QB - NE ,50.76,A. Johnson WR - HOU ,35.00,J. Witten TE - DAL ,25.90,E. Manning QB - NYG ,28.48,A. Peterson RB - MIN ,2.60,89.94,bob,137.34
LeMar,1,A. Rodgers QB - GB ,6.34,P. Hillis RB - CLE ,12.80,S. Johnson WR - BUF ,9.20,J. Maclin WR - PHI ,2.10,R. White WR - ATL ,15.90,T. Gonzalez TE - ATL ,12.80,S. Janikowski K - LV ,7.00,Steelers DEF ,28.00,M. Ryan QB - ATL ,29.48,H. Nicks WR - NYG ,16.60,S. Moss WR - WAS ,21.20,S. Jackson RB - STL ,14.40,L. Moore WR - NO ,18.00,F. Gore RB - SF IR ,0.00,Z. Miller TE - LV ,10.80,Titans DEF ,0.00,94.14,-,-
Quinten,4,B. Roethlisberger QB - PIT ,29.62,C. Johnson RB - TEN ,31.90,M. Colston WR - NO ,21.60,W. Welker WR - NE ,19.50,M. Wallace WR - PIT ,14.00,V. Davis TE - SF ,18.00,J. Kasay K - CAR ,4.00,Jets DEF ,18.00,R. Meachem WR - NO ,0.00,R. Moss WR - TEN ,0.00,L. Tomlinson RB - NYJ ,7.40,M. Schaub QB - HOU ,59.52,M. Turner RB - ATL ,31.40,L. Fitzgerald WR - ARI ,13.20,F. Jackson RB - BUF ,12.50,B. Jackson RB - GB ,5.80,156.62,Dannye Van,98.80
bob,3,P. Rivers QB - LAC ,31.54,A. Foster RB - HOU ,16.50,D. Jackson WR - PHI ,37.60,M. Austin WR - DAL ,6.80,B. Lloyd WR - DEN ,6.20,M. Lewis TE - JAC ,15.70,D. Akers K - PHI ,14.00,Browns DEF ,9.00,J. Tamme TE - IND ,7.60,P. Garcon WR - IND ,27.30,M. Thomas WR - JAC ,-0.80,C. Ochocinco WR - CIN ,13.10,D. Branch WR - NE ,29.10,M. Williams WR - TB ,2.50,D. Carpenter K - MIA ,5.00,Bears DEF ,2.00,137.34,Tilly,89.94
