Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,P. Rivers QB - LAC ,46.34,M. Jones-Drew RB - JAC ,23.10,M. Austin WR - DAL ,6.80,G. Jennings WR - GB ,19.40,D. Branch WR - NE ,7.90,T. Gonzalez TE - ATL ,4.70,A. Vinatieri K - IND ,0.00,Seahawks DEF ,21.00,A. Collie WR - IND IR ,0.00,J. Best RB - DET ,0.00,S. Rice WR - MIN ,0.00,J. Addai RB - IND ,0.00,P. Manning QB - IND ,0.00,D. Clark TE - IND IR ,0.00,M. Floyd WR - LAC ,0.00,Packers DEF ,16.00,-,-,129.24,Tilly,108.12
Dannye Van,5,D. Brees QB - NO ,48.24,L. McCoy RB - PHI ,16.20,B. Marshall WR - MIA ,10.70,H. Ward WR - PIT ,26.10,C. Ochocinco WR - CIN ,26.80,A. Gates TE - LAC IR ,15.00,R. Gould K - CHI ,2.00,Cowboys DEF ,18.00,J. Charles RB - KC ,13.10,P. Harvin WR - MIN ,21.60,R. Mathews RB - LAC ,4.20,C. Johnson WR - DET ,0.00,T. Owens WR - CIN IR ,23.80,M. Vick QB - PHI ,0.00,R. Brown RB - MIA ,5.40,Ravens DEF ,7.00,-,-,163.04,LeMar,199.60
Tilly,6,K. Orton QB - DEN ,24.02,D. McFadden RB - LV ,45.60,R. Wayne WR - IND ,0.00,J. Gaffney WR - DEN ,9.40,S. Smith WR - NYG IR ,25.10,T. Scheffler TE - DET ,0.00,M. Crosby K - GB ,4.00,Colts DEF ,0.00,R. Mendenhall RB - PIT ,5.30,C. Spiller RB - BUF ,0.30,D. McNabb QB - WAS ,22.80,T. Brady QB - NE ,27.46,A. Johnson WR - HOU ,0.00,J. Witten TE - DAL ,23.50,E. Manning QB - NYG ,51.14,A. Peterson RB - MIN ,25.20,-,-,108.12,Will,129.24
LeMar,1,A. Rodgers QB - GB ,40.20,F. Gore RB - SF IR ,19.90,H. Nicks WR - NYG ,31.80,S. Moss WR - WAS ,17.10,R. White WR - ATL ,48.10,Z. Miller TE - LV ,15.50,J. Scobee K - JAC ,7.00,Titans DEF ,20.00,M. Ryan QB - ATL ,53.46,D. Jackson WR - PHI ,0.00,P. Hillis RB - CLE ,15.52,E. Royal WR - DEN ,4.60,J. Maclin WR - PHI ,10.60,S. Jackson RB - STL ,16.50,C. Cooley TE - WAS ,12.20,Steelers DEF ,7.00,-,-,199.60,Dannye Van,163.04
Quinten,4,B. Roethlisberger QB - PIT ,37.18,C. Johnson RB - TEN ,9.30,M. Colston WR - NO ,27.20,R. Moss WR - TEN ,12.00,W. Welker WR - NE ,6.50,--empty--,-,J. Kasay K - CAR ,14.00,Jets DEF ,0.00,R. Meachem WR - NO ,5.30,L. Tomlinson RB - NYJ ,0.00,M. Schaub QB - HOU ,0.00,M. Turner RB - ATL ,28.40,L. Fitzgerald WR - ARI ,6.00,F. Jackson RB - BUF ,8.70,B. Jackson RB - GB ,19.40,B. Celek TE - PHI ,2.80,M. Wallace WR - PIT ,13.30,106.18,bob,73.96
bob,3,T. Romo QB - DAL IR ,12.56,M. Forte RB - CHI ,9.30,A. Boldin WR - BAL ,21.20,B. Lloyd WR - DEN ,5.60,R. Williams WR - DAL ,0.00,H. Miller TE - PIT ,6.30,M. Prater K - DEN IR ,2.00,Chiefs DEF ,17.00,J. Flacco QB - BAL ,38.90,D. Keller TE - NYJ ,0.00,A. Foster RB - HOU ,0.00,K. Walter WR - HOU ,0.00,B. Edwards WR - NYJ ,0.00,S. Holmes WR - NYJ ,0.00,M. Nugent K - CIN IR ,6.00,Eagles DEF ,11.00,-,-,73.96,Quinten,106.18
