Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,5,P. Manning QB - IND ,57.90,M. Jones-Drew RB - JAC ,10.90,A. Collie WR - IND IR ,41.10,M. Austin WR - DAL ,4.00,G. Jennings WR - GB ,9.80,D. Clark TE - IND IR ,9.40,R. Longwell K - MIN ,6.00,Packers DEF ,7.00,P. Garcon WR - IND ,0.00,A. Foster RB - HOU ,13.60,S. Rice WR - MIN ,0.00,J. Addai RB - IND ,5.90,T. Gonzalez TE - ATL ,25.00,P. Rivers QB - LAC ,57.40,V. Jackson WR - LAC ,0.00,Cowboys DEF ,17.00,146.10,LeMar,181.74
Dannye Van,6,D. Brees QB - NO ,54.60,L. McCoy RB - PHI ,8.10,C. Johnson WR - DET ,11.80,C. Ochocinco WR - CIN ,7.40,M. Clayton WR - STL IR ,13.50,V. Shiancoe TE - MIN ,1.70,G. Hartley K - NO ,2.00,Chargers DEF ,13.00,R. Rice RB - BAL ,13.60,M. Crabtree WR - SF ,6.70,R. Mathews RB - LAC ,0.00,B. Marshall WR - MIA ,32.90,M. Vick QB - PHI ,52.64,A. Gates TE - LAC IR ,23.90,R. Brown RB - MIA ,7.30,M. Sims-Walker WR - JAC ,5.40,112.10,bob,146.72
Tilly,2,T. Brady QB - NE ,48.68,A. Peterson RB - MIN ,36.00,R. Wayne WR - IND ,10.50,A. Johnson WR - HOU ,10.40,S. Smith WR - NYG IR ,19.30,J. Witten TE - DAL ,12.60,M. Crosby K - GB ,1.00,Colts DEF ,6.00,D. McFadden RB - LV ,20.20,R. Mendenhall RB - PIT ,20.30,C. Spiller RB - BUF ,18.90,D. Williams RB - CAR IR ,6.40,D. McNabb QB - WAS ,32.94,T. Jones RB - KC ,16.60,E. Manning QB - NYG ,41.64,K. Orton QB - DEN ,65.14,144.48,Quinten,105.24
LeMar,1,A. Rodgers QB - GB ,57.64,F. Gore RB - SF IR ,23.50,D. Jackson WR - PHI ,27.10,S. Moss WR - WAS ,21.40,R. White WR - ATL ,17.90,V. Davis TE - SF ,5.20,S. Gostkowski K - NE IR ,9.00,Steelers DEF ,20.00,J. Stewart RB - CAR ,8.10,P. Harvin WR - MIN ,19.50,J. Maclin WR - PHI ,24.30,H. Ward WR - PIT ,12.20,S. Smith WR - CAR ,5.20,S. Jackson RB - STL ,13.40,C. Benson RB - CIN ,23.00,P. Thomas RB - NO ,15.10,181.74,Will,146.10
Quinten,4,M. Schaub QB - HOU ,28.64,C. Johnson RB - TEN ,24.50,M. Colston WR - NO ,6.50,W. Welker WR - NE ,8.50,L. Fitzgerald WR - ARI ,10.60,J. Finley TE - GB IR ,20.50,J. Kasay K - CAR ,1.00,Jets DEF ,5.00,K. Moreno RB - DEN ,0.00,R. Meachem WR - NO ,1.50,R. Moss WR - TEN ,18.20,L. Tomlinson RB - NYJ ,17.80,M. Turner RB - ATL ,20.50,B. Jacobs RB - NYG ,2.80,F. Jackson RB - BUF ,0.80,B. Jackson RB - GB ,7.90,105.24,Tilly,144.48
bob,3,T. Romo QB - DAL IR ,46.26,J. Best RB - DET ,5.90,D. Bryant WR - DAL IR ,9.00,K. Walter WR - HOU ,12.40,A. Boldin WR - BAL ,40.96,B. Celek TE - PHI ,8.20,N. Rackers K - HOU ,7.00,Eagles DEF ,17.00,M. Forte RB - CHI ,6.30,J. Charles RB - KC ,18.40,J. Cutler QB - CHI ,28.54,D. Mason WR - BAL ,7.00,T. Owens WR - CIN IR ,8.20,C. Cooley TE - WAS ,10.30,S. Holmes WR - NYJ ,0.00,N. Kaeding K - LAC ,4.00,146.72,Dannye Van,112.10
