Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,P. Manning QB - IND ,49.16,M. Jones-Drew RB - JAC ,8.80,K. Britt WR - TEN ,18.80,A. Collie WR - IND IR ,28.70,M. Floyd WR - LAC ,0.00,K. Boss TE - NYG ,14.90,M. Bryant K - ATL ,10.00,Buccaneers DEF ,0.00,D. Bowe WR - KC ,7.30,S. Rice WR - MIN ,4.30,G. Jennings WR - GB ,12.90,A. Boldin WR - BAL ,1.20,K. Winslow TE - TB ,8.60,B. Jacobs RB - NYG ,3.40,A. Vinatieri K - IND ,10.00,Packers DEF ,3.00,130.36,bob,129.32
Dannye Van,5,M. Vick QB - PHI ,61.68,J. Charles RB - KC ,24.30,C. Johnson WR - DET ,25.20,T. Owens WR - CIN IR ,0.00,S. Holmes WR - NYJ ,10.00,A. Hernandez TE - NE ,20.70,G. Hartley K - NO ,7.00,Patriots DEF ,17.00,L. McCoy RB - PHI ,11.70,K. Moreno RB - DEN ,1.60,P. Harvin WR - MIN ,18.10,D. Brees QB - NO ,51.68,A. Gates TE - LAC IR ,0.00,V. Jackson WR - LAC ,34.20,M. Cassel QB - KC ,24.06,Ravens DEF ,6.00,165.88,-,-
Tilly,6,K. Orton QB - DEN ,0.00,D. McFadden RB - LV ,16.80,R. Wayne WR - IND ,8.40,J. Gaffney WR - DEN ,4.20,S. Smith WR - NYG IR ,0.00,T. Scheffler TE - DET ,4.80,M. Crosby K - GB ,8.00,Colts DEF ,13.00,R. Mendenhall RB - PIT ,15.90,C. Spiller RB - BUF ,5.70,D. McNabb QB - WAS ,0.00,T. Brady QB - NE ,30.52,A. Johnson WR - HOU ,17.80,J. Witten TE - DAL ,30.00,E. Manning QB - NYG ,53.56,A. Peterson RB - MIN ,0.00,55.20,-,-
LeMar,1,M. Ryan QB - ATL ,41.56,P. Hillis RB - CLE ,10.20,S. Johnson WR - BUF ,18.90,H. Nicks WR - NYG ,18.30,R. White WR - ATL ,19.50,T. Gonzalez TE - ATL ,6.60,S. Janikowski K - LV ,15.00,Steelers DEF ,2.00,J. Maclin WR - PHI ,21.90,S. Moss WR - WAS ,27.10,S. Jackson RB - STL ,21.40,L. Moore WR - NO ,10.60,A. Rodgers QB - GB ,0.00,F. Gore RB - SF IR ,0.00,Z. Miller TE - LV ,7.90,Titans DEF ,8.00,132.06,Quinten,128.46
Quinten,4,B. Roethlisberger QB - PIT ,39.06,C. Johnson RB - TEN ,20.70,M. Colston WR - NO ,14.10,W. Welker WR - NE ,7.20,M. Wallace WR - PIT ,18.00,V. Davis TE - SF ,1.40,J. Kasay K - CAR ,14.00,Jets DEF ,14.00,R. Meachem WR - NO ,3.70,R. Moss WR - TEN ,0.00,L. Tomlinson RB - NYJ ,6.50,M. Schaub QB - HOU ,53.00,M. Turner RB - ATL ,8.20,L. Fitzgerald WR - ARI ,21.50,F. Jackson RB - BUF ,3.60,B. Jackson RB - GB ,11.20,128.46,LeMar,132.06
bob,3,P. Rivers QB - LAC ,46.92,A. Foster RB - HOU ,12.10,D. Jackson WR - PHI ,11.20,P. Garcon WR - IND ,9.40,D. Branch WR - NE ,5.30,J. Tamme TE - IND ,10.40,D. Akers K - PHI ,8.00,Bears DEF ,26.00,M. Thomas WR - JAC ,12.30,M. Austin WR - DAL ,12.80,M. Lewis TE - JAC ,12.30,C. Ochocinco WR - CIN ,5.60,B. Lloyd WR - DEN ,17.90,M. Williams WR - TB ,21.60,D. Carpenter K - MIA ,-8.00,Browns DEF ,1.00,129.32,Will,130.36
