Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,P. Manning QB - IND ,31.46,J. Best RB - DET ,14.40,M. Austin WR - DAL ,32.00,G. Jennings WR - GB ,4.20,M. Floyd WR - LAC ,41.30,D. Clark TE - IND IR ,5.00,A. Vinatieri K - IND ,15.00,Packers DEF ,9.00,A. Collie WR - IND IR ,9.80,S. Rice WR - MIN ,0.00,J. Addai RB - IND ,13.90,M. Jones-Drew RB - JAC ,11.30,T. Gonzalez TE - ATL ,9.10,P. Rivers QB - LAC ,54.64,V. Jackson WR - LAC ,0.00,Seahawks DEF ,0.00,152.36,bob,134.94
Dannye Van,6,D. Brees QB - NO ,37.36,R. Mathews RB - LAC ,6.90,C. Johnson WR - DET ,15.40,C. Ochocinco WR - CIN ,5.00,M. Clayton WR - STL IR ,1.60,A. Gates TE - LAC IR ,20.20,M. Bryant K - ATL ,4.00,Chargers DEF ,2.00,J. Charles RB - KC ,10.10,L. McCoy RB - PHI ,24.80,P. Harvin WR - MIN ,26.70,B. Marshall WR - MIA ,0.00,T. Owens WR - CIN IR ,23.20,M. Vick QB - PHI ,0.00,V. Shiancoe TE - MIN ,4.80,R. Brown RB - MIA ,0.00,92.46,Quinten,118.04
Tilly,5,K. Orton QB - DEN ,46.56,D. McFadden RB - LV ,0.00,R. Wayne WR - IND ,13.50,J. Gaffney WR - DEN ,17.70,S. Smith WR - NYG IR ,20.90,T. Scheffler TE - DET ,8.10,M. Crosby K - GB ,4.00,Colts DEF ,8.00,R. Mendenhall RB - PIT ,0.00,C. Spiller RB - BUF ,4.40,D. McNabb QB - WAS ,39.28,T. Brady QB - NE ,0.00,A. Johnson WR - HOU ,14.50,J. Witten TE - DAL ,19.40,E. Manning QB - NYG ,51.78,A. Peterson RB - MIN ,11.80,118.76,LeMar,152.42
LeMar,1,A. Rodgers QB - GB ,40.72,F. Gore RB - SF IR ,11.30,E. Royal WR - DEN ,7.10,H. Nicks WR - NYG ,37.00,R. White WR - ATL ,21.10,Z. Miller TE - LV ,18.20,M. Nugent K - CIN IR ,7.00,Titans DEF ,10.00,M. Ryan QB - ATL ,24.98,D. Jackson WR - PHI ,5.20,P. Hillis RB - CLE ,14.70,J. Maclin WR - PHI ,15.50,S. Moss WR - WAS ,18.80,S. Jackson RB - STL ,13.60,C. Cooley TE - WAS ,13.90,Steelers DEF ,0.00,152.42,Tilly,118.76
Quinten,4,M. Schaub QB - HOU ,14.74,C. Johnson RB - TEN ,26.20,M. Colston WR - NO ,16.70,R. Moss WR - TEN ,18.10,L. Fitzgerald WR - ARI ,16.30,J. Finley TE - GB IR ,0.00,J. Kasay K - CAR ,6.00,Jets DEF ,20.00,R. Meachem WR - NO ,15.70,L. Tomlinson RB - NYJ ,15.70,W. Welker WR - NE ,0.00,M. Turner RB - ATL ,14.00,B. Roethlisberger QB - PIT ,0.00,B. Jacobs RB - NYG ,10.10,F. Jackson RB - BUF ,7.60,B. Jackson RB - GB ,19.00,118.04,Dannye Van,92.46
bob,3,T. Romo QB - DAL IR ,57.14,A. Foster RB - HOU ,4.70,K. Walter WR - HOU ,4.40,A. Boldin WR - BAL ,1.80,B. Lloyd WR - DEN ,30.50,D. Keller TE - NYJ ,3.40,N. Kaeding K - LAC ,10.00,Eagles DEF ,23.00,M. Forte RB - CHI ,32.80,J. Cutler QB - CHI ,0.00,V. Davis TE - SF ,21.40,D. Driver WR - GB ,9.80,B. Edwards WR - NYJ ,12.00,S. Holmes WR - NYJ ,7.10,N. Rackers K - HOU ,4.00,Chiefs DEF ,5.00,134.94,Will,152.36
