Owner,Rank,QB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,P. Manning QB - IND ,48.02,M. Jones-Drew RB - JAC ,16.80,D. Bowe WR - KC ,11.00,G. Jennings WR - GB ,14.10,M. Williams WR - SEA ,3.70,D. Keller TE - NYJ ,6.50,A. Vinatieri K - IND ,13.00,Seahawks DEF ,-4.00,J. Flacco QB - BAL ,0.00,K. Britt WR - TEN ,0.00,A. Collie WR - IND IR ,0.00,J. Best RB - DET ,12.90,S. Rice WR - MIN ,0.00,A. Boldin WR - BAL ,0.00,M. Floyd WR - LAC ,0.00,Packers DEF ,21.00,-,-,109.12,LeMar,89.20
Dannye Van,6,D. Brees QB - NO ,50.00,J. Charles RB - KC ,27.80,P. Garcon WR - IND ,14.80,B. Marshall WR - MIA ,11.40,C. Ochocinco WR - CIN ,6.40,A. Gates TE - LAC IR ,23.30,N. Rackers K - HOU ,7.00,Redskins DEF ,12.00,R. Rice RB - BAL ,0.00,L. McCoy RB - PHI ,0.00,P. Harvin WR - MIN ,18.40,C. Johnson WR - DET ,37.10,T. Owens WR - CIN IR ,23.50,H. Ward WR - PIT ,4.50,M. Vick QB - PHI ,0.00,R. Gould K - CHI ,0.00,-,-,152.70,bob,158.10
Tilly,5,K. Orton QB - DEN ,40.56,D. McFadden RB - LV ,15.50,R. Wayne WR - IND ,13.90,J. Gaffney WR - DEN ,9.40,S. Smith WR - NYG IR ,0.00,T. Scheffler TE - DET ,0.00,M. Crosby K - GB ,8.00,Colts DEF ,16.00,R. Mendenhall RB - PIT ,16.50,C. Spiller RB - BUF ,8.50,D. McNabb QB - WAS ,26.90,T. Brady QB - NE ,31.30,A. Johnson WR - HOU ,23.60,J. Witten TE - DAL ,25.70,E. Manning QB - NYG ,0.00,A. Peterson RB - MIN ,25.20,-,-,103.36,Quinten,75.80
LeMar,1,A. Rodgers QB - GB ,20.30,F. Gore RB - SF IR ,19.50,D. Bess WR - MIA ,9.30,S. Johnson WR - BUF ,14.70,S. Moss WR - WAS ,11.60,Z. Miller TE - LV ,1.80,R. Bironas K - TEN ,5.00,Titans DEF ,7.00,M. Ryan QB - ATL ,0.00,P. Hillis RB - CLE ,0.00,J. Maclin WR - PHI ,0.00,H. Nicks WR - NYG ,0.00,S. Jackson RB - STL ,7.30,C. Cooley TE - WAS ,8.80,R. White WR - ATL ,0.00,Steelers DEF ,9.00,-,-,89.20,Will,109.12
Quinten,4,B. Roethlisberger QB - PIT ,18.70,C. Johnson RB - TEN ,19.30,M. Colston WR - NO ,19.60,R. Moss WR - TEN ,1.80,W. Welker WR - NE ,5.40,--empty--,-,J. Kasay K - CAR ,5.00,Jets DEF ,6.00,R. Meachem WR - NO ,13.60,V. Davis TE - SF ,2.20,L. Tomlinson RB - NYJ ,13.30,M. Schaub QB - HOU ,27.14,M. Turner RB - ATL ,0.00,L. Fitzgerald WR - ARI ,25.20,F. Jackson RB - BUF ,10.50,B. Jackson RB - GB ,9.20,M. Wallace WR - PIT ,7.30,75.80,Tilly,103.36
bob,3,P. Rivers QB - LAC ,47.50,A. Foster RB - HOU ,31.70,D. Bryant WR - DAL IR ,15.40,M. Austin WR - DAL ,18.70,B. Lloyd WR - DEN ,29.90,H. Miller TE - PIT ,2.90,M. Nugent K - CIN IR ,2.00,Chiefs DEF ,10.00,M. Forte RB - CHI ,0.00,T. Gonzalez TE - ATL ,0.00,J. Kitna QB - DAL ,42.36,L. Evans WR - BUF IR ,10.60,B. Edwards WR - NYJ ,4.20,S. Holmes WR - NYJ ,7.30,J. Scobee K - JAC ,5.00,Bears DEF ,0.00,-,-,158.10,Dannye Van,152.70
