Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,C. Newton QB - CAR ,41.60,L. Miller RB - MIA ,2.40,D. Robinson RB - JAC ,8.70,J. Jones WR - ATL ,17.80,S. Watkins WR - BUF ,23.10,A. Seferian-Jenkins TE - TB ,8.90,A. Brown WR - PIT ,30.90,S. Gostkowski K - NE ,15.00,Panthers DEF ,0.00,D. Amendola WR - NE ,-1.70,J. Maclin WR - KC ,11.00,L. Blount RB - NE ,0.00,S. Draughn RB - SF ,4.20,C. Palmer QB - ARI ,14.96,E. Manning QB - NYG ,24.20,K. Aiken WR - BAL ,18.80,T. Benjamin WR - CLE ,3.50,A. Ellington RB - ARI ,0.00,J. Reed TE - WAS ,20.40,D. Adams WR - GB ,3.20,S. Diggs WR - MIN ,17.50,Falcons DEF ,5.00,J. Gordon WR - CLE ,0.00,-,-,-,-,148.40,Jeff,141.76
Dannye Van,8,--empty--,-,J. White RB - NE ,13.70,J. Langford RB - CHI ,5.70,D. Hopkins WR - HOU ,9.40,J. Landry WR - MIA ,5.40,--empty--,-,D. Green-Beckham WR - TEN ,11.30,J. Brown K - NYG ,5.00,Broncos DEF ,6.00,J. Stewart RB - CAR ,0.00,M. Crabtree WR - LV ,7.00,V. Davis TE - DEN ,0.50,D. Walker TE - TEN ,18.40,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,7.00,G. Bernard RB - CIN ,5.10,L. Murray RB - LV ,8.00,D. Carr QB - LV ,19.24,J. Matthews WR - PHI ,21.90,A. Blue RB - HOU ,8.70,J. Hill RB - CIN ,13.10,K. Williams RB - BUF ,4.10,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,-,-,56.50,-,-
Tilly,2,B. Roethlisberger QB - PIT ,22.90,D. Williams RB - PIT ,11.60,A. Peterson RB - MIN ,6.30,J. Jones WR - GB ,14.20,B. Cooks WR - NO ,18.40,B. Watson TE - NO ,10.90,J. Starks RB - GB ,3.60,J. Tucker K - BAL ,2.00,Chiefs DEF ,21.00,M. Bennett TE - CHI ,0.00,J. Edelman WR - NE ,0.00,A. Dalton QB - CIN ,0.00,V. Jackson WR - TB ,0.00,C. Anderson RB - DEN ,2.00,J. Winston QB - TB ,19.02,T. Montgomery WR - GB ,0.00,T. Rawls RB - SEA ,0.00,J. Lambo K - LAC ,6.00,Colts DEF ,8.00,C. Johnson RB - ARI ,0.00,J. Nelson WR - GB ,0.00,J. McCown QB - CLE ,0.00,V. Cruz WR - NYG ,0.00,-,-,-,-,110.90,bob,99.48
LeMar,6,M. Ryan QB - ATL ,11.84,D. Murray RB - PHI ,0.30,E. Lacy RB - GB ,2.30,D. Thomas WR - DEN ,18.10,A. Hurns WR - JAC ,4.40,G. Olsen TE - CAR ,13.90,R. Cobb WR - GB ,5.80,D. Carpenter K - BUF ,5.00,Cardinals DEF ,17.00,R. Jennings RB - NYG ,14.70,M. Stafford QB - DET ,22.06,R. Mathews RB - PHI ,4.10,J. Thomas TE - JAC ,7.90,A. Gates TE - LAC ,8.80,A. Boldin WR - SF ,11.40,R. White WR - ATL ,4.70,R. Matthews WR - MIA ,0.00,M. Wheaton WR - PIT ,12.20,K. Davis RB - KC ,1.40,M. Gordon RB - LAC ,4.70,C. Catanzaro K - ARI ,10.00,Seahawks DEF ,9.00,-,-,-,-,-,-,78.64,-,-
Quinten,7,A. Rodgers QB - GB ,10.06,J. Bell RB - DET ,16.10,A. Morris RB - WAS ,8.40,C. Johnson WR - DET ,1.90,A. Robinson WR - JAC ,11.70,D. Allen TE - IND ,0.60,T. Yeldon RB - JAC ,0.00,A. Vinatieri K - IND ,4.00,Patriots DEF ,18.00,J. Graham TE - SEA ,0.00,E. Sanders WR - DEN ,26.50,T. Taylor QB - BUF ,27.30,M. Asiata RB - MIN ,3.40,M. Lynch RB - SEA ,0.00,P. Rivers QB - LAC ,20.44,D. Moncrief WR - IND ,11.10,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,7.20,J. Brown WR - ARI ,9.80,T. Coleman RB - ATL ,2.30,R. Gould K - CHI ,7.00,Packers DEF ,14.00,-,-,-,-,-,-,70.76,-,-
bob,3,B. Bortles QB - JAC ,24.28,D. Freeman RB - ATL ,16.10,T. Gurley RB - STL ,13.90,B. Marshall WR - NYJ ,7.40,M. Evans WR - TB ,15.70,G. Barnidge TE - CLE ,8.90,C. Ivory RB - NYJ ,4.20,G. Gano K - CAR ,8.00,Giants DEF ,1.00,T. Hightower RB - NO ,8.50,D. Bryant WR - DAL ,11.00,E. Decker WR - NYJ ,11.50,B. LaFell WR - NE ,8.80,T. Romo QB - DAL ,0.00,M. Floyd WR - LAC ,2.70,M. Jones WR - CIN ,8.90,R. Tannehill QB - MIA ,15.04,T. Riddick RB - DET ,3.00,T. Kelce TE - KC ,7.30,A. Andrews RB - TEN ,7.00,D. Parker WR - MIA ,8.70,D. Funchess WR - CAR ,9.00,M. Ingram RB - NO ,0.00,D. Lewis RB - NE ,0.00,L. Bell RB - PIT ,0.00,99.48,Tilly,110.90
the old man,5,T. Brady QB - NE ,18.68,L. McCoy RB - BUF ,3.70,F. Gore RB - IND ,5.90,D. Baldwin WR - SEA ,16.50,A. Cooper WR - LV ,24.00,R. Gronkowski TE - NE ,11.40,D. McFadden RB - DAL ,11.30,D. Bailey K - DAL ,12.00,Bengals DEF ,13.00,D. Jackson WR - WAS ,21.30,G. Tate WR - DET ,16.50,L. Fitzgerald WR - ARI ,4.30,T. Ginn WR - CAR ,20.50,T. Hilton WR - IND ,2.90,R. Hillman RB - DEN ,2.80,T. Austin WR - STL ,19.30,W. Snead WR - NO ,7.60,R. Rodgers TE - GB ,0.70,A. Abdullah RB - DET ,12.90,D. Johnson RB - CLE ,8.50,M. Mariota QB - TEN ,-0.72,Eagles DEF ,1.00,J. Forsett RB - BAL ,0.00,A. Foster RB - HOU ,0.00,-,-,116.48,-,-
Jeff,1,R. Wilson QB - SEA ,26.56,M. Forte RB - CHI ,16.40,D. Martin RB - TB ,9.70,A. Green WR - CIN ,3.70,O. Beckham WR - NYG ,13.60,E. Ebron TE - DET ,7.90,D. Johnson RB - ARI ,40.90,S. Hauschka K - SEA ,12.00,Jets DEF ,11.00,D. Woodhead RB - LAC ,30.00,S. Vereen RB - NYG ,13.20,D. Brees QB - NO ,26.74,N. Washington WR - HOU ,1.80,M. Floyd WR - ARI ,7.00,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,M. Bryant WR - PIT ,8.70,I. Crowell RB - CLE ,3.00,C. West RB - KC ,14.50,J. Allen RB - BAL ,-0.20,M. Jones RB - WAS ,3.60,Rams DEF ,4.00,J. Charles RB - KC ,0.00,K. Allen WR - LAC ,0.00,-,-,141.76,Will,148.40
