Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,C. Newton QB - CAR ,12.50,J. Forsett RB - BAL ,5.60,L. Miller RB - MIA ,7.50,J. Jones WR - ATL ,26.10,A. Brown WR - PIT ,19.30,Z. Ertz TE - PHI ,4.60,A. Ellington RB - ARI ,11.60,S. Gostkowski K - NE ,4.00,Panthers DEF ,21.00,D. Jackson WR - WAS ,0.00,J. Maclin WR - KC ,5.20,L. Blount RB - NE ,0.00,R. Helu RB - LV ,0.00,V. Davis TE - DEN ,4.70,E. Manning QB - NYG ,8.36,M. Floyd WR - ARI ,1.80,L. Green TE - LAC ,13.40,A. Morris RB - WAS ,12.10,D. Hopkins WR - HOU ,23.80,D. Adams WR - GB ,5.90,A. Seferian-Jenkins TE - TB ,23.00,T. Rawls RB - SEA ,0.50,J. Gordon WR - CLE ,0.00,112.20,Dannye Van,101.32
Dannye Van,5,A. Luck QB - IND ,17.72,J. Stewart RB - CAR ,8.10,J. Hill RB - CIN ,18.30,S. Smith WR - BAL ,1.30,J. Matthews WR - PHI ,10.20,J. Witten TE - DAL ,18.00,J. Landry WR - MIA ,6.70,C. Parkey K - PHI ,6.00,Dolphins DEF ,15.00,D. McFadden RB - DAL ,3.50,K. Britt WR - STL ,3.70,M. Crabtree WR - LV ,3.70,A. Foster RB - HOU ,0.00,S. Bradford QB - PHI ,13.44,C. Spiller RB - NO ,0.00,A. Jeffery WR - CHI ,7.80,C. Michael RB - SEA ,0.00,G. Bernard RB - CIN ,8.80,L. Murray RB - LV ,8.00,E. Ebron TE - DET ,11.30,B. Oliver RB - LAC ,2.10,N. Agholor WR - PHI ,0.50,K. Benjamin WR - CAR ,0.00,101.32,Will,112.20
Tilly,8,B. Roethlisberger QB - PIT ,18.04,A. Peterson RB - MIN ,5.20,C. Anderson RB - DEN ,4.80,S. Watkins WR - BUF ,0.00,B. Cooks WR - NO ,5.30,C. Fleener TE - IND ,2.50,V. Jackson WR - TB ,5.10,J. Tucker K - BAL ,9.00,Ravens DEF ,16.00,J. Edelman WR - NE ,10.60,J. Cameron TE - MIA ,7.30,D. Williams RB - PIT ,13.20,D. Brees QB - NO ,16.50,M. Wallace WR - MIN ,6.30,V. Cruz WR - NYG ,0.00,C. Johnson WR - MIN ,2.70,T. Bridgewater QB - MIN ,8.84,T. Mason RB - STL ,0.00,A. Blue RB - HOU ,4.90,J. Winston QB - TB ,14.20,D. Parker WR - MIA ,0.00,D. Green-Beckham WR - TEN ,0.00,J. Nelson WR - GB ,0.00,65.94,Jeff,117.84
LeMar,4,M. Ryan QB - ATL ,16.62,D. Murray RB - PHI ,14.00,E. Lacy RB - GB ,15.90,D. Thomas WR - DEN ,6.00,A. Boldin WR - SF ,3.60,G. Olsen TE - CAR ,1.10,M. Wheaton WR - PIT ,7.50,D. Bailey K - DAL ,9.00,Seahawks DEF ,19.00,R. Jennings RB - NYG ,11.20,M. Stafford QB - DET ,13.74,R. Mathews RB - PHI ,8.80,J. Thomas TE - JAC ,0.00,R. Cobb WR - GB ,9.80,T. Smith WR - SF ,1.10,R. White WR - ATL ,8.40,C. Patterson WR - MIN ,0.10,J. McKinnon RB - MIN ,2.80,T. Lockett WR - SEA ,3.40,M. Gordon RB - LAC ,4.70,K. White WR - CHI ,0.00,Cardinals DEF ,5.00,-,-,92.72,the old man,72.90
Quinten,7,A. Rodgers QB - GB ,23.06,M. Lynch RB - SEA ,12.40,C. Sims RB - TB ,3.50,E. Sanders WR - DEN ,6.50,C. Johnson WR - DET ,3.90,J. Graham TE - SEA ,11.10,T. Yeldon RB - JAC ,6.70,A. Vinatieri K - IND ,0.00,Patriots DEF ,5.00,J. Bell RB - DET ,4.10,A. Quarless TE - GB ,0.00,M. Asiata RB - MIN ,3.20,P. Rivers QB - LAC ,19.92,D. Allen TE - IND ,7.70,A. Robinson WR - JAC ,2.70,C. Latimer WR - DEN ,0.00,D. Moncrief WR - IND ,10.60,C. Hyde RB - SF ,30.20,J. Brown WR - ARI ,10.60,T. Coleman RB - ATL ,8.00,B. Perriman WR - BAL ,0.00,J. Hayne RB - SF ,0.00,-,-,72.16,bob,118.64
bob,1,T. Romo QB - DAL ,22.14,M. Ingram RB - NO ,12.20,C. Ivory RB - NYJ ,22.00,D. Bryant WR - DAL ,4.80,B. Marshall WR - NYJ ,12.20,T. Kelce TE - KC ,22.60,D. Freeman RB - ATL ,4.70,M. Bryant K - ATL ,14.00,Packers DEF ,4.00,E. Decker WR - NYJ ,9.70,B. LaFell WR - NE ,0.00,O. Daniels TE - DEN ,0.50,D. Walker TE - TEN ,10.30,M. Jones WR - CIN ,1.90,R. Tannehill QB - MIA ,11.74,J. Randle RB ,10.70,L. Bell RB - PIT ,0.00,M. Evans WR - TB ,0.00,T. West RB - BAL ,2.10,D. Funchess WR - CAR ,0.90,T. Gurley RB - STL ,0.00,Eagles DEF ,5.00,-,-,118.64,Quinten,72.16
the old man,6,P. Manning QB - DEN ,4.90,F. Gore RB - IND ,3.10,D. Sproles RB - PHI ,12.60,A. Johnson WR - IND ,2.40,T. Hilton WR - IND ,8.80,R. Gronkowski TE - NE ,27.40,A. Cooper WR - LV ,4.70,M. Crosby K - GB ,7.00,Texans DEF ,2.00,P. Garcon WR - WAS ,7.40,L. McCoy RB - BUF ,8.70,G. Tate WR - DET ,2.40,T. Brady QB - NE ,27.62,L. Fitzgerald WR - ARI ,8.70,B. Sankey RB - TEN ,20.60,A. Abdullah RB - DET ,15.40,D. Cobb RB - TEN ,0.00,P. Dorsett WR - IND ,2.50,D. Johnson RB - CLE ,2.20,J. Strong WR - HOU ,0.00,M. Mariota QB - TEN ,24.96,J. Robinson RB - IND ,1.10,-,-,72.90,LeMar,92.72
Jeff,2,R. Wilson QB - SEA ,15.14,M. Forte RB - CHI ,22.60,J. Charles RB - KC ,16.30,A. Green WR - CIN ,6.30,O. Beckham WR - NYG ,4.40,M. Bennett TE - CHI ,11.50,K. Allen WR - LAC ,16.60,S. Hauschka K - SEA ,11.00,Rams DEF ,14.00,D. Woodhead RB - LAC ,18.20,S. Vereen RB - NYG ,5.90,M. Colston WR - NO ,2.90,D. Baldwin WR - SEA ,3.50,D. Martin RB - TB ,5.40,K. Wright WR - TEN ,16.10,T. Eifert TE - CIN ,22.40,K. Stills WR - MIA ,1.20,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,3.30,S. Coates WR - PIT ,0.00,M. Jones RB - WAS ,2.80,D. Johnson RB - ARI ,11.50,-,-,117.84,Tilly,65.94
