Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,6,C. Palmer QB - ARI ,18.54,J. Forsett RB - BAL ,2.90,A. Morris RB - WAS ,1.90,J. Jones WR - ATL ,28.40,A. Brown WR - PIT ,10.80,L. Green TE - LAC ,0.00,S. Johnson WR - LAC ,4.60,S. Gostkowski K - NE ,15.00,Panthers DEF ,5.00,J. Maclin WR - KC ,20.10,L. Blount RB - NE ,27.20,J. Starks RB - GB ,5.10,C. Newton QB - CAR ,29.90,E. Manning QB - NYG ,19.16,T. Benjamin WR - CLE ,8.50,L. Miller RB - MIA ,6.50,A. Ellington RB - ARI ,0.00,Z. Ertz TE - PHI ,3.00,D. Hopkins WR - HOU ,16.10,D. Adams WR - GB ,0.00,A. Seferian-Jenkins TE - TB ,0.00,T. Rawls RB - SEA ,10.40,J. Gordon WR - CLE ,0.00,87.14,LeMar,125.80
Dannye Van,7,A. Luck QB - IND ,16.50,J. Stewart RB - CAR ,5.20,J. Hill RB - CIN ,2.10,M. Crabtree WR - LV ,3.60,S. Smith WR - BAL ,30.60,E. Ebron TE - DET ,6.10,L. Murray RB - LV ,20.90,C. Parkey K - PHI ,6.00,Broncos DEF ,14.00,A. Foster RB - HOU ,0.00,S. Bradford QB - PHI ,8.52,C. Spiller RB - NO ,2.60,J. Witten TE - DAL ,6.50,A. Jeffery WR - CHI ,0.00,C. Michael RB - SEA ,0.00,G. Bernard RB - CIN ,8.30,J. Landry WR - MIA ,8.60,J. Matthews WR - PHI ,4.90,J. Langford RB - CHI ,0.00,N. Agholor WR - PHI ,0.00,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,-,-,105.00,bob,124.38
Tilly,4,B. Roethlisberger QB - PIT ,5.68,D. McFadden RB - DAL ,9.50,A. Peterson RB - MIN ,24.60,J. Edelman WR - NE ,8.50,J. Jones WR - GB ,19.90,K. Rudolph TE - MIN ,1.40,V. Jackson WR - TB ,4.00,J. Tucker K - BAL ,6.00,Bills DEF ,15.00,P. Harvin WR - BUF ,8.20,D. Williams RB - PIT ,0.20,D. Brees QB - NO ,0.00,M. Wallace WR - MIN ,4.90,V. Cruz WR - NYG ,0.00,C. Anderson RB - DEN ,2.70,C. Johnson WR - MIN ,0.90,S. Watkins WR - BUF ,3.90,T. Bridgewater QB - MIN ,2.74,B. Cooks WR - NO ,7.90,J. Winston QB - TB ,12.44,D. Green-Beckham WR - TEN ,8.20,Chiefs DEF ,-3.00,J. Nelson WR - GB ,0.00,94.58,Quinten,88.22
LeMar,2,M. Ryan QB - ATL ,23.10,E. Lacy RB - GB ,8.70,M. Gordon RB - LAC ,5.10,D. Thomas WR - DEN ,13.20,R. Cobb WR - GB ,28.30,G. Olsen TE - CAR ,25.40,T. Williams WR - DAL ,0.00,D. Bailey K - DAL ,4.00,Seahawks DEF ,18.00,R. Jennings RB - NYG ,5.70,M. Stafford QB - DET ,8.58,R. Mathews RB - PHI ,16.80,D. Murray RB - PHI ,0.00,J. Thomas TE - JAC ,0.00,T. Smith WR - SF ,0.00,A. Gates TE - LAC ,0.00,A. Boldin WR - SF ,1.60,R. White WR - ATL ,0.00,H. Miller TE - PIT ,1.70,M. Wheaton WR - PIT ,1.60,T. Lockett WR - SEA ,0.00,Cardinals DEF ,28.00,-,-,125.80,Will,87.14
Quinten,8,A. Rodgers QB - GB ,34.92,M. Lynch RB - SEA ,2.30,C. Hyde RB - SF ,6.10,E. Sanders WR - DEN ,8.70,C. Johnson WR - DET ,7.70,J. Graham TE - SEA ,14.30,T. Yeldon RB - JAC ,4.20,A. Vinatieri K - IND ,5.00,Patriots DEF ,5.00,J. Bell RB - DET ,6.40,A. Quarless TE - GB ,1.40,T. Taylor QB - BUF ,24.28,M. Asiata RB - MIN ,1.50,P. Rivers QB - LAC ,9.84,D. Allen TE - IND ,0.00,A. Robinson WR - JAC ,6.80,C. Latimer WR - DEN ,0.00,D. Moncrief WR - IND ,9.20,C. Sims RB - TB ,11.20,J. Brown WR - ARI ,6.20,T. Coleman RB - ATL ,0.00,B. Perriman WR - BAL ,0.00,-,-,88.22,Tilly,94.58
bob,3,R. Tannehill QB - MIA ,15.78,M. Ingram RB - NO ,15.90,L. Bell RB - PIT ,19.20,B. Marshall WR - NYJ ,14.90,M. Evans WR - TB ,10.10,T. Kelce TE - KC ,10.00,J. Randle RB ,28.50,M. Bryant K - ATL ,7.00,Bengals DEF ,3.00,D. Bryant WR - DAL ,0.00,E. Decker WR - NYJ ,0.00,B. LaFell WR - NE ,0.00,D. Lewis RB - NE ,12.70,D. Walker TE - TEN ,6.80,T. Romo QB - DAL ,0.00,C. Ivory RB - NYJ ,0.00,M. Jones WR - CIN ,15.40,D. Freeman RB - ATL ,37.30,D. Parker WR - MIA ,4.60,D. Funchess WR - CAR ,1.40,T. Gurley RB - STL ,1.40,Eagles DEF ,16.00,-,-,124.38,Dannye Van,105.00
the old man,5,T. Brady QB - NE ,22.72,L. McCoy RB - BUF ,8.60,F. Gore RB - IND ,21.40,L. Fitzgerald WR - ARI ,25.40,A. Cooper WR - LV ,11.40,R. Gronkowski TE - NE ,10.10,G. Tate WR - DET ,5.70,M. Crosby K - GB ,8.00,Texans DEF ,6.00,P. Garcon WR - WAS ,6.40,P. Manning QB - DEN ,18.86,A. Johnson WR - IND ,0.00,D. Sproles RB - PHI ,9.60,C. Fleener TE - IND ,5.10,T. Hilton WR - IND ,9.40,R. Hillman RB - DEN ,7.60,B. Sankey RB - TEN ,4.10,A. Abdullah RB - DET ,10.20,P. Dorsett WR - IND ,10.30,D. Johnson RB - CLE ,3.50,M. Mariota QB - TEN ,18.68,J. Robinson RB - IND ,0.80,D. Cobb RB - TEN ,0.00,119.32,Jeff,140.70
Jeff,1,R. Wilson QB - SEA ,16.20,M. Forte RB - CHI ,7.40,J. Charles RB - KC ,26.20,A. Green WR - CIN ,34.70,O. Beckham WR - NYG ,13.90,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,25.30,S. Hauschka K - SEA ,14.00,Jets DEF ,3.00,M. Bennett TE - CHI ,1.50,D. Woodhead RB - LAC ,4.30,S. Vereen RB - NYG ,2.30,M. Colston WR - NO ,4.70,D. Baldwin WR - SEA ,3.50,D. Martin RB - TB ,4.60,K. Wright WR - TEN ,16.80,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,3.60,S. Coates WR - PIT ,0.00,M. Jones RB - WAS ,1.80,D. Johnson RB - ARI ,4.10,Rams DEF ,11.00,-,-,140.70,the old man,119.32
