Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,C. Newton QB - CAR ,14.28,D. Robinson RB - JAC ,7.00,C. Artis-Payne RB - CAR ,5.60,J. Jones WR - ATL ,23.80,A. Brown WR - PIT ,6.10,J. Reed TE - WAS ,24.90,J. Maclin WR - KC ,10.90,S. Gostkowski K - NE ,8.00,Panthers DEF ,5.00,S. Draughn RB - SF ,0.00,C. Palmer QB - ARI ,16.60,S. Jackson RB - NE ,1.50,E. Manning QB - NYG ,7.36,K. Aiken WR - BAL ,6.60,T. Benjamin WR - CLE ,2.00,L. Miller RB - MIA ,12.70,A. Ellington RB - ARI ,4.50,S. Watkins WR - BUF ,8.40,D. Adams WR - GB ,4.20,A. Seferian-Jenkins TE - TB ,12.00,S. Diggs WR - MIN ,1.90,Falcons DEF ,8.00,L. Blount RB - NE ,0.00,J. Gordon WR - CLE ,0.00,-,-,105.58,Tilly,89.20
Dannye Van,8,D. Carr QB - LV ,15.16,G. Bernard RB - CIN ,4.30,K. Williams RB - BUF ,13.70,D. Hopkins WR - HOU ,17.70,J. Landry WR - MIA ,11.10,D. Walker TE - TEN ,5.90,L. Murray RB - LV ,17.70,J. Brown K - NYG ,5.00,Broncos DEF ,5.00,J. Stewart RB - CAR ,0.00,M. Crabtree WR - LV ,9.90,V. Davis TE - DEN ,0.00,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,0.00,J. Matthews WR - PHI ,16.40,A. Blue RB - HOU ,5.00,J. Hill RB - CIN ,6.10,J. White RB - NE ,9.20,J. Langford RB - CHI ,8.30,D. Green-Beckham WR - TEN ,0.00,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,-,-,-,-,-,-,95.56,Quinten,68.84
Tilly,2,B. Roethlisberger QB - PIT ,4.50,D. Williams RB - PIT ,25.30,A. Peterson RB - MIN ,17.90,J. Jones WR - GB ,6.60,B. Cooks WR - NO ,19.30,B. Watson TE - NO ,0.50,J. Starks RB - GB ,-0.90,J. Tucker K - BAL ,10.00,Chiefs DEF ,6.00,M. Bennett TE - CHI ,0.00,J. Edelman WR - NE ,0.00,A. Dalton QB - CIN ,0.00,V. Jackson WR - TB ,0.00,C. Anderson RB - DEN ,12.10,J. Winston QB - TB ,18.80,T. Montgomery WR - GB ,0.00,T. Rawls RB - SEA ,0.00,J. Lambo K - LAC ,8.00,Colts DEF ,14.00,C. Johnson RB - ARI ,0.00,J. Nelson WR - GB ,0.00,J. McCown QB - CLE ,0.00,V. Cruz WR - NYG ,0.00,-,-,-,-,89.20,Will,105.58
LeMar,6,M. Ryan QB - ATL ,14.34,D. Murray RB - PHI ,11.10,E. Lacy RB - GB ,14.80,D. Thomas WR - DEN ,5.90,A. Hurns WR - JAC ,22.70,G. Olsen TE - CAR ,4.00,R. Cobb WR - GB ,1.70,D. Carpenter K - BUF ,4.00,Cardinals DEF ,33.00,R. Jennings RB - NYG ,13.60,M. Stafford QB - DET ,21.14,R. Mathews RB - PHI ,7.80,J. Thomas TE - JAC ,1.20,A. Gates TE - LAC ,1.10,A. Boldin WR - SF ,2.70,R. White WR - ATL ,6.70,R. Matthews WR - MIA ,0.00,M. Wheaton WR - PIT ,4.10,K. Davis RB - KC ,0.00,M. Gordon RB - LAC ,0.00,C. Catanzaro K - ARI ,8.00,Seahawks DEF ,1.00,-,-,-,-,-,-,111.54,the old man,73.84
Quinten,7,A. Rodgers QB - GB ,7.94,J. Bell RB - DET ,8.20,A. Morris RB - WAS ,4.90,C. Johnson WR - DET ,13.70,A. Robinson WR - JAC ,21.10,D. Allen TE - IND ,0.00,T. Yeldon RB - JAC ,0.00,A. Vinatieri K - IND ,4.00,Patriots DEF ,9.00,J. Graham TE - SEA ,0.00,E. Sanders WR - DEN ,12.70,T. Taylor QB - BUF ,11.86,M. Asiata RB - MIN ,1.40,M. Lynch RB - SEA ,0.00,P. Rivers QB - LAC ,15.08,D. Moncrief WR - IND ,1.50,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,17.70,J. Brown WR - ARI ,8.50,T. Coleman RB - ATL ,0.00,R. Gould K - CHI ,16.00,Packers DEF ,6.00,-,-,-,-,-,-,68.84,Dannye Van,95.56
bob,3,B. Bortles QB - JAC ,29.22,T. Hightower RB - NO ,28.90,T. Gurley RB - STL ,15.00,B. Marshall WR - NYJ ,23.50,D. Parker WR - MIA ,9.30,G. Barnidge TE - CLE ,4.70,E. Decker WR - NYJ ,10.70,G. Gano K - CAR ,7.00,Giants DEF ,-1.00,D. Bryant WR - DAL ,0.00,B. LaFell WR - NE ,2.80,T. Romo QB - DAL ,0.00,M. Floyd WR - LAC ,4.20,C. Ivory RB - NYJ ,4.20,M. Jones WR - CIN ,3.30,R. Tannehill QB - MIA ,13.96,T. Riddick RB - DET ,8.30,T. Kelce TE - KC ,10.30,M. Evans WR - TB ,6.10,D. Freeman RB - ATL ,15.00,A. Andrews RB - TEN ,-1.90,D. Funchess WR - CAR ,0.00,M. Ingram RB - NO ,0.00,D. Lewis RB - NE ,0.00,L. Bell RB - PIT ,0.00,127.32,Jeff,83.96
the old man,5,T. Brady QB - NE ,11.14,D. McFadden RB - DAL ,9.80,F. Gore RB - IND ,21.50,L. Fitzgerald WR - ARI ,8.90,A. Cooper WR - LV ,1.00,R. Gronkowski TE - NE ,8.60,T. Ginn WR - CAR ,0.90,D. Bailey K - DAL ,6.00,Bengals DEF ,6.00,D. Jackson WR - WAS ,4.00,L. McCoy RB - BUF ,0.00,G. Tate WR - DET ,5.90,D. Baldwin WR - SEA ,17.80,T. Hilton WR - IND ,6.40,R. Hillman RB - DEN ,7.20,T. Austin WR - STL ,2.80,W. Snead WR - NO ,7.50,R. Rodgers TE - GB ,0.20,A. Abdullah RB - DET ,4.80,D. Johnson RB - CLE ,4.10,M. Mariota QB - TEN ,0.00,Eagles DEF ,1.00,J. Forsett RB - BAL ,0.00,A. Foster RB - HOU ,0.00,-,-,73.84,LeMar,111.54
Jeff,1,R. Wilson QB - SEA ,19.36,D. Woodhead RB - LAC ,10.80,D. Martin RB - TB ,7.50,A. Green WR - CIN ,11.70,M. Bryant WR - PIT ,1.00,E. Ebron TE - DET ,4.90,D. Johnson RB - ARI ,18.70,S. Hauschka K - SEA ,5.00,Jets DEF ,5.00,M. Forte RB - CHI ,7.70,S. Vereen RB - NYG ,2.40,D. Brees QB - NO ,28.18,N. Washington WR - HOU ,10.20,M. Floyd WR - ARI ,11.10,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,1.50,O. Beckham WR - NYG ,0.00,I. Crowell RB - CLE ,14.80,C. West RB - KC ,6.10,J. Allen RB - BAL ,17.20,M. Jones RB - WAS ,0.00,Rams DEF ,17.00,J. Charles RB - KC ,0.00,K. Allen WR - LAC ,0.00,-,-,83.96,bob,127.32
