Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,J. Winston QB - TB ,12.46,M. Ingram RB - NO ,7.60,L. Miller RB - HOU ,8.70,J. Jones WR - ATL ,10.80,S. Diggs WR - MIN ,3.10,J. Reed TE - WAS ,4.80,M. Evans WR - TB ,15.30,S. Gostkowski K - NE ,12.00,Patriots DEF ,2.00,J. Maclin WR - BAL ,9.10,K. Rudolph TE - MIN ,4.50,C. Newton QB - CAR ,11.82,J. Rodgers RB - TB ,12.70,S. Vereen RB - NYG ,5.50,L. Murray RB - MIN ,0.60,D. Adams WR - GB ,15.90,C. West RB - KC ,0.00,C. Brate TE - TB ,2.40,J. James TE - PIT ,2.70,K. White WR - CHI ,0.00,K. Drake RB - MIA ,-0.30,T. Sharpe WR - TEN ,0.00,M. Mack RB - IND ,0.80,P. Mahomes QB - KC ,0.00,76.76,Tilly,65.04
Dannye Van,7,D. Carr QB - LV ,21.20,P. Perkins RB - NYG ,2.20,D. Cook RB - MIN ,6.40,K. Benjamin WR - BUF ,7.70,T. Hill WR - KC ,4.90,D. Walker TE - TEN ,12.20,K. Williams RB - ARI ,2.20,C. Santos K - CHI ,9.00,Broncos DEF ,13.00,M. Crabtree WR - LV ,26.00,M. Jones WR - DET ,8.70,D. Martin RB - TB ,0.00,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,15.20,D. Hopkins WR - HOU ,7.30,S. Watkins WR - LA ,3.00,J. Hill RB - CIN ,1.90,C. Coleman WR - CLE ,0.90,D. Washington RB - LV ,3.50,R. Kelley RB - WAS ,7.80,O. Howard TE - TB ,1.70,K. Golladay WR - DET ,0.80,D. Watson QB - HOU ,17.70,S. Perine RB - WAS ,6.70,78.80,LeMar,71.88
Tilly,6,A. Smith QB - KC ,16.14,T. West RB - BAL ,10.50,T. Montgomery RB - GB ,23.00,J. Nelson WR - GB ,0.00,B. Cooks WR - NE ,4.30,A. Hooper TE - ATL ,0.70,C. McCaffrey RB - CAR ,4.40,D. Bailey K - DAL ,7.00,Jaguars DEF ,-1.00,M. Bennett TE - NE ,4.70,K. Britt WR - NE ,0.20,A. Dalton QB - CIN ,9.46,B. Roethlisberger QB - PIT ,17.52,A. Peterson RB - ARI ,2.60,K. Stills WR - MIA ,9.70,P. Dorsett WR - NE ,7.50,T. Rawls RB - SEA ,0.40,T. Williams WR - LAC ,5.40,H. Henry TE - LAC ,8.00,C. Prosise RB - SEA ,2.20,R. Anderson WR - NYJ ,2.80,A. Vinatieri K - IND ,7.00,Giants DEF ,5.00,J. Edelman WR - NE ,0.00,65.04,Will,76.76
LeMar,8,M. Ryan QB - ATL ,14.88,B. Powell RB - NYJ ,1.30,M. Gordon RB - LAC ,13.80,D. Thomas WR - DEN ,7.10,R. Cobb WR - GB ,7.00,G. Olsen TE - CAR ,1.00,D. Murray RB - TEN ,2.80,C. Boswell K - PIT ,14.00,Cardinals DEF ,10.00,M. Stafford QB - DET ,13.18,R. Mathews RB ,0.00,J. Thomas TE - MIA ,2.60,R. Matthews WR - TEN ,4.30,R. Burkhead RB - NE ,10.40,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,0.80,E. Lacy RB - SEA ,0.00,J. McKinnon RB - MIN ,2.50,J. White RB - NE ,9.60,A. Hurns WR - JAX ,14.20,B. Perriman WR - BAL ,0.00,A. Humphries WR - TB ,1.80,J. Doctson WR - WAS ,0.00,Seahawks DEF ,8.00,71.88,Dannye Van,78.80
Quinten,2,A. Rodgers QB - GB ,18.52,M. Lynch RB - LV ,10.90,C. Hyde RB - SF ,14.30,D. Jackson WR - TB ,3.90,E. Sanders WR - DEN ,18.20,J. Graham TE - SEA ,0.10,A. Thielen WR - MIN ,2.40,C. Catanzaro K - NYJ ,8.00,Lions DEF ,17.00,D. Woodhead RB - BAL ,0.00,L. Fitzgerald WR - ARI ,2.10,P. Rivers QB - LAC ,17.24,R. Woods WR - LA ,0.80,J. Doyle TE - IND ,7.90,E. Ebron TE - DET ,10.20,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,1.80,C. Sims RB - TB ,-1.10,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,3.10,J. Nelson WR - ARI ,18.00,T. Siemian QB - DEN ,22.64,W. Fuller WR - HOU ,0.00,D. Henry RB - TEN ,15.20,93.32,Matthew,62.82
bob,1,D. Prescott QB - DAL ,15.92,L. Bell RB - PIT ,9.10,D. Freeman RB - ATL ,22.00,A. Brown WR - PIT ,6.20,M. Thomas WR - NO ,8.90,T. Kelce TE - KC ,16.30,K. Hunt RB - KC ,22.90,G. Tavecchio K - LV ,9.00,Steelers DEF ,8.00,D. Bryant WR - DAL ,11.90,C. Clay TE - BUF ,2.30,C. Beasley WR - DAL ,3.30,B. Bortles QB - JAX ,9.82,D. Parker WR - MIA ,8.50,J. Crowder WR - WAS ,4.70,T. Gurley RB - LA ,23.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,0.00,J. Howard RB - CHI ,0.70,C. Davis WR - TEN ,0.40,Z. Jones WR - BUF ,1.80,D. Foreman RB - HOU ,4.00,A. Kamara RB - NO ,5.40,J. Smith-Schuster WR - PIT ,7.60,118.32,Chris,84.88
the old man,5,T. Brady QB - NE ,30.78,L. McCoy RB - BUF ,4.30,M. Gillislee RB - NE ,12.90,T. Hilton WR - IND ,4.90,A. Cooper WR - LV ,3.30,R. Gronkowski TE - NE ,17.60,F. Gore RB - IND ,10.60,K. Forbath K - MIN ,3.00,Eagles DEF ,4.00,J. Stewart RB - CAR ,4.00,G. Tate WR - DET ,2.50,T. Taylor QB - BUF ,10.50,D. Baldwin WR - SEA ,4.40,T. Pryor WR - WAS ,3.10,G. Bernard RB - CIN ,2.60,M. Lee WR - JAX ,7.60,J. Matthews WR - BUF ,3.00,M. Bryant WR - PIT ,15.80,A. Abdullah RB - DET ,8.60,M. Mariota QB - TEN ,13.00,J. Ross WR - CIN ,-0.80,C. Samuel WR - CAR ,0.70,M. Williams WR - LAC ,0.00,Ravens DEF ,17.00,91.38,Jeff,70.72
Jeff,10,R. Wilson QB - SEA ,15.32,I. Crowell RB - CLE ,3.70,T. Coleman RB - ATL ,10.50,A. Green WR - CIN ,6.70,K. Allen WR - LAC ,10.00,T. Eifert TE - CIN ,4.20,C. Kupp WR - LA ,3.30,B. Walsh K - SEA ,6.00,Chiefs DEF ,11.00,M. Forte RB - NYJ ,9.10,J. Charles RB - DEN ,5.20,B. Marshall WR - NYG ,1.70,D. Brees QB - NO ,22.24,S. Ware RB - KC ,0.00,J. Landry WR - MIA ,7.10,O. Beckham WR - NYG ,3.60,D. Johnson RB - ARI ,0.00,K. Williams WR ,0.00,J. Conner RB - PIT ,0.90,D. Kizer QB - CLE ,1.88,D. Njoku TE - CLE ,8.70,J. Williams RB - GB ,1.10,T. Cohen RB - CHI ,4.80,Falcons DEF ,13.00,70.72,the old man,91.38
Chris,4,C. Palmer QB - ARI ,15.88,C. Anderson RB - DEN ,27.40,D. Johnson RB - CLE ,8.00,P. Garcon WR - SF ,2.60,T. Gabriel WR - ATL ,2.10,A. Gates TE - LAC ,7.10,C. Hogan WR - NE ,13.80,J. Tucker K - BAL ,6.00,Vikings DEF ,2.00,J. Witten TE - DAL ,15.70,E. Manning QB - NYG ,11.56,M. Wallace WR - BAL ,0.70,D. Allen TE - NE ,0.00,C. Thompson RB - WAS ,22.60,Q. Enunwa WR - NYJ ,0.00,W. Snead WR - NO ,0.00,R. Rodgers TE - GB ,2.20,L. Treadwell WR - MIN ,3.30,K. Dixon RB - BAL ,0.00,J. Richard RB - LV ,16.90,J. Williams RB - SF ,0.00,J. Mixon RB - CIN ,4.10,M. Bryant K - ATL ,14.00,Rams DEF ,2.00,84.88,bob,118.32
Matthew,9,C. Wentz QB - PHI ,24.82,L. Blount RB - PHI ,0.00,E. Elliott RB - DAL ,2.20,K. Wright WR - CHI ,6.90,M. Sanu WR - ATL ,8.50,Z. Miller TE - CHI ,4.20,E. Decker WR - TEN ,3.20,S. Hauschka K - BUF ,3.00,Panthers DEF ,10.00,D. Lewis RB - NE ,2.50,D. Sproles RB - PHI ,5.80,T. Ginn WR - NO ,2.40,C. Ivory RB - JAX ,4.80,K. Cousins QB - WAS ,11.86,C. Fleener TE - NO ,9.30,T. Riddick RB - DET ,3.70,Z. Ertz TE - PHI ,9.70,T. Lockett WR - SEA ,6.40,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,12.60,S. Shepard WR - NYG ,3.00,L. Fournette RB - JAX ,12.10,G. Gano K - CAR ,9.00,Texans DEF ,9.00,62.82,Quinten,93.32
