Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,C. Newton QB - CAR ,20.42,M. Ingram RB - NO ,18.20,L. Miller RB - HOU ,9.40,J. Jones WR - ATL ,2.40,S. Diggs WR - MIN ,3.70,E. Engram TE - NYG ,15.90,M. Evans WR - TB ,3.30,S. Gostkowski K - NE ,13.00,Bengals DEF ,3.00,J. Stewart RB - CAR ,10.50,J. Maclin WR - BAL ,4.10,K. Rudolph TE - MIN ,9.60,S. Vereen RB - NYG ,1.00,A. Ellington RB - HOU ,5.20,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,4.20,C. West RB - KC ,0.00,C. Brate TE - TB ,15.90,J. Winston QB - TB ,18.60,K. White WR - CHI ,0.00,J. Goff QB - LA ,15.00,M. Mack RB - IND ,5.40,J. Williams RB - GB ,18.30,Patriots DEF ,13.00,T. Sharpe WR - TEN ,0.00,-,-,-,-,89.32,Quinten,96.66
Dannye Van,4,D. Carr QB - LV ,15.38,L. McCoy RB - BUF ,10.20,S. Perine RB - WAS ,6.90,D. Hopkins WR - HOU ,8.00,T. Hill WR - KC ,30.50,D. Walker TE - TEN ,12.30,A. Jeffery WR - PHI ,6.10,H. Butker K - KC ,7.00,Vikings DEF ,4.00,M. Crabtree WR - LV ,0.00,M. Jones WR - DET ,9.00,A. Morris RB - DAL ,18.70,J. Gordon WR - CLE ,8.50,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,9.80,B. Bortles QB - JAX ,25.06,J. Allen RB - BAL ,2.60,C. Coleman WR - CLE ,0.00,O. Howard TE - TB ,1.70,D. Westbrook WR - JAX ,7.80,A. Jones RB - GB ,8.00,A. Rosas K - NYG ,7.00,Broncos DEF ,14.00,-,-,-,-,-,-,-,-,100.38,Jeff,79.38
Tilly,2,B. Roethlisberger QB - PIT ,18.00,K. Drake RB - MIA ,20.10,C. McCaffrey RB - CAR ,10.90,B. Cooks WR - NE ,2.20,R. Anderson WR - NYJ ,11.40,H. Henry TE - LAC ,8.10,K. Stills WR - MIA ,13.80,W. Lutz K - NO ,7.00,Jaguars DEF ,12.00,J. Nelson WR - GB ,1.70,J. Cook TE - LV ,0.90,A. Smith QB - KC ,37.64,A. Peterson RB - ARI ,0.00,J. Garoppolo QB - SF ,10.52,D. Williams RB - MIA ,0.00,T. Montgomery RB - GB ,0.00,N. Agholor WR - PHI ,20.10,T. Rawls RB - SEA ,0.40,T. Williams WR - LAC ,0.80,J. Brissett QB - IND ,10.56,A. Hooper TE - ATL ,2.10,C. Prosise RB - SEA ,0.00,M. Trubisky QB - CHI ,9.98,A. Vinatieri K - IND ,4.00,J. Edelman WR - NE ,0.00,-,-,-,-,103.50,the old man,103.02
LeMar,10,M. Ryan QB - ATL ,7.02,D. Murray RB - TEN ,7.90,M. Gordon RB - LAC ,10.60,D. Thomas WR - DEN ,2.70,R. Cobb WR - GB ,0.00,J. Thomas TE - MIA ,8.00,J. McKinnon RB - MIN ,11.20,C. Boswell K - PIT ,11.00,Seahawks DEF ,11.00,M. Stafford QB - DET ,11.88,R. Mathews RB ,0.00,E. Dickson TE - CAR ,1.80,B. Powell RB - NYJ ,11.00,B. Watson TE - BAL ,8.40,R. Matthews WR - TEN ,0.00,R. Burkhead RB - NE ,22.30,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.30,J. White RB - NE ,5.00,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,8.60,A. Collins RB - BAL ,21.80,M. Crosby K - GB ,8.00,Cardinals DEF ,3.00,-,-,-,-,-,-,69.42,bob,109.50
Quinten,6,P. Rivers QB - LAC ,17.56,M. Lynch RB - LV ,18.10,C. Hyde RB - SF ,6.60,L. Fitzgerald WR - ARI ,15.80,A. Thielen WR - MIN ,5.10,J. Graham TE - SEA ,8.60,D. Henry RB - TEN ,16.90,C. Catanzaro K - NYJ ,12.00,Lions DEF ,-4.00,D. Jackson WR - TB ,2.40,D. Woodhead RB - BAL ,2.30,E. Sanders WR - DEN ,1.10,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,0.00,R. Woods WR - LA ,0.00,J. Doyle TE - IND ,1.60,E. Ebron TE - DET ,3.80,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,3.70,C. Sims RB - TB ,5.10,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,3.60,W. Fuller WR - HOU ,0.00,-,-,-,-,-,-,96.66,Will,89.32
bob,1,T. Taylor QB - BUF ,3.80,L. Bell RB - PIT ,24.20,A. Kamara RB - NO ,24.60,M. Thomas WR - NO ,13.00,J. Smith-Schuster WR - PIT ,1.70,T. Kelce TE - KC ,21.40,T. Gurley RB - LA ,15.80,M. Prater K - DET ,2.00,Steelers DEF ,3.00,D. Amendola WR - NE ,3.40,D. Bryant WR - DAL ,12.10,C. Clay TE - BUF ,2.00,G. Olsen TE - CAR ,0.00,A. Brown WR - PIT ,16.10,J. Kearse WR - NYJ ,15.70,C. Beasley WR - DAL ,1.40,D. Freeman RB - ATL ,8.10,D. Parker WR - MIA ,0.50,D. Booker RB - DEN ,0.80,D. Prescott QB - DAL ,14.88,J. Howard RB - CHI ,3.30,C. Davis WR - TEN ,1.20,Z. Jones WR - BUF ,2.20,K. Hunt RB - KC ,6.30,R. Tannehill QB - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Foreman RB - HOU ,0.00,109.50,LeMar,69.42
the old man,5,T. Brady QB - NE ,8.32,F. Gore RB - IND ,6.10,L. Murray RB - MIN ,9.70,T. Hilton WR - IND ,11.10,D. Funchess WR - CAR ,12.00,R. Gronkowski TE - NE ,14.70,O. Darkwa RB - NYG ,9.10,G. Zuerlein K - LA ,16.00,Ravens DEF ,16.00,G. Tate WR - DET ,6.90,J. McCown QB - NYJ ,31.14,D. Baldwin WR - SEA ,8.40,D. Martin RB - TB ,0.00,G. Bernard RB - CIN ,9.60,M. Lee WR - JAX ,14.60,M. Bryant WR - PIT ,4.00,A. Seferian-Jenkins TE - NYJ ,0.70,A. Abdullah RB - DET ,0.00,M. Mariota QB - TEN ,18.30,A. Cooper WR - LV ,0.00,W. Gallman RB - NYG ,1.90,M. Williams WR - LAC ,0.00,Eagles DEF ,2.00,D. Cook RB - MIN ,0.00,-,-,-,-,-,-,103.02,Tilly,103.50
Jeff,7,R. Wilson QB - SEA ,24.18,I. Crowell RB - CLE ,4.40,T. Coleman RB - ATL ,4.90,A. Green WR - CIN ,19.70,K. Allen WR - LAC ,16.50,V. Davis TE - WAS ,1.50,J. Landry WR - MIA ,6.20,R. Succop K - TEN ,6.00,Chiefs DEF ,-4.00,M. Forte RB - NYJ ,15.10,J. Charles RB - DEN ,5.10,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,14.46,T. Eifert TE - CIN ,0.00,P. Richardson WR - SEA ,0.80,O. Beckham WR - NYG ,0.00,T. Kroft TE - CIN ,3.00,J. McKissic RB - SEA ,7.40,C. Kupp WR - LA ,6.80,J. Conner RB - PIT ,1.20,D. Njoku TE - CLE ,13.40,T. Cohen RB - CHI ,4.40,C. Carson RB - SEA ,0.00,Saints DEF ,4.00,D. Johnson RB - ARI ,0.00,-,-,-,-,79.38,Dannye Van,100.38
Chris,9,A. Dalton QB - CIN ,19.26,D. Johnson RB - CLE ,1.20,J. Mixon RB - CIN ,4.20,D. Thompson WR - BUF ,2.10,T. Gabriel WR - ATL ,1.10,J. Witten TE - DAL ,6.80,C. Anderson RB - DEN ,11.00,M. Bryant K - ATL ,9.00,Buccaneers DEF ,5.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,M. Lewis TE - JAX ,6.60,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,3.20,E. Manning QB - NYG ,0.00,C. Hogan WR - NE ,0.00,C. Thompson RB - WAS ,0.00,B. Coleman WR - NO ,2.80,L. Treadwell WR - MIN ,0.90,J. Richard RB - LV ,0.90,G. Everett TE - LA ,6.70,E. McGuire RB - NYJ ,4.00,J. Tucker K - BAL ,16.00,Rams DEF ,18.00,-,-,-,-,-,-,59.66,Matthew,56.34
Matthew,8,K. Cousins QB - WAS ,12.64,D. Lewis RB - NE ,9.20,L. Fournette RB - JAX ,13.90,T. Ginn WR - NO ,3.30,M. Sanu WR - ATL ,4.30,Z. Ertz TE - PHI ,2.40,J. Ajayi RB - PHI ,4.60,G. Gano K - CAR ,3.00,Panthers DEF ,3.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,2.60,E. Decker WR - TEN ,2.70,C. Ivory RB - JAX ,1.50,C. Fleener TE - NO ,0.00,K. Wright WR - CHI ,2.50,T. Riddick RB - DET ,12.20,T. Lockett WR - SEA ,7.70,T. Yeldon RB - JAX ,2.50,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,16.92,S. Shepard WR - NYG ,5.60,S. Hauschka K - BUF ,3.00,Texans DEF ,4.00,D. Sproles RB - PHI ,0.00,-,-,-,-,-,-,56.34,Chris,59.66
