Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,J. Winston QB - TB ,15.52,J. Rodgers RB - TB ,1.50,L. Miller RB - HOU ,6.30,J. Jones WR - ATL ,9.10,S. Diggs WR - MIN ,29.30,K. Rudolph TE - MIN ,0.40,M. Evans WR - TB ,6.70,S. Gostkowski K - NE ,4.00,Patriots DEF ,6.00,J. Maclin WR - BAL ,0.80,C. Newton QB - CAR ,8.28,M. Ingram RB - NO ,8.60,S. Vereen RB - NYG ,2.30,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,6.00,C. West RB - KC ,1.30,C. Brate TE - TB ,9.30,N. Agholor WR - PHI ,2.00,J. James TE - PIT ,1.90,K. White WR - CHI ,0.00,K. Drake RB - MIA ,0.20,E. Engram TE - NYG ,4.50,M. Mack RB - IND ,0.00,P. Mahomes QB - KC ,0.00,T. Sharpe WR - TEN ,0.00,78.82,LeMar,59.76
Dannye Van,7,D. Carr QB - LV ,5.22,J. Allen RB - BAL ,2.80,D. Cook RB - MIN ,22.90,K. Benjamin WR - BUF ,0.80,T. Hill WR - KC ,15.00,D. Walker TE - TEN ,3.10,M. Crabtree WR - LV ,0.70,C. Santos K - CHI ,6.00,Broncos DEF ,4.00,M. Jones WR - DET ,2.40,J. Kearse WR - NYJ ,4.20,D. Martin RB - TB ,0.00,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,5.60,D. Hopkins WR - HOU ,7.60,S. Watkins WR - LA ,22.60,J. Hill RB - CIN ,2.90,P. Perkins RB - NYG ,3.00,D. Washington RB - LV ,2.40,R. Kelley RB - WAS ,0.00,O. Howard TE - TB ,1.20,K. Golladay WR - DET ,2.50,D. Watson QB - HOU ,20.14,S. Perine RB - WAS ,3.50,-,-,60.52,bob,140.62
Tilly,6,A. Smith QB - KC ,15.10,T. West RB - BAL ,0.60,T. Montgomery RB - GB ,5.00,J. Nelson WR - GB ,17.20,B. Cooks WR - NE ,27.10,A. Hooper TE - ATL ,0.90,C. McCaffrey RB - CAR ,11.70,D. Bailey K - DAL ,4.00,Jaguars DEF ,12.00,M. Bennett TE - NE ,1.20,K. Britt WR - NE ,11.40,A. Dalton QB - CIN ,16.28,B. Roethlisberger QB - PIT ,12.00,A. Peterson RB - ARI ,3.70,K. Stills WR - MIA ,5.10,P. Dorsett WR - NE ,0.00,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,1.50,J. Brissett QB - IND ,27.76,H. Henry TE - LAC ,0.00,C. Prosise RB - SEA ,7.40,R. Anderson WR - NYJ ,15.50,A. Vinatieri K - IND ,7.00,Giants DEF ,5.00,J. Edelman WR - NE ,0.00,93.60,Quinten,101.12
LeMar,8,M. Ryan QB - ATL ,13.66,B. Powell RB - NYJ ,9.70,M. Gordon RB - LAC ,13.90,R. Matthews WR - TEN ,14.70,T. Austin WR - LA ,-0.60,J. Thomas TE - MIA ,1.60,J. White RB - NE ,2.80,C. Boswell K - PIT ,5.00,Seahawks DEF ,-1.00,M. Stafford QB - DET ,16.46,R. Mathews RB ,0.00,D. Thomas WR - DEN ,9.80,D. Murray RB - TEN ,18.00,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,0.00,R. Burkhead RB - NE ,0.00,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.00,J. McKinnon RB - MIN ,0.40,A. Hurns WR - JAX ,8.00,B. Perriman WR - BAL ,0.00,A. Humphries WR - TB ,6.80,J. Doctson WR - WAS ,11.20,Cardinals DEF ,0.00,-,-,59.76,Will,78.82
Quinten,2,A. Rodgers QB - GB ,24.82,M. Lynch RB - LV ,2.60,C. Hyde RB - SF ,21.40,D. Jackson WR - TB ,14.40,E. Sanders WR - DEN ,7.50,J. Doyle TE - IND ,-0.40,A. Thielen WR - MIN ,9.80,C. Catanzaro K - NYJ ,8.00,Lions DEF ,13.00,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,7.20,L. Fitzgerald WR - ARI ,20.90,P. Rivers QB - LAC ,3.48,R. Woods WR - LA ,10.80,E. Ebron TE - DET ,0.90,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,4.40,C. Sims RB - TB ,1.30,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,3.40,J. Nelson WR - ARI ,0.00,T. Siemian QB - DEN ,7.56,W. Fuller WR - HOU ,0.00,D. Henry RB - TEN ,6.40,-,-,101.12,Tilly,93.60
bob,1,D. Prescott QB - DAL ,22.92,D. Freeman RB - ATL ,19.80,K. Hunt RB - KC ,24.30,A. Brown WR - PIT ,17.00,D. Parker WR - MIA ,13.60,T. Kelce TE - KC ,0.10,T. Gurley RB - LA ,32.90,G. Tavecchio K - LV ,4.00,Steelers DEF ,6.00,D. Amendola WR - NE ,4.80,D. Bryant WR - DAL ,7.20,C. Clay TE - BUF ,9.90,C. Beasley WR - DAL ,0.40,L. Bell RB - PIT ,15.80,B. Bortles QB - JAX ,27.56,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,0.00,J. Howard RB - CHI ,26.60,M. Thomas WR - NO ,14.70,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,0.00,D. Foreman RB - HOU ,9.00,A. Kamara RB - NO ,10.20,J. Smith-Schuster WR - PIT ,3.90,-,-,140.62,Dannye Van,60.52
the old man,5,T. Brady QB - NE ,35.72,L. McCoy RB - BUF ,6.90,F. Gore RB - IND ,11.70,T. Hilton WR - IND ,21.30,M. Bryant WR - PIT ,3.00,R. Gronkowski TE - NE ,14.90,M. Gillislee RB - NE ,3.10,R. Succop K - TEN ,15.00,Ravens DEF ,-4.00,J. Stewart RB - CAR ,6.10,G. Tate WR - DET ,11.80,T. Taylor QB - BUF ,17.82,D. Baldwin WR - SEA ,16.50,T. Pryor WR - WAS ,1.90,G. Bernard RB - CIN ,9.90,M. Lee WR - JAX ,6.50,J. Matthews WR - BUF ,6.10,A. Abdullah RB - DET ,8.60,M. Mariota QB - TEN ,19.70,A. Cooper WR - LV ,0.60,J. Ross WR - CIN ,0.00,C. Samuel WR - CAR ,3.60,M. Williams WR - LAC ,0.00,Eagles DEF ,4.00,-,-,107.62,Matthew,57.34
Jeff,10,D. Brees QB - NO ,20.80,I. Crowell RB - CLE ,5.40,T. Cohen RB - CHI ,10.20,K. Allen WR - LAC ,6.10,J. Landry WR - MIA ,4.80,B. Watson TE - BAL ,7.20,C. Kupp WR - LA ,1.70,B. Walsh K - SEA ,3.00,Chiefs DEF ,12.00,M. Forte RB - NYJ ,2.50,J. Charles RB - DEN ,11.70,A. Green WR - CIN ,17.10,B. Marshall WR - NYG ,6.60,R. Wilson QB - SEA ,33.52,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,O. Beckham WR - NYG ,19.90,T. Coleman RB - ATL ,8.90,D. Johnson RB - ARI ,0.00,J. Conner RB - PIT ,0.00,D. Kizer QB - CLE ,22.08,J. Williams RB - GB ,0.60,C. Carson RB - SEA ,11.20,Falcons DEF ,3.00,-,-,71.20,Chris,104.50
Chris,4,C. Palmer QB - ARI ,21.70,C. Thompson RB - WAS ,24.80,C. Anderson RB - DEN ,4.30,B. Coleman WR - NO ,7.10,T. Gabriel WR - ATL ,13.90,J. Witten TE - DAL ,0.30,D. Johnson RB - CLE ,16.40,M. Bryant K - ATL ,12.00,Rams DEF ,4.00,C. Johnson RB ,2.10,P. Garcon WR - SF ,14.20,S. Bradford QB - MIN ,0.00,E. Dickson TE - CAR ,0.80,A. Gates TE - LAC ,3.00,E. Manning QB - NYG ,22.64,C. Hogan WR - NE ,18.80,D. Thompson WR - BUF ,0.90,L. Treadwell WR - MIN ,0.20,J. Richard RB - LV ,0.80,G. Everett TE - LA ,0.00,J. Mixon RB - CIN ,10.10,J. Tucker K - BAL ,1.00,Buccaneers DEF ,-1.00,-,-,-,-,104.50,Jeff,71.20
Matthew,9,C. Wentz QB - PHI ,13.24,E. Elliott RB - DAL ,15.40,L. Fournette RB - JAX ,14.00,E. Decker WR - TEN ,4.90,K. Wright WR - CHI ,0.00,Z. Miller TE - CHI ,1.70,D. Sproles RB - PHI ,1.10,G. Gano K - CAR ,7.00,Panthers DEF ,0.00,L. Blount RB - PHI ,12.70,D. Lewis RB - NE ,1.70,T. Ginn WR - NO ,11.90,C. Ivory RB - JAX ,4.20,K. Cousins QB - WAS ,26.80,C. Fleener TE - NO ,2.10,M. Sanu WR - ATL ,8.80,T. Riddick RB - DET ,3.80,Z. Ertz TE - PHI ,9.50,T. Lockett WR - SEA ,3.00,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,2.50,S. Shepard WR - NYG ,19.30,S. Hauschka K - BUF ,18.00,Texans DEF ,9.00,-,-,57.34,the old man,107.62
