Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,26.48,J. Rodgers RB - TB ,10.80,L. Miller RB - HOU ,25.10,J. Jones WR - ATL ,3.00,S. Diggs WR - MIN ,9.80,K. Rudolph TE - MIN ,3.40,M. Evans WR - TB ,12.70,S. Gostkowski K - NE ,14.00,Patriots DEF ,5.00,J. Maclin WR - BAL ,2.10,C. Newton QB - CAR ,33.04,M. Ingram RB - NO ,6.20,S. Vereen RB - NYG ,2.50,J. Reed TE - WAS ,2.10,D. Adams WR - GB ,7.30,C. West RB - KC ,3.50,C. Brate TE - TB ,14.00,N. Agholor WR - PHI ,5.80,J. James TE - PIT ,4.00,K. White WR - CHI ,0.00,K. Drake RB - MIA ,1.10,E. Engram TE - NYG ,6.20,M. Mack RB - IND ,0.00,P. Mahomes QB - KC ,0.00,T. Sharpe WR - TEN ,0.00,110.28,Quinten,68.06
Dannye Van,7,D. Watson QB - HOU ,33.72,L. McCoy RB - BUF ,10.80,M. Gillislee RB - NE ,4.90,D. Hopkins WR - HOU ,16.70,T. Hill WR - KC ,3.50,D. Walker TE - TEN ,5.10,S. Watkins WR - LA ,1.70,H. Butker K - KC ,11.00,Broncos DEF ,9.00,M. Crabtree WR - LV ,0.00,M. Jones WR - DET ,4.20,J. Kearse WR - NYJ ,1.70,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,8.90,K. Benjamin WR - BUF ,10.40,D. Carr QB - LV ,9.72,W. Snead WR - NO ,0.00,J. Allen RB - BAL ,4.40,P. Perkins RB - NYG ,1.90,D. Washington RB - LV ,0.40,R. Kelley RB - WAS ,2.30,O. Howard TE - TB ,12.30,S. Perine RB - WAS ,2.70,Redskins DEF ,4.00,-,-,96.42,Jeff,81.70
Tilly,5,A. Smith QB - KC ,27.32,T. West RB - BAL ,-0.70,T. Montgomery RB - GB ,2.80,J. Nelson WR - GB ,19.50,B. Cooks WR - NE ,4.20,J. Cook TE - LV ,4.60,C. McCaffrey RB - CAR ,4.90,D. Bailey K - DAL ,6.00,Jaguars DEF ,15.00,K. Britt WR - NE ,5.20,A. Dalton QB - CIN ,28.34,B. Roethlisberger QB - PIT ,10.54,A. Peterson RB - ARI ,0.40,K. Stills WR - MIA ,1.30,P. Dorsett WR - NE ,1.70,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,17.50,J. Brissett QB - IND ,9.58,H. Henry TE - LAC ,7.60,A. Hooper TE - ATL ,5.00,C. Prosise RB - SEA ,0.00,R. Anderson WR - NYJ ,5.90,A. Vinatieri K - IND ,4.00,Giants DEF ,1.00,J. Edelman WR - NE ,0.00,83.62,the old man,64.78
LeMar,9,M. Ryan QB - ATL ,8.48,B. Powell RB - NYJ ,25.00,M. Gordon RB - LAC ,2.90,R. Matthews WR - TEN ,4.90,T. Austin WR - LA ,4.60,J. Thomas TE - MIA ,2.90,J. White RB - NE ,5.40,C. Boswell K - PIT ,8.00,Seahawks DEF ,20.00,M. Stafford QB - DET ,10.06,R. Mathews RB ,0.00,D. Thomas WR - DEN ,1.10,D. Murray RB - TEN ,3.50,R. Cobb WR - GB ,10.40,G. Olsen TE - CAR ,0.00,R. Burkhead RB - NE ,0.00,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,5.20,J. McKinnon RB - MIN ,-2.00,A. Hurns WR - JAX ,4.20,B. Perriman WR - BAL ,0.60,A. Humphries WR - TB ,7.00,J. Doctson WR - WAS ,2.70,Cardinals DEF ,6.00,-,-,82.18,bob,146.48
Quinten,3,A. Rodgers QB - GB ,23.06,M. Lynch RB - LV ,1.20,C. Hyde RB - SF ,9.50,D. Jackson WR - TB ,2.00,E. Sanders WR - DEN ,2.70,E. Ebron TE - DET ,2.70,A. Thielen WR - MIN ,3.90,C. Catanzaro K - NYJ ,11.00,Lions DEF ,12.00,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,6.10,L. Fitzgerald WR - ARI ,9.20,P. Rivers QB - LAC ,19.88,R. Woods WR - LA ,1.70,J. Doyle TE - IND ,2.70,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,9.00,C. Sims RB - TB ,2.10,J. Brown WR - ARI ,4.70,B. Oliver RB - LAC ,0.30,J. Nelson WR - ARI ,3.40,T. Siemian QB - DEN ,11.26,W. Fuller WR - HOU ,15.90,D. Henry RB - TEN ,0.70,-,-,68.06,Will,110.28
bob,1,D. Prescott QB - DAL ,22.58,T. Gurley RB - LA ,27.50,K. Hunt RB - KC ,12.10,A. Brown WR - PIT ,3.40,M. Thomas WR - NO ,14.90,T. Kelce TE - KC ,17.40,L. Bell RB - PIT ,30.60,G. Tavecchio K - LV ,4.00,Steelers DEF ,14.00,D. Amendola WR - NE ,10.20,D. Bryant WR - DAL ,9.80,C. Clay TE - BUF ,11.20,C. Beasley WR - DAL ,1.70,B. Bortles QB - JAX ,11.40,D. Freeman RB - ATL ,13.80,D. Parker WR - MIA ,6.90,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,1.40,J. Howard RB - CHI ,12.30,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,1.80,D. Foreman RB - HOU ,4.50,A. Kamara RB - NO ,15.60,J. Smith-Schuster WR - PIT ,10.70,-,-,146.48,LeMar,82.18
the old man,4,T. Brady QB - NE ,20.48,F. Gore RB - IND ,8.00,D. Cook RB - MIN ,11.40,T. Hilton WR - IND ,3.00,M. Bryant WR - PIT ,4.80,R. Gronkowski TE - NE ,8.00,G. Tate WR - DET ,3.10,R. Succop K - TEN ,2.00,Eagles DEF ,4.00,J. Stewart RB - CAR ,4.80,T. Taylor QB - BUF ,12.48,D. Baldwin WR - SEA ,5.50,T. Pryor WR - WAS ,13.00,D. Martin RB - TB ,0.00,G. Bernard RB - CIN ,13.90,M. Lee WR - JAX ,1.80,J. Matthews WR - BUF ,7.00,A. Abdullah RB - DET ,16.90,M. Mariota QB - TEN ,15.74,A. Cooper WR - LV ,0.90,J. Ross WR - CIN ,0.00,C. Samuel WR - CAR ,0.00,M. Williams WR - LAC ,0.00,Ravens DEF ,3.00,-,-,64.78,Tilly,83.62
Jeff,10,R. Wilson QB - SEA ,27.60,I. Crowell RB - CLE ,2.70,T. Cohen RB - CHI ,4.80,A. Green WR - CIN ,12.30,O. Beckham WR - NYG ,9.00,B. Watson TE - BAL ,4.30,J. Landry WR - MIA ,4.00,B. Walsh K - SEA ,8.00,Chiefs DEF ,9.00,M. Forte RB - NYJ ,0.00,J. Charles RB - DEN ,4.70,B. Marshall WR - NYG ,4.60,D. Brees QB - NO ,19.02,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,13.80,S. Ware RB - KC ,0.00,T. Coleman RB - ATL ,14.20,D. Johnson RB - ARI ,0.00,C. Kupp WR - LA ,12.00,J. Conner RB - PIT ,2.60,D. Kizer QB - CLE ,3.72,J. Williams RB - GB ,1.30,C. Carson RB - SEA ,6.60,Falcons DEF ,4.00,-,-,81.70,Dannye Van,96.42
Chris,6,C. Palmer QB - ARI ,16.38,C. Anderson RB - DEN ,11.20,J. Mixon RB - CIN ,4.80,P. Garcon WR - SF ,3.60,T. Gabriel WR - ATL ,0.00,M. Lewis TE - JAX ,0.00,C. Thompson RB - WAS ,0.70,M. Bryant K - ATL ,5.00,Buccaneers DEF ,0.00,C. Johnson RB ,6.30,J. Cutler QB - MIA ,5.06,A. Gates TE - LAC ,1.80,J. Witten TE - DAL ,0.90,E. Manning QB - NYG ,27.72,C. Hogan WR - NE ,12.00,D. Thompson WR - BUF ,4.40,B. Coleman WR - NO ,3.10,D. Johnson RB - CLE ,12.00,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,2.70,G. Everett TE - LA ,0.80,J. Tucker K - BAL ,3.00,Rams DEF ,5.00,-,-,-,-,41.68,Matthew,121.48
Matthew,8,C. Wentz QB - PHI ,15.08,E. Elliott RB - DAL ,25.90,L. Fournette RB - JAX ,20.50,E. Decker WR - TEN ,1.30,K. Wright WR - CHI ,11.10,Z. Miller TE - CHI ,4.50,T. Lockett WR - SEA ,9.10,S. Hauschka K - BUF ,15.00,Texans DEF ,19.00,L. Blount RB - PHI ,15.60,D. Lewis RB - NE ,8.70,T. Ginn WR - NO ,3.40,C. Ivory RB - JAX ,4.40,K. Cousins QB - WAS ,20.60,C. Fleener TE - NO ,2.10,M. Sanu WR - ATL ,0.70,T. Riddick RB - DET ,1.20,Z. Ertz TE - PHI ,8.10,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,5.40,S. Shepard WR - NYG ,5.40,G. Gano K - CAR ,9.00,Panthers DEF ,2.00,D. Sproles RB - PHI ,0.00,-,-,121.48,Chris,41.68
