Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Goff QB - LA ,26.50,M. Ingram RB - NO ,31.10,L. Miller RB - HOU ,7.40,J. Jones WR - ATL ,5.70,S. Diggs WR - MIN ,13.80,E. Engram TE - NYG ,9.10,D. Adams WR - GB ,15.00,S. Gostkowski K - NE ,11.00,Bills DEF ,-2.00,J. Stewart RB - CAR ,11.00,J. Maclin WR - BAL ,0.00,K. Rudolph TE - MIN ,3.70,C. Newton QB - CAR ,35.66,J. Rodgers RB - TB ,1.20,S. Vereen RB - NYG ,3.80,A. Ellington RB - HOU ,9.00,J. Reed TE - WAS ,0.00,M. Evans WR - TB ,0.00,C. West RB - KC ,0.00,C. Brate TE - TB ,1.00,J. Winston QB - TB ,0.00,K. White WR - CHI ,0.00,M. Mack RB - IND ,2.60,Patriots DEF ,11.00,T. Sharpe WR - TEN ,0.00,-,-,117.60,Dannye Van,60.42
Dannye Van,3,B. Bortles QB - JAX ,16.32,L. McCoy RB - BUF ,6.00,A. Morris RB - DAL ,5.30,M. Jones WR - DET ,2.20,D. Hopkins WR - HOU ,11.10,D. Walker TE - TEN ,6.30,K. Benjamin WR - BUF ,4.20,A. Rosas K - NYG ,7.00,Vikings DEF ,2.00,M. Crabtree WR - LV ,0.00,A. Jeffery WR - PHI ,0.00,J. Gordon WR - CLE ,0.00,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,10.10,D. Carr QB - LV ,0.00,W. Snead WR - NO ,0.00,J. Allen RB - BAL ,0.00,T. Hill WR - KC ,0.00,R. Kelley RB - WAS ,1.40,O. Howard TE - TB ,0.00,D. Westbrook WR - JAX ,0.00,A. Jones RB - GB ,1.20,H. Butker K - KC ,0.00,Broncos DEF ,-3.00,A. Luck QB - IND ,0.00,D. Watson QB - HOU ,0.00,60.42,Will,117.60
Tilly,5,B. Roethlisberger QB - PIT ,17.94,A. Peterson RB - ARI ,2.20,C. McCaffrey RB - CAR ,17.00,B. Cooks WR - NE ,7.40,R. Anderson WR - NYJ ,14.50,A. Hooper TE - ATL ,10.90,K. Drake RB - MIA ,15.20,W. Lutz K - NO ,13.00,Jaguars DEF ,5.00,J. Nelson WR - GB ,2.00,J. Cook TE - LV ,0.00,A. Smith QB - KC ,0.00,K. Stills WR - MIA ,6.70,J. Garoppolo QB - SF ,0.00,D. Williams RB - MIA ,3.90,T. Montgomery RB - GB ,12.80,N. Agholor WR - PHI ,0.00,T. Rawls RB - SEA ,3.90,T. Williams WR - LAC ,4.90,J. Brissett QB - IND ,15.58,H. Henry TE - LAC ,0.70,C. Prosise RB - SEA ,0.30,M. Trubisky QB - CHI ,15.88,A. Vinatieri K - IND ,5.00,J. Edelman WR - NE ,0.00,-,-,103.14,Matthew,79.88
LeMar,9,M. Ryan QB - ATL ,14.60,D. Murray RB - TEN ,25.20,B. Powell RB - NYJ ,1.60,D. Thomas WR - DEN ,10.40,A. Hurns WR - JAX ,7.00,E. Dickson TE - CAR ,9.30,J. McKinnon RB - MIN ,4.70,C. Boswell K - PIT ,6.00,Cardinals DEF ,6.00,M. Stafford QB - DET ,21.66,R. Mathews RB ,0.00,J. Thomas TE - MIA ,6.80,R. Cobb WR - GB ,6.00,R. Matthews WR - TEN ,5.00,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,0.20,E. Lacy RB - SEA ,0.00,J. White RB - NE ,7.80,M. Gordon RB - LAC ,4.20,A. Humphries WR - TB ,1.70,J. Doctson WR - WAS ,3.00,A. Collins RB - BAL ,0.00,M. Crosby K - GB ,13.00,Seahawks DEF ,7.00,-,-,-,-,84.80,Chris,78.82
Quinten,6,P. Rivers QB - LAC ,15.30,C. Hyde RB - SF ,10.40,D. Henry RB - TEN ,5.20,L. Fitzgerald WR - ARI ,11.30,A. Thielen WR - MIN ,22.60,J. Doyle TE - IND ,0.90,D. Jackson WR - TB ,8.20,C. Catanzaro K - NYJ ,4.00,Lions DEF ,14.00,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,14.70,E. Sanders WR - DEN ,13.70,M. Lynch RB - LV ,0.00,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,0.00,R. Woods WR - LA ,29.10,E. Ebron TE - DET ,9.90,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,12.00,C. Sims RB - TB ,9.00,J. Brown WR - ARI ,2.70,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,0.00,W. Fuller WR - HOU ,1.50,-,-,-,-,91.90,Jeff,104.42
bob,1,D. Prescott QB - DAL ,13.24,L. Bell RB - PIT ,11.20,T. Gurley RB - LA ,13.60,A. Brown WR - PIT ,4.70,M. Thomas WR - NO ,11.70,C. Clay TE - BUF ,1.30,J. Howard RB - CHI ,5.40,M. Prater K - DET ,8.00,Steelers DEF ,6.00,D. Amendola WR - NE ,3.60,D. Bryant WR - DAL ,3.90,C. Beasley WR - DAL ,2.30,T. Kelce TE - KC ,0.00,D. Freeman RB - ATL ,0.30,D. Parker WR - MIA ,6.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,2.90,C. Davis WR - TEN ,2.80,Z. Jones WR - BUF ,0.00,K. Hunt RB - KC ,0.00,D. Foreman RB - HOU ,1.80,A. Kamara RB - NO ,19.80,J. Smith-Schuster WR - PIT ,15.70,J. Elliott K - PHI ,0.00,-,-,-,-,75.14,the old man,84.54
the old man,4,T. Brady QB - NE ,22.64,F. Gore RB - IND ,6.10,D. Martin RB - TB ,5.10,D. Baldwin WR - SEA ,9.50,T. Hilton WR - IND ,2.30,R. Gronkowski TE - NE ,7.40,A. Abdullah RB - DET ,11.50,G. Zuerlein K - LA ,17.00,Bears DEF ,3.00,G. Tate WR - DET ,15.70,T. Taylor QB - BUF ,2.94,T. Pryor WR - WAS ,0.00,G. Bernard RB - CIN ,4.80,L. Murray RB - MIN ,12.80,M. Bryant WR - PIT ,5.30,A. Seferian-Jenkins TE - NYJ ,6.70,O. Darkwa RB - NYG ,10.80,D. Funchess WR - CAR ,21.20,M. Mariota QB - TEN ,17.66,A. Cooper WR - LV ,0.00,W. Gallman RB - NYG ,2.20,M. Williams WR - LAC ,2.40,Ravens DEF ,0.00,Eagles DEF ,0.00,D. Cook RB - MIN ,0.00,-,-,84.54,bob,75.14
Jeff,8,R. Wilson QB - SEA ,19.42,I. Crowell RB - CLE ,15.50,T. Coleman RB - ATL ,14.80,A. Green WR - CIN ,17.50,K. Allen WR - LAC ,5.40,V. Davis TE - WAS ,7.60,J. Landry WR - MIA ,10.20,R. Succop K - TEN ,6.00,Saints DEF ,8.00,M. Forte RB - NYJ ,0.00,J. Charles RB - DEN ,3.80,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,13.96,T. Eifert TE - CIN ,0.00,P. Richardson WR - SEA ,4.30,O. Beckham WR - NYG ,0.00,T. Kroft TE - CIN ,0.40,J. McKissic RB - SEA ,4.60,C. Kupp WR - LA ,4.70,J. Conner RB - PIT ,1.20,D. Njoku TE - CLE ,0.30,T. Cohen RB - CHI ,1.10,C. Carson RB - SEA ,0.00,Chiefs DEF ,0.00,D. Johnson RB - ARI ,0.00,-,-,104.42,Quinten,91.90
Chris,10,E. Manning QB - NYG ,16.92,C. Anderson RB - DEN ,5.50,J. Mixon RB - CIN ,10.00,D. Thompson WR - BUF ,0.50,T. Gabriel WR - ATL ,7.30,J. Witten TE - DAL ,5.90,C. Thompson RB - WAS ,6.70,M. Bryant K - ATL ,11.00,Rams DEF ,15.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,A. Dalton QB - CIN ,14.60,M. Lewis TE - JAX ,2.90,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,0.30,C. Hogan WR - NE ,0.00,B. Coleman WR - NO ,3.00,D. Johnson RB - CLE ,8.80,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,0.00,G. Everett TE - LA ,0.00,E. McGuire RB - NYJ ,5.80,J. Tucker K - BAL ,0.00,Buccaneers DEF ,14.00,-,-,-,-,78.82,LeMar,84.80
Matthew,7,K. Cousins QB - WAS ,27.58,T. Riddick RB - DET ,10.70,L. Fournette RB - JAX ,4.60,T. Ginn WR - NO ,0.30,S. Shepard WR - NYG ,14.20,C. Fleener TE - NO ,0.00,D. Lewis RB - NE ,11.50,G. Gano K - CAR ,9.00,Panthers DEF ,2.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,0.00,E. Decker WR - TEN ,1.90,C. Ivory RB - JAX ,-0.40,K. Wright WR - CHI ,4.60,M. Sanu WR - ATL ,2.90,Z. Ertz TE - PHI ,0.00,T. Lockett WR - SEA ,1.60,T. Yeldon RB - JAX ,5.00,J. Ajayi RB - PHI ,0.00,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,0.00,S. Hauschka K - BUF ,4.00,Texans DEF ,2.00,D. Sproles RB - PHI ,0.00,-,-,-,-,79.88,Tilly,103.14
