Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,J. Winston QB - TB ,14.40,L. Miller RB - HOU ,6.00,J. Williams RB - GB ,23.80,J. Jones WR - ATL ,9.80,M. Evans WR - TB ,2.50,E. Engram TE - NYG ,5.40,M. Ingram RB - NO ,9.20,S. Gostkowski K - NE ,8.00,Patriots DEF ,2.00,J. Stewart RB - CAR ,28.30,J. Maclin WR - BAL ,2.70,K. Rudolph TE - MIN ,10.10,C. Newton QB - CAR ,14.48,S. Vereen RB - NYG ,4.70,A. Ellington RB - HOU ,2.20,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,20.40,C. West RB - KC ,8.50,C. Brate TE - TB ,1.10,S. Diggs WR - MIN ,6.40,K. White WR - CHI ,0.00,J. Goff QB - LA ,14.16,M. Mack RB - IND ,4.40,Bengals DEF ,1.00,T. Sharpe WR - TEN ,0.00,-,-,-,-,81.10,Quinten,88.86
Dannye Van,4,B. Bortles QB - JAX ,18.52,L. McCoy RB - BUF ,21.60,S. Perine RB - WAS ,5.20,D. Hopkins WR - HOU ,24.90,T. Hill WR - KC ,7.50,D. Walker TE - TEN ,4.20,J. Gordon WR - CLE ,12.90,H. Butker K - KC ,16.00,Vikings DEF ,3.00,M. Crabtree WR - LV ,8.00,M. Jones WR - DET ,6.40,A. Jeffery WR - PHI ,11.20,A. Morris RB - DAL ,8.50,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,8.10,D. Carr QB - LV ,10.44,J. Allen RB - BAL ,17.70,C. Coleman WR - CLE ,12.20,O. Howard TE - TB ,9.40,D. Westbrook WR - JAX ,14.10,A. Jones RB - GB ,-0.20,A. Rosas K - NYG ,4.00,Broncos DEF ,18.00,-,-,-,-,-,-,-,-,113.82,the old man,47.72
Tilly,2,A. Smith QB - KC ,11.12,K. Drake RB - MIA ,19.30,C. McCaffrey RB - CAR ,5.30,B. Cooks WR - NE ,3.80,R. Anderson WR - NYJ ,2.70,H. Henry TE - LAC ,11.00,K. Stills WR - MIA ,1.80,W. Lutz K - NO ,5.00,Jaguars DEF ,8.00,J. Nelson WR - GB ,3.30,J. Cook TE - LV ,13.50,B. Roethlisberger QB - PIT ,28.74,A. Peterson RB - ARI ,0.00,J. Garoppolo QB - SF ,15.06,D. Williams RB - MIA ,0.00,N. Agholor WR - PHI ,6.40,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,19.20,J. Brissett QB - IND ,7.76,A. Hooper TE - ATL ,2.30,M. Trubisky QB - CHI ,21.34,A. Vinatieri K - IND ,1.00,J. Edelman WR - NE ,0.00,T. Montgomery RB - GB ,0.00,C. Prosise RB - SEA ,0.00,-,-,-,-,68.02,-,-
LeMar,10,M. Ryan QB - ATL ,6.84,D. Murray RB - TEN ,4.70,M. Gordon RB - LAC ,14.30,D. Thomas WR - DEN ,15.30,R. Cobb WR - GB ,3.90,J. Thomas TE - MIA ,1.10,J. McKinnon RB - MIN ,5.50,C. Boswell K - PIT ,17.00,Seahawks DEF ,1.00,M. Stafford QB - DET ,15.24,R. Mathews RB ,0.00,E. Dickson TE - CAR ,0.00,B. Powell RB - NYJ ,3.50,B. Watson TE - BAL ,0.00,R. Matthews WR - TEN ,1.90,R. Burkhead RB - NE ,11.30,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.00,J. White RB - NE ,7.10,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,3.40,A. Collins RB - BAL ,22.60,M. Crosby K - GB ,3.00,Cardinals DEF ,11.00,-,-,-,-,-,-,69.64,-,-
Quinten,6,P. Rivers QB - LAC ,20.76,M. Lynch RB - LV ,12.40,C. Hyde RB - SF ,13.80,L. Fitzgerald WR - ARI ,4.40,A. Thielen WR - MIN ,16.50,J. Graham TE - SEA ,0.00,D. Henry RB - TEN ,8.00,C. Catanzaro K - NYJ ,0.00,Lions DEF ,13.00,D. Jackson WR - TB ,6.40,D. Woodhead RB - BAL ,3.60,E. Sanders WR - DEN ,1.60,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,0.00,R. Woods WR - LA ,0.00,J. Doyle TE - IND ,6.40,E. Ebron TE - DET ,7.40,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.00,C. Sims RB - TB ,2.70,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,13.30,W. Fuller WR - HOU ,2.60,-,-,-,-,-,-,88.86,Will,81.10
bob,1,D. Prescott QB - DAL ,26.58,L. Bell RB - PIT ,30.50,A. Kamara RB - NO ,2.70,A. Brown WR - PIT ,21.30,M. Thomas WR - NO ,17.70,T. Kelce TE - KC ,7.40,J. Howard RB - CHI ,27.50,M. Prater K - DET ,6.00,Steelers DEF ,-1.00,D. Amendola WR - NE ,7.60,D. Bryant WR - DAL ,13.30,C. Clay TE - BUF ,1.10,T. Taylor QB - BUF ,0.00,G. Olsen TE - CAR ,0.00,J. Kearse WR - NYJ ,0.40,C. Beasley WR - DAL ,5.90,D. Freeman RB - ATL ,15.10,D. Parker WR - MIA ,4.00,T. Gurley RB - LA ,25.50,D. Booker RB - DEN ,3.40,C. Davis WR - TEN ,2.90,Z. Jones WR - BUF ,0.00,K. Hunt RB - KC ,19.80,J. Smith-Schuster WR - PIT ,0.00,R. Tannehill QB - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Foreman RB - HOU ,0.00,138.68,-,-
the old man,5,T. Brady QB - NE ,9.32,F. Gore RB - IND ,14.00,L. Murray RB - MIN ,2.00,T. Hilton WR - IND ,2.00,D. Funchess WR - CAR ,11.90,A. Seferian-Jenkins TE - NYJ ,0.10,O. Darkwa RB - NYG ,4.40,G. Zuerlein K - LA ,5.00,Ravens DEF ,-1.00,R. Gronkowski TE - NE ,0.00,G. Tate WR - DET ,14.50,J. McCown QB - NYJ ,-1.46,D. Baldwin WR - SEA ,13.80,D. Martin RB - TB ,9.00,G. Bernard RB - CIN ,13.00,M. Lee WR - JAX ,6.50,M. Bryant WR - PIT ,3.30,A. Abdullah RB - DET ,0.00,M. Mariota QB - TEN ,3.46,A. Cooper WR - LV ,0.00,W. Gallman RB - NYG ,9.90,M. Williams WR - LAC ,0.30,Eagles DEF ,8.00,D. Cook RB - MIN ,0.00,-,-,-,-,-,-,47.72,Dannye Van,113.82
Jeff,7,R. Wilson QB - SEA ,21.84,I. Crowell RB - CLE ,13.10,T. Coleman RB - ATL ,3.20,A. Green WR - CIN ,4.40,K. Allen WR - LAC ,11.10,T. Kroft TE - CIN ,0.00,P. Richardson WR - SEA ,13.20,R. Succop K - TEN ,1.00,Chiefs DEF ,10.00,M. Forte RB - NYJ ,3.40,J. Charles RB - DEN ,1.20,V. Davis TE - WAS ,8.60,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,17.04,T. Eifert TE - CIN ,0.00,J. Landry WR - MIA ,16.60,O. Beckham WR - NYG ,0.00,M. Davis RB - SEA ,6.50,J. McKissic RB - SEA ,3.50,C. Kupp WR - LA ,17.80,D. Njoku TE - CLE ,0.30,T. Cohen RB - CHI ,8.50,C. Carson RB - SEA ,0.00,Saints DEF ,8.00,D. Johnson RB - ARI ,0.00,-,-,-,-,77.84,-,-
Chris,9,A. Dalton QB - CIN ,7.64,D. Johnson RB - CLE ,10.90,J. Mixon RB - CIN ,0.00,D. Thompson WR - BUF ,3.40,T. Gabriel WR - ATL ,1.90,J. Witten TE - DAL ,8.00,C. Anderson RB - DEN ,7.30,M. Bryant K - ATL ,10.00,Buccaneers DEF ,6.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,M. Lewis TE - JAX ,0.00,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,0.00,E. Manning QB - NYG ,9.12,C. Hogan WR - NE ,0.10,C. Thompson RB - WAS ,0.00,B. Coleman WR - NO ,3.20,L. Treadwell WR - MIN ,2.30,J. Richard RB - LV ,0.00,G. Everett TE - LA ,0.60,E. McGuire RB - NYJ ,-0.30,J. Tucker K - BAL ,8.00,Rams DEF ,6.00,-,-,-,-,-,-,55.14,-,-
Matthew,8,K. Cousins QB - WAS ,8.84,D. Lewis RB - NE ,6.70,L. Fournette RB - JAX ,17.90,T. Ginn WR - NO ,0.70,M. Sanu WR - ATL ,14.30,Z. Ertz TE - PHI ,0.00,J. Ajayi RB - PHI ,8.00,G. Gano K - CAR ,7.00,Panthers DEF ,12.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,2.30,E. Decker WR - TEN ,5.60,C. Ivory RB - JAX ,4.80,C. Fleener TE - NO ,0.00,K. Wright WR - CHI ,10.70,T. Riddick RB - DET ,21.30,T. Lockett WR - SEA ,16.00,T. Yeldon RB - JAX ,0.90,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,27.24,S. Shepard WR - NYG ,0.70,S. Hauschka K - BUF ,1.00,Texans DEF ,4.00,D. Sproles RB - PHI ,0.00,-,-,-,-,-,-,75.44,-,-
