Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,C. Newton QB - CAR ,17.52,M. Ingram RB - NO ,3.60,L. Miller RB - HOU ,11.80,J. Jones WR - ATL ,38.80,S. Diggs WR - MIN ,7.50,E. Engram TE - NYG ,1.80,M. Evans WR - TB ,7.80,S. Gostkowski K - NE ,5.00,Bengals DEF ,5.00,J. Stewart RB - CAR ,8.60,J. Maclin WR - BAL ,0.60,K. Rudolph TE - MIN ,18.30,S. Vereen RB - NYG ,2.70,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,14.20,C. West RB - KC ,0.70,C. Brate TE - TB ,0.60,J. Winston QB - TB ,0.00,K. White WR - CHI ,0.00,J. Goff QB - LA ,19.86,M. Mack RB - IND ,3.10,J. Williams RB - GB ,25.50,Patriots DEF ,17.00,T. Sharpe WR - TEN ,0.00,98.82,LeMar,62.90
Dannye Van,4,D. Carr QB - LV ,15.82,L. McCoy RB - BUF ,7.90,A. Morris RB - DAL ,4.90,D. Hopkins WR - HOU ,12.50,T. Hill WR - KC ,5.40,D. Walker TE - TEN ,12.30,S. Perine RB - WAS ,13.00,H. Butker K - KC ,4.00,Vikings DEF ,7.00,M. Crabtree WR - LV ,0.00,M. Jones WR - DET ,22.90,A. Jeffery WR - PHI ,11.20,J. Gordon WR - CLE ,0.00,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,14.20,B. Bortles QB - JAX ,22.60,W. Snead WR - NO ,0.90,J. Allen RB - BAL ,7.70,O. Howard TE - TB ,5.20,D. Westbrook WR - JAX ,4.10,A. Jones RB - GB ,0.00,A. Rosas K - NYG ,4.00,Broncos DEF ,4.00,-,-,-,-,82.82,bob,108.86
Tilly,3,B. Roethlisberger QB - PIT ,30.54,A. Peterson RB - ARI ,9.90,K. Drake RB - MIA ,8.70,B. Cooks WR - NE ,15.40,R. Anderson WR - NYJ ,26.60,A. Hooper TE - ATL ,3.80,C. McCaffrey RB - CAR ,9.70,W. Lutz K - NO ,10.00,Jaguars DEF ,11.00,J. Nelson WR - GB ,1.10,J. Cook TE - LV ,0.20,A. Smith QB - KC ,13.46,K. Stills WR - MIA ,4.70,J. Garoppolo QB - SF ,5.12,D. Williams RB - MIA ,5.20,T. Montgomery RB - GB ,0.00,N. Agholor WR - PHI ,15.20,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,11.80,J. Brissett QB - IND ,7.44,H. Henry TE - LAC ,13.60,C. Prosise RB - SEA ,0.00,M. Trubisky QB - CHI ,3.08,A. Vinatieri K - IND ,10.00,J. Edelman WR - NE ,0.00,125.64,Quinten,85.36
LeMar,9,M. Stafford QB - DET ,14.00,M. Gordon RB - LAC ,8.80,A. Collins RB - BAL ,11.70,D. Thomas WR - DEN ,1.80,R. Matthews WR - TEN ,0.00,J. Thomas TE - MIA ,5.20,J. McKinnon RB - MIN ,5.40,C. Boswell K - PIT ,7.00,Seahawks DEF ,9.00,M. Ryan QB - ATL ,16.78,R. Mathews RB ,0.00,E. Dickson TE - CAR ,1.50,D. Murray RB - TEN ,10.20,B. Powell RB - NYJ ,4.60,R. Cobb WR - GB ,11.80,B. Watson TE - BAL ,2.90,R. Burkhead RB - NE ,17.30,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,6.10,J. White RB - NE ,1.50,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,8.80,M. Crosby K - GB ,4.00,Cardinals DEF ,10.00,-,-,62.90,Will,98.82
Quinten,7,P. Rivers QB - LAC ,28.86,M. Lynch RB - LV ,17.00,C. Hyde RB - SF ,6.80,L. Fitzgerald WR - ARI ,3.20,A. Thielen WR - MIN ,8.90,J. Graham TE - SEA ,9.40,E. Sanders WR - DEN ,1.20,C. Catanzaro K - NYJ ,9.00,Lions DEF ,1.00,D. Jackson WR - TB ,6.00,D. Woodhead RB - BAL ,4.50,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,9.50,R. Woods WR - LA ,0.00,J. Doyle TE - IND ,9.40,E. Ebron TE - DET ,3.40,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,1.60,C. Sims RB - TB ,2.90,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,14.86,W. Fuller WR - HOU ,0.00,D. Henry RB - TEN ,8.90,-,-,85.36,Tilly,125.64
bob,1,D. Prescott QB - DAL ,3.16,L. Bell RB - PIT ,16.30,K. Hunt RB - KC ,2.60,A. Brown WR - PIT ,30.90,M. Thomas WR - NO ,5.20,T. Kelce TE - KC ,3.90,A. Kamara RB - NO ,30.80,M. Prater K - DET ,13.00,Steelers DEF ,3.00,D. Amendola WR - NE ,1.50,D. Bryant WR - DAL ,3.70,C. Clay TE - BUF ,6.00,G. Olsen TE - CAR ,1.00,C. Beasley WR - DAL ,1.90,D. Freeman RB - ATL ,0.00,D. Parker WR - MIA ,0.50,T. Gurley RB - LA ,12.80,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,3.30,J. Howard RB - CHI ,1.90,C. Davis WR - TEN ,3.90,Z. Jones WR - BUF ,9.30,D. Foreman RB - HOU ,0.00,J. Smith-Schuster WR - PIT ,0.00,-,-,108.86,Dannye Van,82.82
the old man,5,T. Brady QB - NE ,20.68,F. Gore RB - IND ,13.90,L. Murray RB - MIN ,14.40,G. Tate WR - DET ,2.00,T. Hilton WR - IND ,1.50,R. Gronkowski TE - NE ,20.20,A. Abdullah RB - DET ,4.30,G. Zuerlein K - LA ,16.00,Ravens DEF ,9.00,J. McCown QB - NYJ ,25.08,D. Baldwin WR - SEA ,2.00,D. Martin RB - TB ,3.30,G. Bernard RB - CIN ,2.70,M. Lee WR - JAX ,1.30,M. Bryant WR - PIT ,10.10,A. Seferian-Jenkins TE - NYJ ,2.70,O. Darkwa RB - NYG ,3.90,D. Funchess WR - CAR ,10.80,M. Mariota QB - TEN ,7.76,A. Cooper WR - LV ,6.90,W. Gallman RB - NYG ,4.30,M. Williams WR - LAC ,0.00,Eagles DEF ,13.00,D. Cook RB - MIN ,0.00,-,-,101.98,Matthew,96.72
Jeff,6,R. Wilson QB - SEA ,23.62,I. Crowell RB - CLE ,10.50,T. Coleman RB - ATL ,21.70,A. Green WR - CIN ,6.60,K. Allen WR - LAC ,23.20,V. Davis TE - WAS ,0.00,J. Landry WR - MIA ,7.00,R. Succop K - TEN ,8.00,Chiefs DEF ,3.00,M. Forte RB - NYJ ,2.60,J. Charles RB - DEN ,1.00,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,14.34,T. Eifert TE - CIN ,0.00,P. Richardson WR - SEA ,7.00,O. Beckham WR - NYG ,0.00,T. Kroft TE - CIN ,7.40,J. McKissic RB - SEA ,4.60,C. Kupp WR - LA ,11.60,J. Conner RB - PIT ,0.00,D. Njoku TE - CLE ,4.70,T. Cohen RB - CHI ,-0.30,C. Carson RB - SEA ,0.00,Saints DEF ,6.00,D. Johnson RB - ARI ,0.00,103.62,Chris,67.16
Chris,10,A. Dalton QB - CIN ,19.16,D. Johnson RB - CLE ,6.70,J. Mixon RB - CIN ,22.50,D. Thompson WR - BUF ,0.60,T. Gabriel WR - ATL ,1.60,J. Witten TE - DAL ,4.40,C. Anderson RB - DEN ,1.20,M. Bryant K - ATL ,10.00,Buccaneers DEF ,1.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,M. Lewis TE - JAX ,1.00,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,0.00,E. Manning QB - NYG ,2.42,C. Hogan WR - NE ,0.00,C. Thompson RB - WAS ,0.00,B. Coleman WR - NO ,0.00,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,9.00,G. Everett TE - LA ,0.90,E. McGuire RB - NYJ ,3.40,J. Tucker K - BAL ,13.00,Rams DEF ,4.00,-,-,67.16,Jeff,103.62
Matthew,8,K. Cousins QB - WAS ,16.08,D. Lewis RB - NE ,11.30,L. Fournette RB - JAX ,4.20,T. Ginn WR - NO ,7.10,M. Sanu WR - ATL ,12.44,Z. Ertz TE - PHI ,16.30,J. Ajayi RB - PHI ,3.30,G. Gano K - CAR ,9.00,Panthers DEF ,17.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,7.70,E. Decker WR - TEN ,2.30,C. Ivory RB - JAX ,-2.60,C. Fleener TE - NO ,0.80,K. Wright WR - CHI ,1.50,T. Riddick RB - DET ,3.00,T. Lockett WR - SEA ,0.20,T. Yeldon RB - JAX ,5.20,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,23.98,S. Shepard WR - NYG ,0.00,S. Hauschka K - BUF ,12.00,Texans DEF ,1.00,D. Sproles RB - PHI ,0.00,-,-,96.72,the old man,101.98
