Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,18.46,J. Rodgers RB - TB ,1.50,L. Miller RB - HOU ,8.90,D. Adams WR - GB ,18.60,S. Diggs WR - MIN ,0.40,J. James TE - PIT ,2.40,M. Evans WR - TB ,4.90,S. Gostkowski K - NE ,13.00,Bills DEF ,8.00,J. Maclin WR - BAL ,4.30,K. Rudolph TE - MIN ,10.50,J. Jones WR - ATL ,0.00,C. Newton QB - CAR ,26.20,M. Ingram RB - NO ,0.00,S. Vereen RB - NYG ,4.50,A. Ellington RB - HOU ,6.30,J. Reed TE - WAS ,0.00,C. West RB - KC ,13.30,C. Brate TE - TB ,12.80,N. Agholor WR - PHI ,15.30,K. White WR - CHI ,0.00,J. Goff QB - LA ,7.72,E. Engram TE - NYG ,0.00,M. Mack RB - IND ,15.30,T. Sharpe WR - TEN ,0.00,76.16,bob,92.34
Dannye Van,6,D. Watson QB - HOU ,35.54,L. McCoy RB - BUF ,8.90,M. Gillislee RB - NE ,5.20,D. Hopkins WR - HOU ,23.20,T. Hill WR - KC ,6.80,D. Walker TE - TEN ,2.50,S. Watkins WR - LA ,0.00,H. Butker K - KC ,18.00,--empty--,-,M. Crabtree WR - LV ,14.20,M. Jones WR - DET ,5.40,J. Kearse WR - NYJ ,9.80,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,3.10,K. Benjamin WR - BUF ,11.80,D. Carr QB - LV ,0.00,W. Snead WR - NO ,0.00,J. Allen RB - BAL ,14.50,P. Perkins RB - NYG ,0.00,R. Kelley RB - WAS ,0.00,O. Howard TE - TB ,0.00,A. Jones RB - GB ,19.40,S. Perine RB - WAS ,0.00,Broncos DEF ,0.00,Redskins DEF ,0.00,100.14,Matthew,99.06
Tilly,3,A. Smith QB - KC ,26.86,T. Rawls RB - SEA ,3.50,C. McCaffrey RB - CAR ,9.80,J. Nelson WR - GB ,8.40,B. Cooks WR - NE ,8.50,J. Cook TE - LV ,0.50,T. Williams WR - LAC ,2.20,D. Bailey K - DAL ,7.00,Jaguars DEF ,28.00,K. Britt WR - NE ,0.00,A. Dalton QB - CIN ,13.32,B. Roethlisberger QB - PIT ,2.58,A. Peterson RB - ARI ,0.00,K. Stills WR - MIA ,1.30,T. West RB - BAL ,1.70,P. Dorsett WR - NE ,0.00,T. Montgomery RB - GB ,0.00,J. Brissett QB - IND ,17.96,H. Henry TE - LAC ,10.20,A. Hooper TE - ATL ,0.00,C. Prosise RB - SEA ,0.00,R. Anderson WR - NYJ ,1.60,A. Vinatieri K - IND ,18.00,Giants DEF ,4.00,J. Edelman WR - NE ,0.00,94.76,Chris,88.20
LeMar,10,M. Ryan QB - ATL ,0.00,B. Powell RB - NYJ ,3.30,M. Gordon RB - LAC ,28.30,R. Matthews WR - TEN ,3.10,T. Austin WR - LA ,8.10,J. Thomas TE - MIA ,1.50,J. White RB - NE ,6.00,C. Boswell K - PIT ,9.00,Seahawks DEF ,16.00,M. Stafford QB - DET ,15.16,R. Mathews RB ,0.00,D. Thomas WR - DEN ,0.00,D. Murray RB - TEN ,4.90,R. Cobb WR - GB ,2.90,G. Olsen TE - CAR ,0.00,R. Burkhead RB - NE ,0.00,M. Wheaton WR - CHI ,0.90,E. Lacy RB - SEA ,2.80,J. McKinnon RB - MIN ,20.60,A. Hurns WR - JAX ,2.10,B. Perriman WR - BAL ,1.50,A. Humphries WR - TB ,5.10,J. Doctson WR - WAS ,0.00,Cardinals DEF ,2.00,-,-,75.30,Jeff,85.22
Quinten,5,A. Rodgers QB - GB ,24.04,M. Lynch RB - LV ,11.30,C. Hyde RB - SF ,1.80,L. Fitzgerald WR - ARI ,5.10,D. Moncrief WR - IND ,3.20,E. Ebron TE - DET ,0.60,A. Thielen WR - MIN ,4.50,C. Catanzaro K - NYJ ,7.00,Lions DEF ,3.00,D. Jackson WR - TB ,10.60,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,9.70,E. Sanders WR - DEN ,0.00,P. Rivers QB - LAC ,20.82,R. Woods WR - LA ,7.40,J. Doyle TE - IND ,0.00,A. Robinson WR - JAX ,0.00,C. Sims RB - TB ,3.40,J. Brown WR - ARI ,8.60,B. Oliver RB - LAC ,0.00,J. Nelson WR - ARI ,7.40,T. Siemian QB - DEN ,0.00,W. Fuller WR - HOU ,18.20,D. Henry RB - TEN ,0.90,-,-,60.54,the old man,77.02
bob,1,D. Prescott QB - DAL ,29.74,L. Bell RB - PIT ,9.30,K. Hunt RB - KC ,11.60,D. Amendola WR - NE ,7.70,D. Bryant WR - DAL ,11.20,T. Kelce TE - KC ,9.80,T. Gurley RB - LA ,3.00,G. Tavecchio K - LV ,5.00,Steelers DEF ,5.00,C. Clay TE - BUF ,3.10,A. Brown WR - PIT ,15.70,C. Beasley WR - DAL ,14.30,B. Bortles QB - JAX ,2.70,D. Freeman RB - ATL ,0.00,D. Parker WR - MIA ,0.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,0.00,J. Howard RB - CHI ,7.60,M. Thomas WR - NO ,0.00,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,0.90,D. Foreman RB - HOU ,1.70,A. Kamara RB - NO ,0.00,J. Smith-Schuster WR - PIT ,5.80,-,-,92.34,Will,76.16
the old man,4,T. Brady QB - NE ,12.62,F. Gore RB - IND ,8.60,D. Martin RB - TB ,14.20,D. Baldwin WR - SEA ,3.70,T. Hilton WR - IND ,17.70,R. Gronkowski TE - NE ,0.00,W. Gallman RB - NYG ,8.20,G. Zuerlein K - LA ,4.00,Eagles DEF ,8.00,J. Stewart RB - CAR ,4.40,G. Tate WR - DET ,4.80,T. Taylor QB - BUF ,8.94,T. Pryor WR - WAS ,0.00,G. Bernard RB - CIN ,3.20,L. Murray RB - MIN ,4.30,M. Bryant WR - PIT ,3.40,A. Abdullah RB - DET ,3.40,D. Funchess WR - CAR ,11.30,M. Mariota QB - TEN ,0.00,A. Cooper WR - LV ,0.80,C. Samuel WR - CAR ,0.00,J. Smith TE - TEN ,2.10,M. Williams WR - LAC ,0.00,Ravens DEF ,12.00,D. Cook RB - MIN ,0.00,77.02,Quinten,60.54
Jeff,9,R. Wilson QB - SEA ,11.52,I. Crowell RB - CLE ,6.70,T. Cohen RB - CHI ,0.70,A. Green WR - CIN ,22.90,O. Beckham WR - NYG ,16.50,B. Watson TE - BAL ,0.20,K. Allen WR - LAC ,6.70,B. Walsh K - SEA ,10.00,Chiefs DEF ,10.00,M. Forte RB - NYJ ,0.00,J. Charles RB - DEN ,0.00,B. Marshall WR - NYG ,1.50,D. Brees QB - NO ,0.00,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,J. Landry WR - MIA ,10.40,T. Coleman RB - ATL ,0.00,T. Kroft TE - CIN ,3.80,D. Johnson RB - ARI ,0.00,J. McKissic RB - SEA ,3.60,C. Kupp WR - LA ,4.40,J. Conner RB - PIT ,0.90,D. Kizer QB - CLE ,2.38,C. Carson RB - SEA ,0.00,-,-,85.22,LeMar,75.30
Chris,7,E. Manning QB - NYG ,13.00,C. Johnson RB ,2.90,J. Mixon RB - CIN ,11.10,P. Garcon WR - SF ,9.40,C. Hogan WR - NE ,13.40,J. Witten TE - DAL ,4.10,D. Johnson RB - CLE ,14.30,J. Tucker K - BAL ,12.00,Rams DEF ,8.00,J. Cutler QB - MIA ,6.48,M. Lewis TE - JAX ,1.40,C. Palmer QB - ARI ,15.64,A. Gates TE - LAC ,2.30,D. Thompson WR - BUF ,0.00,C. Thompson RB - WAS ,0.00,C. Anderson RB - DEN ,0.00,B. Coleman WR - NO ,0.00,T. Gabriel WR - ATL ,0.00,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,3.70,G. Everett TE - LA ,0.80,M. Bryant K - ATL ,0.00,Buccaneers DEF ,8.00,-,-,-,-,88.20,Tilly,94.76
Matthew,8,C. Wentz QB - PHI ,27.26,E. Elliott RB - DAL ,13.20,L. Fournette RB - JAX ,30.40,E. Decker WR - TEN ,3.40,K. Wright WR - CHI ,4.60,Z. Miller TE - CHI ,9.90,T. Lockett WR - SEA ,3.30,S. Hauschka K - BUF ,10.00,Texans DEF ,-3.00,L. Blount RB - PHI ,7.40,D. Lewis RB - NE ,6.30,T. Ginn WR - NO ,0.00,C. Ivory RB - JAX ,4.10,K. Cousins QB - WAS ,0.00,C. Fleener TE - NO ,0.00,M. Sanu WR - ATL ,0.00,T. Riddick RB - DET ,5.30,Z. Ertz TE - PHI ,12.10,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,5.90,S. Shepard WR - NYG ,0.90,G. Gano K - CAR ,9.00,Panthers DEF ,8.00,D. Sproles RB - PHI ,0.00,-,-,99.06,Dannye Van,100.14
