Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,J. Winston QB - TB ,3.48,M. Ingram RB - NO ,7.90,L. Miller RB - HOU ,9.10,J. Jones WR - ATL ,11.80,M. Evans WR - TB ,1.30,C. Brate TE - TB ,0.90,J. Maclin WR - BAL ,9.80,S. Gostkowski K - NE ,0.00,Bills DEF ,0.00,J. Stewart RB - CAR ,-1.90,K. Rudolph TE - MIN ,0.00,C. Newton QB - CAR ,20.08,J. Rodgers RB - TB ,0.00,S. Vereen RB - NYG ,1.40,A. Ellington RB - HOU ,1.40,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,5.30,C. West RB - KC ,3.30,S. Diggs WR - MIN ,0.00,K. White WR - CHI ,0.00,J. Goff QB - LA ,28.44,E. Engram TE - NYG ,13.00,M. Mack RB - IND ,2.90,Patriots DEF ,0.00,T. Sharpe WR - TEN ,0.00,44.28,Matthew,74.96
Dannye Van,2,D. Carr QB - LV ,13.70,L. McCoy RB - BUF ,2.50,A. Jones RB - GB ,1.10,D. Hopkins WR - HOU ,14.60,T. Hill WR - KC ,13.30,D. Walker TE - TEN ,7.10,M. Crabtree WR - LV ,4.00,H. Butker K - KC ,5.00,Broncos DEF ,6.00,M. Jones WR - DET ,22.70,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,20.40,A. Morris RB - DAL ,1.10,J. Gordon WR - CLE ,0.00,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,12.70,K. Benjamin WR - BUF ,0.00,W. Snead WR - NO ,-2.00,J. Allen RB - BAL ,12.50,R. Kelley RB - WAS ,13.80,O. Howard TE - TB ,-1.40,D. Westbrook WR - JAX ,0.00,D. Watson QB - HOU ,0.00,Vikings DEF ,0.00,-,-,67.30,Chris,51.90
Tilly,5,A. Smith QB - KC ,18.42,A. Peterson RB - ARI ,14.70,K. Drake RB - MIA ,10.40,J. Nelson WR - GB ,3.50,N. Agholor WR - PHI ,3.60,J. Cook TE - LV ,12.60,C. McCaffrey RB - CAR ,15.40,W. Lutz K - NO ,6.00,Jaguars DEF ,12.00,B. Roethlisberger QB - PIT ,0.00,K. Stills WR - MIA ,2.80,B. Cooks WR - NE ,0.00,J. Garoppolo QB - SF ,0.00,D. Williams RB - MIA ,12.10,T. Montgomery RB - GB ,5.10,T. Rawls RB - SEA ,7.00,T. Williams WR - LAC ,0.00,J. Brissett QB - IND ,19.52,H. Henry TE - LAC ,0.00,A. Hooper TE - ATL ,3.60,C. Prosise RB - SEA ,0.00,R. Anderson WR - NYJ ,10.80,M. Trubisky QB - CHI ,0.00,A. Vinatieri K - IND ,10.00,J. Edelman WR - NE ,0.00,96.62,Jeff,74.68
LeMar,10,M. Ryan QB - ATL ,18.42,D. Murray RB - TEN ,4.10,A. Collins RB - BAL ,4.60,D. Thomas WR - DEN ,13.00,A. Hurns WR - JAX ,3.10,J. Thomas TE - MIA ,14.40,B. Powell RB - NYJ ,7.40,M. Crosby K - GB ,5.00,Cardinals DEF ,13.00,M. Stafford QB - DET ,22.44,R. Mathews RB ,0.00,R. Cobb WR - GB ,5.90,G. Olsen TE - CAR ,0.00,R. Matthews WR - TEN ,13.00,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,4.30,E. Lacy RB - SEA ,3.40,J. McKinnon RB - MIN ,0.00,J. White RB - NE ,0.00,M. Gordon RB - LAC ,0.00,A. Humphries WR - TB ,1.40,J. Doctson WR - WAS ,5.90,C. Boswell K - PIT ,0.00,Seahawks DEF ,11.00,-,-,83.02,the old man,98.10
Quinten,6,M. Moore QB - MIA ,0.00,C. Hyde RB - SF ,12.50,D. Henry RB - TEN ,9.60,D. Jackson WR - TB ,3.30,L. Fitzgerald WR - ARI ,7.00,J. Graham TE - SEA ,5.90,W. Fuller WR - HOU ,3.20,C. Catanzaro K - NYJ ,10.00,Lions DEF ,4.00,D. Woodhead RB - BAL ,0.00,E. Sanders WR - DEN ,3.00,M. Lynch RB - LV ,18.30,P. Rivers QB - LAC ,0.00,A. Rodgers QB - GB ,0.00,R. Woods WR - LA ,19.00,J. Doyle TE - IND ,6.30,A. Thielen WR - MIN ,0.00,E. Ebron TE - DET ,3.50,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.70,C. Sims RB - TB ,1.10,J. Brown WR - ARI ,5.20,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,0.00,-,-,55.50,bob,100.66
bob,1,D. Prescott QB - DAL ,26.66,T. Gurley RB - LA ,22.40,K. Hunt RB - KC ,6.10,D. Bryant WR - DAL ,7.30,M. Thomas WR - NO ,6.50,T. Kelce TE - KC ,13.30,D. Freeman RB - ATL ,6.40,J. Elliott K - PHI ,9.00,Raiders DEF ,3.00,D. Amendola WR - NE ,0.00,C. Clay TE - BUF ,0.00,A. Brown WR - PIT ,0.00,C. Beasley WR - DAL ,14.40,L. Bell RB - PIT ,0.00,D. Parker WR - MIA ,7.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,3.00,J. Howard RB - CHI ,0.00,C. Davis WR - TEN ,2.80,Z. Jones WR - BUF ,11.30,D. Foreman RB - HOU ,3.70,A. Kamara RB - NO ,25.20,J. Smith-Schuster WR - PIT ,0.00,Steelers DEF ,0.00,-,-,100.66,Quinten,55.50
the old man,4,T. Taylor QB - BUF ,26.90,D. Martin RB - TB ,0.70,A. Abdullah RB - DET ,9.70,G. Tate WR - DET ,11.30,D. Baldwin WR - SEA ,16.80,A. Seferian-Jenkins TE - NYJ ,2.00,F. Gore RB - IND ,7.70,G. Zuerlein K - LA ,15.00,Eagles DEF ,8.00,R. Gronkowski TE - NE ,0.00,T. Brady QB - NE ,0.00,T. Pryor WR - WAS ,1.70,T. Hilton WR - IND ,29.50,G. Bernard RB - CIN ,-0.60,L. Murray RB - MIN ,0.00,M. Bryant WR - PIT ,0.00,O. Darkwa RB - NYG ,7.90,D. Funchess WR - CAR ,8.60,M. Mariota QB - TEN ,15.32,A. Cooper WR - LV ,5.80,W. Gallman RB - NYG ,2.10,M. Williams WR - LAC ,0.00,K. Forbath K - MIN ,0.00,Ravens DEF ,5.00,D. Cook RB - MIN ,0.00,98.10,LeMar,83.02
Jeff,8,R. Wilson QB - SEA ,23.58,M. Forte RB - NYJ ,21.60,T. Coleman RB - ATL ,8.40,A. Green WR - CIN ,0.60,J. Landry WR - MIA ,9.20,V. Davis TE - WAS ,7.20,P. Richardson WR - SEA ,4.10,B. Walsh K - SEA ,0.00,Chiefs DEF ,0.00,J. Charles RB - DEN ,2.40,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,18.72,B. Watson TE - BAL ,4.10,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,0.00,O. Beckham WR - NYG ,0.00,I. Crowell RB - CLE ,0.00,T. Kroft TE - CIN ,7.90,J. McKissic RB - SEA ,2.60,C. Kupp WR - LA ,5.40,J. Conner RB - PIT ,0.00,D. Njoku TE - CLE ,0.00,T. Cohen RB - CHI ,0.00,C. Carson RB - SEA ,0.00,D. Johnson RB - ARI ,0.00,74.68,Tilly,96.62
Chris,9,E. Manning QB - NYG ,12.80,C. Anderson RB - DEN ,1.30,J. Mixon RB - CIN ,10.60,B. Coleman WR - NO ,0.70,T. Gabriel WR - ATL ,5.90,J. Witten TE - DAL ,0.50,C. Thompson RB - WAS ,3.10,J. Tucker K - BAL ,8.00,Rams DEF ,9.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,A. Dalton QB - CIN ,5.34,M. Lewis TE - JAX ,4.90,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,0.00,C. Hogan WR - NE ,0.00,D. Thompson WR - BUF ,14.10,D. Johnson RB - CLE ,0.00,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,1.40,G. Everett TE - LA ,5.70,E. McGuire RB - NYJ ,3.90,M. Bryant K - ATL ,7.00,Buccaneers DEF ,4.00,-,-,51.90,Dannye Van,67.30
Matthew,7,C. Wentz QB - PHI ,24.76,E. Elliott RB - DAL ,15.30,L. Fournette RB - JAX ,0.00,T. Ginn WR - NO ,11.90,T. Lockett WR - SEA ,1.00,Z. Ertz TE - PHI ,0.00,S. Shepard WR - NYG ,7.00,S. Hauschka K - BUF ,3.00,Texans DEF ,12.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,3.70,E. Decker WR - TEN ,8.10,D. Lewis RB - NE ,0.00,C. Ivory RB - JAX ,10.40,K. Cousins QB - WAS ,8.28,C. Fleener TE - NO ,4.60,K. Wright WR - CHI ,0.00,M. Sanu WR - ATL ,8.30,T. Riddick RB - DET ,7.30,T. Yeldon RB - JAX ,3.20,J. Ajayi RB - PHI ,13.70,G. Gano K - CAR ,8.00,Panthers DEF ,5.00,D. Sproles RB - PHI ,0.00,-,-,74.96,Will,44.28
