Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,C. Newton QB - CAR ,15.60,M. Ingram RB - NO ,12.60,J. Williams RB - GB ,5.80,J. Jones WR - ATL ,14.90,D. Adams WR - GB ,0.00,C. Brate TE - TB ,1.30,L. Miller RB - HOU ,6.50,S. Gostkowski K - NE ,13.00,Bengals DEF ,5.00,J. Stewart RB - CAR ,1.80,J. Maclin WR - BAL ,0.00,K. Rudolph TE - MIN ,0.60,S. Vereen RB - NYG ,0.00,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,0.00,M. Evans WR - TB ,10.70,C. West RB - KC ,2.80,J. Winston QB - TB ,13.28,S. Diggs WR - MIN ,12.30,K. White WR - CHI ,0.00,J. Goff QB - LA ,25.44,E. Engram TE - NYG ,1.20,M. Mack RB - IND ,5.40,Patriots DEF ,10.00,T. Sharpe WR - TEN ,0.00,-,-,-,-,74.70,the old man,78.96
Dannye Van,4,B. Bortles QB - JAX ,22.38,L. McCoy RB - BUF ,14.70,J. Allen RB - BAL ,4.70,J. Gordon WR - CLE ,1.90,T. Hill WR - KC ,10.80,D. Walker TE - TEN ,3.30,D. Hopkins WR - HOU ,12.50,H. Butker K - KC ,17.00,Vikings DEF ,15.00,M. Crabtree WR - LV ,0.00,M. Jones WR - DET ,5.00,A. Jeffery WR - PHI ,0.00,A. Morris RB - DAL ,0.00,M. Gillislee RB - NE ,10.30,S. Watkins WR - LA ,9.00,D. Carr QB - LV ,5.90,C. Coleman WR - CLE ,0.30,O. Howard TE - TB ,0.00,D. Westbrook WR - JAX ,7.40,A. Jones RB - GB ,1.30,S. Perine RB - WAS ,5.40,A. Rosas K - NYG ,0.00,Broncos DEF ,4.00,-,-,-,-,-,-,-,-,102.28,Tilly,52.96
Tilly,2,A. Smith QB - KC ,17.46,K. Drake RB - MIA ,5.70,C. McCaffrey RB - CAR ,5.80,B. Cooks WR - NE ,2.50,N. Agholor WR - PHI ,3.50,J. Cook TE - LV ,1.50,K. Williams RB - ARI ,6.50,W. Lutz K - NO ,11.00,Jaguars DEF ,-1.00,J. Nelson WR - GB ,1.10,B. Roethlisberger QB - PIT ,16.94,A. Peterson RB - ARI ,0.00,K. Stills WR - MIA ,3.40,J. Garoppolo QB - SF ,21.98,D. Williams RB - MIA ,0.00,T. Rawls RB - SEA ,2.00,T. Williams WR - LAC ,5.00,J. Brissett QB - IND ,13.40,H. Henry TE - LAC ,0.00,A. Hooper TE - ATL ,1.80,R. Anderson WR - NYJ ,5.10,M. Trubisky QB - CHI ,18.12,A. Vinatieri K - IND ,10.00,J. Edelman WR - NE ,0.00,T. Montgomery RB - GB ,0.00,C. Prosise RB - SEA ,0.00,-,-,52.96,Dannye Van,102.28
LeMar,10,M. Ryan QB - ATL ,14.22,D. Murray RB - TEN ,11.90,M. Gordon RB - LAC ,18.80,D. Thomas WR - DEN ,5.20,R. Matthews WR - TEN ,4.80,J. Thomas TE - MIA ,0.00,J. McKinnon RB - MIN ,5.10,C. Boswell K - PIT ,10.00,Seahawks DEF ,20.00,M. Stafford QB - DET ,10.82,R. Mathews RB ,0.00,E. Dickson TE - CAR ,0.00,B. Powell RB - NYJ ,20.50,R. Cobb WR - GB ,1.60,B. Watson TE - BAL ,4.00,R. Burkhead RB - NE ,0.00,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.00,J. White RB - NE ,0.00,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,12.10,A. Collins RB - BAL ,6.60,M. Crosby K - GB ,0.00,Cardinals DEF ,24.00,-,-,-,-,-,-,90.02,Matthew,129.56
Quinten,6,P. Rivers QB - LAC ,15.60,M. Lynch RB - LV ,7.20,C. Hyde RB - SF ,13.30,R. Woods WR - LA ,3.30,A. Thielen WR - MIN ,2.40,J. Doyle TE - IND ,4.10,D. Henry RB - TEN ,3.10,C. Catanzaro K - NYJ ,1.00,Lions DEF ,5.00,D. Jackson WR - TB ,0.00,D. Woodhead RB - BAL ,4.10,J. Graham TE - SEA ,6.30,E. Sanders WR - DEN ,0.00,L. Fitzgerald WR - ARI ,18.74,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,0.00,E. Ebron TE - DET ,14.30,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.00,C. Sims RB - TB ,1.90,J. Brown WR - ARI ,8.80,B. Oliver RB - LAC ,0.90,T. Siemian QB - DEN ,0.00,W. Fuller WR - HOU ,1.00,-,-,-,-,-,-,55.00,bob,71.74
bob,1,D. Prescott QB - DAL ,5.34,K. Hunt RB - KC ,16.60,A. Kamara RB - NO ,9.00,D. Bryant WR - DAL ,2.30,C. Beasley WR - DAL ,1.20,T. Kelce TE - KC ,10.70,M. Thomas WR - NO ,6.60,D. Bailey K - DAL ,16.00,Cowboys DEF ,4.00,D. Amendola WR - NE ,2.80,T. Taylor QB - BUF ,12.84,G. Olsen TE - CAR ,2.70,A. Brown WR - PIT ,0.00,J. Kearse WR - NYJ ,4.20,M. Goodwin WR - SF ,3.70,L. Bell RB - PIT ,15.70,D. Freeman RB - ATL ,3.60,D. Parker WR - MIA ,6.30,T. Gurley RB - LA ,39.60,D. Booker RB - DEN ,5.10,J. Howard RB - CHI ,16.40,C. Davis WR - TEN ,9.10,Z. Jones WR - BUF ,0.00,J. Smith-Schuster WR - PIT ,13.50,R. Tannehill QB - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Foreman RB - HOU ,0.00,71.74,Quinten,55.00
the old man,5,T. Brady QB - NE ,15.56,F. Gore RB - IND ,14.60,L. Murray RB - MIN ,7.50,T. Hilton WR - IND ,10.00,D. Funchess WR - CAR ,1.10,R. Gronkowski TE - NE ,12.70,D. Baldwin WR - SEA ,9.50,J. Lambo K - JAX ,5.00,Ravens DEF ,3.00,G. Tate WR - DET ,1.40,D. Martin RB - TB ,0.70,G. Bernard RB - CIN ,22.80,M. Lee WR - JAX ,0.00,M. Bryant WR - PIT ,6.80,O. Darkwa RB - NYG ,1.00,A. Abdullah RB - DET ,2.60,M. Mariota QB - TEN ,11.40,A. Cooper WR - LV ,12.60,W. Gallman RB - NYG ,6.20,M. Williams WR - LAC ,0.00,G. Zuerlein K - LA ,0.00,Eagles DEF ,21.00,D. Cook RB - MIN ,0.00,-,-,-,-,-,-,-,-,78.96,Will,74.70
Jeff,7,R. Wilson QB - SEA ,14.62,I. Crowell RB - CLE ,4.30,T. Coleman RB - ATL ,11.20,A. Green WR - CIN ,8.10,K. Allen WR - LAC ,6.30,T. Kroft TE - CIN ,0.30,P. Richardson WR - SEA ,2.10,R. Succop K - TEN ,11.00,Chiefs DEF ,8.00,M. Forte RB - NYJ ,0.60,J. Charles RB - DEN ,0.00,V. Davis TE - WAS ,10.20,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,11.16,T. Eifert TE - CIN ,0.00,J. Landry WR - MIA ,3.10,O. Beckham WR - NYG ,0.00,M. Davis RB - SEA ,4.30,J. McKissic RB - SEA ,0.00,C. Kupp WR - LA ,12.50,D. Njoku TE - CLE ,1.30,T. Cohen RB - CHI ,2.10,C. Carson RB - SEA ,0.00,Saints DEF ,13.00,D. Johnson RB - ARI ,0.00,-,-,-,-,65.92,Chris,73.22
Chris,9,A. Dalton QB - CIN ,11.42,D. Johnson RB - CLE ,10.10,J. Mixon RB - CIN ,3.20,D. Thompson WR - BUF ,9.10,T. Gabriel WR - ATL ,3.20,J. Witten TE - DAL ,3.90,C. Anderson RB - DEN ,21.30,M. Bryant K - ATL ,7.00,Buccaneers DEF ,4.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,M. Lewis TE - JAX ,2.20,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,14.10,E. Manning QB - NYG ,5.02,C. Hogan WR - NE ,0.00,C. Thompson RB - WAS ,0.00,B. Coleman WR - NO ,0.00,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,1.60,G. Everett TE - LA ,0.00,E. McGuire RB - NYJ ,-2.00,J. Tucker K - BAL ,11.00,Rams DEF ,4.00,-,-,-,-,-,-,73.22,Jeff,65.92
Matthew,8,K. Cousins QB - WAS ,22.76,D. Lewis RB - NE ,27.30,L. Fournette RB - JAX ,13.00,T. Ginn WR - NO ,15.00,M. Sanu WR - ATL ,3.10,Z. Ertz TE - PHI ,8.10,J. Ajayi RB - PHI ,11.30,G. Gano K - CAR ,10.00,Panthers DEF ,19.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,1.50,E. Decker WR - TEN ,7.30,C. Ivory RB - JAX ,0.00,C. Fleener TE - NO ,0.00,K. Wright WR - CHI ,2.70,T. Riddick RB - DET ,3.90,T. Lockett WR - SEA ,0.90,T. Yeldon RB - JAX ,13.70,E. Elliott RB - DAL ,11.80,C. Wentz QB - PHI ,0.00,S. Shepard WR - NYG ,4.50,S. Hauschka K - BUF ,10.00,Texans DEF ,-1.00,D. Sproles RB - PHI ,0.00,-,-,-,-,-,-,129.56,LeMar,90.02
