Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,5,C. Newton QB - CAR ,13.14,M. Ingram RB - NO ,7.10,L. Miller RB - HOU ,9.60,J. Jones WR - ATL ,6.60,S. Diggs WR - MIN ,20.70,J. Reed TE - WAS ,3.60,K. White WR - CHI ,0.60,S. Gostkowski K - NE ,9.00,Patriots DEF ,1.00,J. Maclin WR - BAL ,11.60,K. Rudolph TE - MIN ,8.60,J. Rodgers RB - TB ,0.00,S. Vereen RB - NYG ,5.10,L. Murray RB - MIN ,0.60,M. Evans WR - TB ,0.00,D. Adams WR - GB ,4.70,C. West RB - KC ,8.50,C. Brate TE - TB ,0.00,J. Winston QB - TB ,0.00,J. James TE - PIT ,16.10,K. Drake RB - MIA ,0.00,T. Sharpe WR - TEN ,0.00,M. Mack RB - IND ,10.50,P. Mahomes QB - KC ,0.00,71.34,Dannye Van,54.28
Dannye Van,9,D. Carr QB - LV ,18.68,J. Hill RB - CIN ,2.40,P. Perkins RB - NYG ,2.50,S. Watkins WR - LA ,5.80,K. Benjamin WR - BUF ,2.50,D. Walker TE - TEN ,7.60,A. Jeffery WR - PHI ,5.80,C. Santos K - CHI ,6.00,Broncos DEF ,3.00,D. McFadden RB ,0.00,M. Crabtree WR - LV ,8.30,M. Jones WR - DET ,9.70,D. Martin RB - TB ,0.00,A. Luck QB - IND ,0.00,D. Hopkins WR - HOU ,11.50,C. Coleman WR - CLE ,11.30,D. Washington RB - LV ,2.20,T. Hill WR - KC ,19.80,R. Kelley RB - WAS ,3.00,O. Howard TE - TB ,0.00,D. Cook RB - MIN ,13.70,D. Watson QB - HOU ,5.68,S. Perine RB - WAS ,0.00,A. Stewart WR - NYJ ,1.00,54.28,Will,71.34
Tilly,3,B. Roethlisberger QB - PIT ,15.72,T. West RB - BAL ,14.00,T. Montgomery RB - GB ,15.30,J. Nelson WR - GB ,13.90,B. Cooks WR - NE ,8.80,M. Bennett TE - NE ,4.30,C. McCaffrey RB - CAR ,6.50,A. Vinatieri K - IND ,3.00,Giants DEF ,2.00,K. Britt WR - NE ,1.30,J. Edelman WR - NE ,0.00,A. Dalton QB - CIN ,-3.00,A. Peterson RB - ARI ,1.80,K. Stills WR - MIA ,0.00,C. Meredith WR - CHI ,0.00,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,5.40,J. Williams RB - NO ,0.00,H. Henry TE - LAC ,0.00,A. Hooper TE - ATL ,18.80,C. Prosise RB - SEA ,1.10,R. Anderson WR - NYJ ,2.20,D. Bailey K - DAL ,13.00,Jaguars DEF ,28.00,83.52,Matthew,74.58
LeMar,8,M. Ryan QB - ATL ,17.94,B. Powell RB - NYJ ,3.90,M. Gordon RB - LAC ,13.90,D. Thomas WR - DEN ,6.70,R. Cobb WR - GB ,8.50,G. Olsen TE - CAR ,1.80,D. Murray RB - TEN ,6.00,C. Boswell K - PIT ,3.00,Cardinals DEF ,8.00,M. Stafford QB - DET ,27.08,R. Mathews RB ,0.00,J. Thomas TE - MIA ,0.00,R. Matthews WR - TEN ,7.10,R. Burkhead RB - NE ,2.30,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,-0.20,E. Lacy RB - SEA ,0.30,J. McKinnon RB - MIN ,3.70,J. White RB - NE ,6.80,A. Hurns WR - JAX ,4.20,B. Perriman WR - BAL ,0.50,A. Humphries WR - TB ,0.00,J. Doctson WR - WAS ,0.00,Seahawks DEF ,7.00,69.74,Chris,84.82
Quinten,4,A. Rodgers QB - GB ,16.54,M. Lynch RB - LV ,9.20,C. Hyde RB - SF ,7.70,E. Sanders WR - DEN ,2.60,L. Fitzgerald WR - ARI ,7.40,J. Graham TE - SEA ,0.80,D. Moncrief WR - IND ,5.00,C. Catanzaro K - NYJ ,8.00,Lions DEF ,16.00,D. Jackson WR - TB ,0.00,D. Woodhead RB - BAL ,3.70,P. Rivers QB - LAC ,17.68,R. Woods WR - LA ,5.30,J. Doyle TE - IND ,4.10,A. Thielen WR - MIN ,15.70,E. Ebron TE - DET ,0.90,A. Robinson WR - JAX ,1.70,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,4.20,B. Oliver RB - LAC ,1.00,J. Nelson WR - ARI ,10.30,T. Siemian QB - DEN ,22.66,W. Fuller WR - HOU ,0.00,D. Henry RB - TEN ,2.50,73.24,Jeff,52.52
bob,1,D. Prescott QB - DAL ,17.12,L. Bell RB - PIT ,4.70,D. Freeman RB - ATL ,9.90,A. Brown WR - PIT ,18.20,M. Thomas WR - NO ,4.50,T. Kelce TE - KC ,4.40,T. Gurley RB - LA ,15.60,M. Crosby K - GB ,5.00,Steelers DEF ,16.00,D. Bryant WR - DAL ,4.30,C. Beasley WR - DAL ,3.20,B. Bortles QB - JAX ,10.30,C. Fiedorowicz TE - HOU ,4.60,D. Parker WR - MIA ,0.00,J. Crowder WR - WAS ,-0.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,0.00,J. Howard RB - CHI ,12.60,C. Davis WR - TEN ,6.90,Z. Jones WR - BUF ,2.10,K. Hunt RB - KC ,40.60,D. Foreman RB - HOU ,0.40,A. Kamara RB - NO ,3.80,J. Smith-Schuster WR - PIT ,0.00,95.42,the old man,71.98
the old man,7,T. Brady QB - NE ,10.68,L. McCoy RB - BUF ,15.90,F. Gore RB - IND ,5.20,D. Baldwin WR - SEA ,6.00,T. Hilton WR - IND ,3.70,R. Gronkowski TE - NE ,3.30,J. Stewart RB - CAR ,14.20,K. Forbath K - MIN ,11.00,Colts DEF ,2.00,G. Tate WR - DET ,11.40,T. Taylor QB - BUF ,18.76,T. Pryor WR - WAS ,6.60,M. Gillislee RB - NE ,22.50,G. Bernard RB - CIN ,7.90,M. Lee WR - JAX ,0.00,J. Matthews WR - BUF ,6.10,M. Bryant WR - PIT ,1.40,A. Abdullah RB - DET ,4.10,M. Mariota QB - TEN ,18.84,A. Cooper WR - LV ,12.20,J. Ross WR - CIN ,0.00,C. Samuel WR - CAR ,0.00,M. Williams WR - LAC ,0.00,Eagles DEF ,22.00,71.98,bob,95.42
Jeff,10,R. Wilson QB - SEA ,8.32,I. Crowell RB - CLE ,8.60,D. Johnson RB - ARI ,7.00,A. Green WR - CIN ,7.40,B. Marshall WR - NYG ,1.00,T. Eifert TE - CIN ,0.40,T. Coleman RB - ATL ,5.80,B. Walsh K - SEA ,9.00,Falcons DEF ,5.00,M. Forte RB - NYJ ,3.60,J. Charles RB - DEN ,2.00,D. Brees QB - NO ,15.64,K. Allen WR - LAC ,9.50,S. Ware RB - KC ,0.00,J. Landry WR - MIA ,0.00,O. Beckham WR - NYG ,0.00,K. Williams WR ,0.00,C. Kupp WR - LA ,13.60,J. Conner RB - PIT ,1.10,D. Kizer QB - CLE ,18.58,D. Njoku TE - CLE ,2.00,J. Williams RB - GB ,0.90,T. Cohen RB - CHI ,17.30,Chiefs DEF ,3.00,52.52,Quinten,73.24
Chris,2,C. Palmer QB - ARI ,8.92,C. Anderson RB - DEN ,8.80,D. Johnson RB - CLE ,2.00,P. Garcon WR - SF ,8.10,T. Gabriel WR - ATL ,3.60,J. Witten TE - DAL ,11.90,C. Hogan WR - NE ,2.50,M. Bryant K - ATL ,11.00,Rams DEF ,28.00,A. Gates TE - LAC ,1.70,E. Manning QB - NYG ,6.70,M. Wallace WR - BAL ,0.80,D. Allen TE - NE ,0.00,C. Thompson RB - WAS ,11.60,Q. Enunwa WR - NYJ ,0.00,W. Snead WR - NO ,0.00,R. Rodgers TE - GB ,0.00,L. Treadwell WR - MIN ,0.70,K. Dixon RB - BAL ,0.00,J. Richard RB - LV ,2.80,J. Williams RB - SF ,0.00,J. Mixon RB - CIN ,2.40,J. Tucker K - BAL ,8.00,Vikings DEF ,2.00,84.82,LeMar,69.74
Matthew,6,C. Wentz QB - PHI ,18.88,L. Blount RB - PHI ,10.70,E. Elliott RB - DAL ,14.00,K. Wright WR - CHI ,3.40,M. Sanu WR - ATL ,4.70,Z. Miller TE - CHI ,3.90,E. Decker WR - TEN ,1.00,S. Hauschka K - BUF ,3.00,Panthers DEF ,15.00,D. Lewis RB - NE ,0.90,D. Sproles RB - PHI ,4.50,T. Ginn WR - NO ,5.80,C. Ivory RB - JAX ,5.30,K. Cousins QB - WAS ,10.60,C. Fleener TE - NO ,11.40,T. Riddick RB - DET ,8.60,Z. Ertz TE - PHI ,9.30,T. Lockett WR - SEA ,0.80,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,0.00,S. Shepard WR - NYG ,5.00,L. Fournette RB - JAX ,18.40,G. Gano K - CAR ,11.00,Texans DEF ,0.00,74.58,Tilly,83.52
