Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Goff QB - LA ,9.80,M. Ingram RB - NO ,21.50,L. Miller RB - HOU ,14.30,J. Jones WR - ATL ,7.10,S. Diggs WR - MIN ,3.20,E. Engram TE - NYG ,0.90,M. Evans WR - TB ,9.20,S. Gostkowski K - NE ,19.00,Bills DEF ,-3.00,J. Stewart RB - CAR ,0.00,J. Maclin WR - BAL ,3.40,K. Rudolph TE - MIN ,5.80,C. Newton QB - CAR ,0.00,S. Vereen RB - NYG ,0.80,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,12.60,C. West RB - KC ,2.40,C. Brate TE - TB ,1.20,J. Winston QB - TB ,0.00,K. White WR - CHI ,0.00,M. Mack RB - IND ,0.00,J. Williams RB - GB ,9.50,Patriots DEF ,9.00,T. Sharpe WR - TEN ,0.00,-,-,82.00,Tilly,98.46
Dannye Van,3,D. Carr QB - LV ,13.48,L. McCoy RB - BUF ,24.60,A. Morris RB - DAL ,9.10,D. Hopkins WR - HOU ,13.60,T. Hill WR - KC ,8.40,D. Walker TE - TEN ,9.20,M. Crabtree WR - LV ,7.10,H. Butker K - KC ,9.00,Broncos DEF ,3.00,M. Jones WR - DET ,14.50,A. Jeffery WR - PHI ,14.70,J. Gordon WR - CLE ,0.00,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,3.60,K. Benjamin WR - BUF ,2.00,B. Bortles QB - JAX ,8.56,W. Snead WR - NO ,1.20,J. Allen RB - BAL ,1.70,O. Howard TE - TB ,11.20,D. Westbrook WR - JAX ,3.50,A. Jones RB - GB ,0.00,S. Perine RB - WAS ,18.60,A. Rosas K - NYG ,6.00,Vikings DEF ,8.00,A. Luck QB - IND ,0.00,D. Watson QB - HOU ,0.00,97.48,LeMar,83.76
Tilly,4,B. Roethlisberger QB - PIT ,28.96,A. Peterson RB - ARI ,3.90,K. Drake RB - MIA ,1.40,J. Nelson WR - GB ,2.40,B. Cooks WR - NE ,20.90,A. Hooper TE - ATL ,-0.10,T. Montgomery RB - GB ,0.00,W. Lutz K - NO ,16.00,Jaguars DEF ,25.00,J. Cook TE - LV ,3.60,A. Smith QB - KC ,7.90,K. Stills WR - MIA ,24.00,J. Garoppolo QB - SF ,0.00,D. Williams RB - MIA ,10.20,N. Agholor WR - PHI ,-0.20,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,1.10,J. Brissett QB - IND ,0.00,H. Henry TE - LAC ,2.50,C. Prosise RB - SEA ,0.00,R. Anderson WR - NYJ ,0.00,C. McCaffrey RB - CAR ,0.00,M. Trubisky QB - CHI ,14.46,A. Vinatieri K - IND ,0.00,J. Edelman WR - NE ,0.00,-,-,98.46,Will,82.00
LeMar,9,M. Stafford QB - DET ,18.26,D. Murray RB - TEN ,4.70,M. Gordon RB - LAC ,14.00,D. Thomas WR - DEN ,12.40,R. Cobb WR - GB ,3.40,J. Thomas TE - MIA ,3.00,J. McKinnon RB - MIN ,6.00,C. Boswell K - PIT ,18.00,Cardinals DEF ,4.00,M. Ryan QB - ATL ,17.00,R. Mathews RB ,0.00,E. Dickson TE - CAR ,0.00,B. Powell RB - NYJ ,0.00,B. Watson TE - BAL ,3.30,R. Matthews WR - TEN ,17.30,R. Burkhead RB - NE ,3.70,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.20,J. White RB - NE ,1.30,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,8.10,A. Collins RB - BAL ,13.10,M. Crosby K - GB ,0.00,Seahawks DEF ,2.00,-,-,-,-,83.76,Dannye Van,97.48
Quinten,6,P. Rivers QB - LAC ,18.04,M. Lynch RB - LV ,7.70,D. Henry RB - TEN ,3.20,R. Woods WR - LA ,8.10,A. Thielen WR - MIN ,18.30,J. Graham TE - SEA ,13.80,L. Fitzgerald WR - ARI ,15.10,C. Catanzaro K - NYJ ,0.00,Lions DEF ,9.00,D. Jackson WR - TB ,8.80,D. Woodhead RB - BAL ,2.30,E. Sanders WR - DEN ,1.50,A. Rodgers QB - GB ,0.00,M. Moore QB - MIA ,15.28,J. Doyle TE - IND ,0.00,E. Ebron TE - DET ,4.90,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.00,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,2.80,J. Brown WR - ARI ,1.80,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,0.00,W. Fuller WR - HOU ,0.00,-,-,-,-,93.24,Matthew,73.08
bob,1,D. Prescott QB - DAL ,-1.20,L. Bell RB - PIT ,10.30,T. Gurley RB - LA ,11.60,A. Brown WR - PIT ,32.40,M. Thomas WR - NO ,9.10,T. Kelce TE - KC ,8.90,A. Kamara RB - NO ,19.60,M. Prater K - DET ,11.00,Steelers DEF ,14.00,D. Amendola WR - NE ,12.60,D. Bryant WR - DAL ,6.30,C. Clay TE - BUF ,2.70,C. Beasley WR - DAL ,0.70,D. Freeman RB - ATL ,0.00,D. Parker WR - MIA ,2.60,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,9.80,J. Howard RB - CHI ,18.50,C. Davis WR - TEN ,2.70,Z. Jones WR - BUF ,6.80,K. Hunt RB - KC ,7.70,D. Foreman RB - HOU ,20.00,J. Smith-Schuster WR - PIT ,4.70,J. Elliott K - PHI ,1.00,-,-,-,-,115.70,Chris,47.50
the old man,5,T. Brady QB - NE ,25.60,D. Martin RB - TB ,4.40,O. Darkwa RB - NYG ,15.00,G. Tate WR - DET ,3.20,D. Baldwin WR - SEA ,10.00,R. Gronkowski TE - NE ,3.70,A. Abdullah RB - DET ,9.50,G. Zuerlein K - LA ,1.00,Ravens DEF ,26.00,J. McCown QB - NYJ ,0.00,F. Gore RB - IND ,0.00,T. Pryor WR - WAS ,0.00,T. Hilton WR - IND ,0.00,G. Bernard RB - CIN ,0.40,L. Murray RB - MIN ,21.60,M. Lee WR - JAX ,4.50,M. Bryant WR - PIT ,3.00,A. Seferian-Jenkins TE - NYJ ,0.00,D. Funchess WR - CAR ,0.00,M. Mariota QB - TEN ,14.74,A. Cooper WR - LV ,8.80,W. Gallman RB - NYG ,2.20,M. Williams WR - LAC ,3.80,Eagles DEF ,22.00,D. Cook RB - MIN ,0.00,-,-,98.40,Jeff,114.92
Jeff,7,R. Wilson QB - SEA ,30.92,I. Crowell RB - CLE ,1.80,T. Coleman RB - ATL ,11.80,A. Green WR - CIN ,11.00,K. Allen WR - LAC ,28.20,V. Davis TE - WAS ,6.70,J. Landry WR - MIA ,13.50,R. Succop K - TEN ,5.00,Chiefs DEF ,6.00,M. Forte RB - NYJ ,0.00,J. Charles RB - DEN ,0.70,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,21.60,T. Eifert TE - CIN ,0.00,P. Richardson WR - SEA ,5.60,O. Beckham WR - NYG ,0.00,T. Kroft TE - CIN ,7.20,J. McKissic RB - SEA ,5.30,C. Kupp WR - LA ,4.40,J. Conner RB - PIT ,1.20,D. Njoku TE - CLE ,1.30,T. Cohen RB - CHI ,11.90,C. Carson RB - SEA ,0.00,Saints DEF ,1.00,D. Johnson RB - ARI ,0.00,-,-,114.92,the old man,98.40
Chris,10,E. Manning QB - NYG ,8.70,C. Anderson RB - DEN ,9.60,J. Mixon RB - CIN ,4.90,D. Thompson WR - BUF ,3.60,T. Gabriel WR - ATL ,0.70,J. Witten TE - DAL ,0.70,C. Thompson RB - WAS ,9.30,M. Bryant K - ATL ,10.00,Rams DEF ,0.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,A. Dalton QB - CIN ,18.56,M. Lewis TE - JAX ,8.60,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,0.00,C. Hogan WR - NE ,0.00,B. Coleman WR - NO ,0.60,D. Johnson RB - CLE ,12.60,L. Treadwell WR - MIN ,1.00,J. Richard RB - LV ,2.80,G. Everett TE - LA ,0.80,E. McGuire RB - NYJ ,0.00,J. Tucker K - BAL ,11.00,Buccaneers DEF ,18.00,-,-,-,-,47.50,bob,115.70
Matthew,8,K. Cousins QB - WAS ,25.98,T. Riddick RB - DET ,3.90,L. Fournette RB - JAX ,11.80,T. Ginn WR - NO ,7.50,S. Shepard WR - NYG ,0.00,C. Fleener TE - NO ,9.10,D. Lewis RB - NE ,14.80,G. Gano K - CAR ,0.00,Panthers DEF ,0.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,5.70,E. Decker WR - TEN ,3.70,C. Ivory RB - JAX ,0.60,K. Wright WR - CHI ,2.50,M. Sanu WR - ATL ,9.70,Z. Ertz TE - PHI ,0.80,T. Lockett WR - SEA ,3.70,T. Yeldon RB - JAX ,2.00,J. Ajayi RB - PHI ,10.10,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,20.02,S. Hauschka K - BUF ,8.00,Texans DEF ,6.00,D. Sproles RB - PHI ,0.00,-,-,-,-,73.08,Quinten,93.24
