Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,C. Newton QB - CAR ,7.44,M. Ingram RB - NO ,17.00,M. Mack RB - IND ,6.60,J. Jones WR - ATL ,15.90,M. Evans WR - TB ,14.80,C. Brate TE - TB ,6.00,D. Adams WR - GB ,1.20,S. Gostkowski K - NE ,11.00,Bills DEF ,7.00,J. Stewart RB - CAR ,4.80,J. Maclin WR - BAL ,0.00,K. Rudolph TE - MIN ,4.30,J. Rodgers RB - TB ,1.10,S. Vereen RB - NYG ,0.60,L. Miller RB - HOU ,0.00,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,18.40,C. West RB - KC ,0.00,J. Winston QB - TB ,23.36,S. Diggs WR - MIN ,0.00,K. White WR - CHI ,0.00,J. Goff QB - LA ,18.70,E. Engram TE - NYG ,12.00,Patriots DEF ,5.00,T. Sharpe WR - TEN ,0.00,86.94,Jeff,60.14
Dannye Van,3,D. Carr QB - LV ,30.18,L. McCoy RB - BUF ,22.20,A. Jones RB - GB ,19.80,M. Crabtree WR - LV ,8.40,T. Hill WR - KC ,19.20,D. Walker TE - TEN ,4.30,S. Perine RB - WAS ,0.00,H. Butker K - KC ,14.00,Broncos DEF ,3.00,M. Jones WR - DET ,0.00,J. Kearse WR - NYJ ,8.90,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,3.70,M. Gillislee RB - NE ,3.10,D. Hopkins WR - HOU ,0.00,S. Watkins WR - LA ,4.20,K. Benjamin WR - BUF ,6.50,W. Snead WR - NO ,0.00,J. Allen RB - BAL ,4.90,P. Perkins RB - NYG ,0.00,R. Kelley RB - WAS ,3.00,O. Howard TE - TB ,21.80,D. Watson QB - HOU ,0.00,Redskins DEF ,4.00,-,-,121.08,Quinten,57.82
Tilly,5,A. Smith QB - KC ,25.68,A. Peterson RB - ARI ,3.30,T. Montgomery RB - GB ,1.50,J. Nelson WR - GB ,1.30,B. Cooks WR - NE ,12.50,H. Henry TE - LAC ,7.30,C. McCaffrey RB - CAR ,4.60,A. Vinatieri K - IND ,0.00,Jaguars DEF ,20.00,K. Britt WR - NE ,0.70,J. Cook TE - LV ,10.70,B. Roethlisberger QB - PIT ,16.66,K. Stills WR - MIA ,20.50,T. West RB - BAL ,0.00,N. Agholor WR - PHI ,10.50,T. Rawls RB - SEA ,3.20,T. Williams WR - LAC ,1.10,J. Brissett QB - IND ,11.10,A. Hooper TE - ATL ,0.60,C. Prosise RB - SEA ,0.00,C. Beathard QB - SF ,14.40,M. Trubisky QB - CHI ,4.58,D. Bailey K - DAL ,2.00,Giants DEF ,3.00,J. Edelman WR - NE ,0.00,76.18,LeMar,74.32
LeMar,10,M. Ryan QB - ATL ,17.02,J. McKinnon RB - MIN ,5.70,M. Gordon RB - LAC ,4.40,R. Matthews WR - TEN ,4.00,A. Hurns WR - JAX ,10.10,J. Thomas TE - MIA ,5.80,B. Powell RB - NYJ ,8.30,C. Boswell K - PIT ,17.00,Cardinals DEF ,2.00,M. Stafford QB - DET ,0.00,R. Mathews RB ,0.00,D. Thomas WR - DEN ,0.90,D. Murray RB - TEN ,7.60,R. Cobb WR - GB ,1.50,G. Olsen TE - CAR ,0.00,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,4.20,E. Lacy RB - SEA ,4.30,J. White RB - NE ,10.70,B. Perriman WR - BAL ,0.00,A. Humphries WR - TB ,-0.70,J. Doctson WR - WAS ,3.90,A. Collins RB - BAL ,3.00,Seahawks DEF ,7.00,-,-,74.32,Tilly,76.18
Quinten,6,P. Rivers QB - LAC ,15.32,M. Lynch RB - LV ,0.90,C. Hyde RB - SF ,8.80,L. Fitzgerald WR - ARI ,2.90,A. Thielen WR - MIN ,4.10,J. Doyle TE - IND ,4.40,D. Henry RB - TEN ,2.40,C. Catanzaro K - NYJ ,4.00,Cowboys DEF ,15.00,D. Jackson WR - TB ,7.30,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,11.10,E. Sanders WR - DEN ,0.00,A. Rodgers QB - GB ,0.00,R. Woods WR - LA ,6.30,E. Ebron TE - DET ,0.00,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,3.00,C. Sims RB - TB ,1.50,J. Brown WR - ARI ,0.60,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,5.68,W. Fuller WR - HOU ,0.00,Lions DEF ,0.00,-,-,57.82,Dannye Van,121.08
bob,1,D. Prescott QB - DAL ,29.96,T. Gurley RB - LA ,21.40,K. Hunt RB - KC ,11.70,A. Brown WR - PIT ,12.50,M. Thomas WR - NO ,8.20,T. Kelce TE - KC ,9.30,L. Bell RB - PIT ,19.20,J. Elliott K - PHI ,12.00,Steelers DEF ,9.00,D. Amendola WR - NE ,1.70,D. Bryant WR - DAL ,12.30,C. Clay TE - BUF ,0.00,C. Beasley WR - DAL ,2.40,B. Bortles QB - JAX ,16.30,D. Freeman RB - ATL ,9.00,D. Parker WR - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,2.80,J. Howard RB - CHI ,6.50,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,1.70,D. Foreman RB - HOU ,0.00,A. Kamara RB - NO ,10.70,J. Smith-Schuster WR - PIT ,9.90,-,-,133.26,Matthew,120.12
the old man,4,T. Brady QB - NE ,18.46,F. Gore RB - IND ,3.40,D. Martin RB - TB ,8.00,D. Baldwin WR - SEA ,15.20,T. Hilton WR - IND ,2.70,R. Gronkowski TE - NE ,5.10,O. Darkwa RB - NYG ,4.80,G. Zuerlein K - LA ,17.00,Ravens DEF ,2.00,G. Tate WR - DET ,0.00,T. Taylor QB - BUF ,20.02,T. Pryor WR - WAS ,1.40,M. Goodwin WR - SF ,8.00,G. Bernard RB - CIN ,0.70,L. Murray RB - MIN ,17.30,M. Bryant WR - PIT ,0.50,A. Seferian-Jenkins TE - NYJ ,8.10,A. Abdullah RB - DET ,0.00,D. Funchess WR - CAR ,4.10,M. Mariota QB - TEN ,8.92,A. Cooper WR - LV ,33.00,W. Gallman RB - NYG ,2.90,M. Williams WR - LAC ,0.00,Eagles DEF ,6.00,D. Cook RB - MIN ,0.00,76.66,Chris,49.28
Jeff,9,D. Brees QB - NO ,19.14,I. Crowell RB - CLE ,7.10,T. Coleman RB - ATL ,1.60,A. Green WR - CIN ,4.10,K. Allen WR - LAC ,4.10,B. Watson TE - BAL ,3.80,J. Landry WR - MIA ,15.30,B. Walsh K - SEA ,6.00,Chiefs DEF ,-1.00,M. Forte RB - NYJ ,8.20,J. Charles RB - DEN ,2.20,B. Marshall WR - NYG ,0.00,R. Wilson QB - SEA ,26.36,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,O. Beckham WR - NYG ,0.00,J. McKissic RB - SEA ,3.30,C. Kupp WR - LA ,11.10,J. Conner RB - PIT ,1.90,D. Kizer QB - CLE ,0.56,D. Njoku TE - CLE ,5.80,T. Cohen RB - CHI ,7.00,C. Carson RB - SEA ,0.00,R. Gould K - SF ,4.00,D. Johnson RB - ARI ,0.00,60.14,Will,86.94
Chris,8,C. Palmer QB - ARI ,2.88,C. Anderson RB - DEN ,6.10,J. Mixon RB - CIN ,6.80,P. Garcon WR - SF ,4.90,C. Hogan WR - NE ,7.10,J. Witten TE - DAL ,11.40,D. Johnson RB - CLE ,7.10,M. Bryant K - ATL ,1.00,Buccaneers DEF ,2.00,C. Johnson RB ,0.00,J. Cutler QB - MIA ,11.52,M. Lewis TE - JAX ,8.90,A. Gates TE - LAC ,0.40,E. Manning QB - NYG ,7.36,D. Thompson WR - BUF ,10.70,C. Thompson RB - WAS ,12.40,B. Coleman WR - NO ,9.10,T. Gabriel WR - ATL ,1.90,L. Treadwell WR - MIN ,2.80,J. Richard RB - LV ,7.60,G. Everett TE - LA ,0.00,E. McGuire RB - NYJ ,0.70,J. Tucker K - BAL ,12.00,Rams DEF ,17.00,-,-,49.28,the old man,76.66
Matthew,7,K. Cousins QB - WAS ,23.92,J. Ajayi RB - PHI ,7.70,E. Elliott RB - DAL ,39.90,E. Decker WR - TEN ,0.00,K. Wright WR - CHI ,0.00,Z. Ertz TE - PHI ,14.90,C. Ivory RB - JAX ,8.70,S. Hauschka K - BUF ,14.00,Panthers DEF ,11.00,Z. Miller TE - CHI ,2.90,L. Blount RB - PHI ,2.90,D. Lewis RB - NE ,8.20,T. Ginn WR - NO ,14.10,C. Fleener TE - NO ,2.20,M. Sanu WR - ATL ,6.50,T. Riddick RB - DET ,0.00,T. Lockett WR - SEA ,4.40,T. Yeldon RB - JAX ,19.70,C. Wentz QB - PHI ,31.02,S. Shepard WR - NYG ,0.00,L. Fournette RB - JAX ,0.00,G. Gano K - CAR ,3.00,Texans DEF ,0.00,D. Sproles RB - PHI ,0.00,-,-,120.12,bob,133.26
