Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,3.70,M. Ingram RB - NO ,11.90,L. Miller RB - HOU ,19.30,J. Jones WR - ATL ,7.40,M. Evans WR - TB ,6.00,C. Brate TE - TB ,6.40,S. Diggs WR - MIN ,2.60,S. Gostkowski K - NE ,13.00,Bills DEF ,15.00,J. Stewart RB - CAR ,9.40,J. Maclin WR - BAL ,11.30,K. Rudolph TE - MIN ,8.70,C. Newton QB - CAR ,12.56,J. Rodgers RB - TB ,-0.40,S. Vereen RB - NYG ,0.00,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,0.50,D. Adams WR - GB ,0.00,C. West RB - KC ,0.40,K. White WR - CHI ,0.00,J. Goff QB - LA ,0.00,E. Engram TE - NYG ,0.00,M. Mack RB - IND ,12.30,Patriots DEF ,9.00,T. Sharpe WR - TEN ,0.00,85.30,Chris,63.02
Dannye Van,3,D. Watson QB - HOU ,32.78,L. McCoy RB - BUF ,23.30,J. Allen RB - BAL ,5.70,K. Benjamin WR - BUF ,9.90,T. Hill WR - KC ,1.80,O. Howard TE - TB ,1.60,M. Crabtree WR - LV ,8.30,H. Butker K - KC ,19.00,Vikings DEF ,8.00,D. Walker TE - TEN ,0.00,M. Jones WR - DET ,12.80,J. Kearse WR - NYJ ,1.40,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,14.20,M. Gillislee RB - NE ,3.40,D. Hopkins WR - HOU ,28.40,S. Watkins WR - LA ,0.00,D. Carr QB - LV ,12.52,W. Snead WR - NO ,0.00,P. Perkins RB - NYG ,0.00,R. Kelley RB - WAS ,7.90,A. Jones RB - GB ,0.00,S. Perine RB - WAS ,0.00,Broncos DEF ,5.00,-,-,110.38,the old man,101.52
Tilly,6,A. Smith QB - KC ,13.38,T. Rawls RB - SEA ,-0.10,C. McCaffrey RB - CAR ,5.20,K. Stills WR - MIA ,6.50,B. Cooks WR - NE ,2.60,J. Cook TE - LV ,5.70,N. Agholor WR - PHI ,2.60,A. Vinatieri K - IND ,11.00,Dolphins DEF ,-1.00,J. Nelson WR - GB ,0.00,K. Britt WR - NE ,0.00,B. Roethlisberger QB - PIT ,14.48,A. Peterson RB - ARI ,0.00,T. West RB - BAL ,0.00,T. Montgomery RB - GB ,0.00,T. Williams WR - LAC ,2.40,J. Brissett QB - IND ,15.92,H. Henry TE - LAC ,1.10,A. Hooper TE - ATL ,10.70,C. Prosise RB - SEA ,0.00,C. Beathard QB - SF ,10.68,M. Trubisky QB - CHI ,9.86,D. Bailey K - DAL ,0.00,Jaguars DEF ,0.00,J. Edelman WR - NE ,0.00,45.88,bob,80.32
LeMar,10,M. Ryan QB - ATL ,15.86,J. McKinnon RB - MIN ,20.20,M. Gordon RB - LAC ,19.90,D. Thomas WR - DEN ,6.60,A. Hurns WR - JAX ,0.00,J. Thomas TE - MIA ,0.20,B. Powell RB - NYJ ,6.10,C. Boswell K - PIT ,8.00,Cardinals DEF ,0.00,M. Stafford QB - DET ,18.02,R. Mathews RB ,0.00,D. Murray RB - TEN ,0.00,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,0.00,R. Matthews WR - TEN ,0.00,M. Wheaton WR - CHI ,0.00,T. Austin WR - LA ,0.00,E. Lacy RB - SEA ,0.00,J. White RB - NE ,8.70,B. Perriman WR - BAL ,0.00,A. Humphries WR - TB ,2.60,J. Doctson WR - WAS ,6.10,A. Collins RB - BAL ,14.30,Seahawks DEF ,13.00,-,-,76.86,Quinten,75.58
Quinten,5,P. Rivers QB - LAC ,10.48,C. Hyde RB - SF ,4.70,C. Sims RB - TB ,0.00,D. Jackson WR - TB ,3.70,A. Thielen WR - MIN ,15.80,J. Graham TE - SEA ,15.90,D. Moncrief WR - IND ,0.00,C. Catanzaro K - NYJ ,8.00,Cowboys DEF ,17.00,D. Woodhead RB - BAL ,0.00,E. Sanders WR - DEN ,0.00,M. Lynch RB - LV ,0.00,L. Fitzgerald WR - ARI ,0.00,A. Rodgers QB - GB ,0.00,R. Woods WR - LA ,0.00,J. Doyle TE - IND ,18.10,E. Ebron TE - DET ,5.80,A. Robinson WR - JAX ,0.00,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,0.30,T. Siemian QB - DEN ,7.92,W. Fuller WR - HOU ,24.50,D. Henry RB - TEN ,0.00,Lions DEF ,5.00,-,-,75.58,LeMar,76.86
bob,1,D. Prescott QB - DAL ,7.32,L. Bell RB - PIT ,12.10,K. Hunt RB - KC ,6.80,A. Brown WR - PIT ,7.00,M. Thomas WR - NO ,7.70,T. Kelce TE - KC ,19.30,D. Freeman RB - ATL ,6.10,J. Elliott K - PHI ,9.00,Steelers DEF ,5.00,D. Amendola WR - NE ,1.40,D. Bryant WR - DAL ,3.90,C. Clay TE - BUF ,0.00,C. Beasley WR - DAL ,0.80,B. Bortles QB - JAX ,0.00,D. Parker WR - MIA ,0.00,T. Gurley RB - LA ,0.00,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,11.40,J. Howard RB - CHI ,12.10,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,3.20,D. Foreman RB - HOU ,0.00,A. Kamara RB - NO ,13.60,J. Smith-Schuster WR - PIT ,25.30,-,-,80.32,Tilly,45.88
the old man,4,T. Brady QB - NE ,17.52,F. Gore RB - IND ,10.10,D. Martin RB - TB ,7.50,D. Baldwin WR - SEA ,5.40,T. Hilton WR - IND ,1.50,R. Gronkowski TE - NE ,11.70,A. Abdullah RB - DET ,3.80,K. Forbath K - MIN ,15.00,Ravens DEF ,29.00,G. Tate WR - DET ,6.60,T. Taylor QB - BUF ,16.70,T. Pryor WR - WAS ,0.00,G. Bernard RB - CIN ,0.50,L. Murray RB - MIN ,4.70,M. Bryant WR - PIT ,0.00,A. Seferian-Jenkins TE - NYJ ,2.80,O. Darkwa RB - NYG ,0.00,D. Funchess WR - CAR ,1.10,M. Mariota QB - TEN ,0.00,A. Cooper WR - LV ,5.20,W. Gallman RB - NYG ,0.00,M. Williams WR - LAC ,0.70,G. Zuerlein K - LA ,0.00,Eagles DEF ,18.00,D. Cook RB - MIN ,0.00,101.52,Dannye Van,110.38
Jeff,8,D. Brees QB - NO ,11.76,I. Crowell RB - CLE ,15.80,T. Coleman RB - ATL ,10.40,A. Green WR - CIN ,8.70,K. Allen WR - LAC ,6.10,T. Kroft TE - CIN ,4.60,J. Landry WR - MIA ,3.30,B. Walsh K - SEA ,11.00,Chiefs DEF ,20.00,M. Forte RB - NYJ ,5.20,J. Charles RB - DEN ,2.40,V. Davis TE - WAS ,2.00,B. Marshall WR - NYG ,0.00,B. Watson TE - BAL ,6.60,R. Wilson QB - SEA ,35.08,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,O. Beckham WR - NYG ,0.00,J. McKissic RB - SEA ,1.20,C. Kupp WR - LA ,0.00,J. Conner RB - PIT ,0.10,D. Njoku TE - CLE ,1.90,T. Cohen RB - CHI ,6.80,C. Carson RB - SEA ,0.00,D. Johnson RB - ARI ,0.00,91.66,Matthew,77.72
Chris,9,A. Dalton QB - CIN ,18.72,C. Thompson RB - WAS ,7.40,J. Richard RB - LV ,3.60,C. Hogan WR - NE ,6.00,T. Gabriel WR - ATL ,-0.30,J. Witten TE - DAL ,3.10,C. Anderson RB - DEN ,8.50,M. Bryant K - ATL ,13.00,Buccaneers DEF ,3.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,1.70,M. Lewis TE - JAX ,0.00,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,2.50,E. Manning QB - NYG ,0.00,D. Thompson WR - BUF ,0.50,B. Coleman WR - NO ,5.40,D. Johnson RB - CLE ,4.30,L. Treadwell WR - MIN ,2.10,G. Everett TE - LA ,0.00,E. McGuire RB - NYJ ,0.20,J. Mixon RB - CIN ,8.90,J. Tucker K - BAL ,12.00,Rams DEF ,0.00,-,-,63.02,Will,85.30
Matthew,7,K. Cousins QB - WAS ,10.52,J. Ajayi RB - PHI ,4.10,E. Elliott RB - DAL ,25.40,E. Decker WR - TEN ,0.00,K. Wright WR - CHI ,2.30,Z. Ertz TE - PHI ,9.40,C. Ivory RB - JAX ,0.00,S. Hauschka K - BUF ,10.00,Panthers DEF ,16.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,11.20,D. Lewis RB - NE ,5.40,T. Ginn WR - NO ,6.80,C. Fleener TE - NO ,-0.10,M. Sanu WR - ATL ,13.40,T. Riddick RB - DET ,4.50,T. Lockett WR - SEA ,11.90,T. Yeldon RB - JAX ,0.00,C. Wentz QB - PHI ,17.14,S. Shepard WR - NYG ,0.00,L. Fournette RB - JAX ,0.00,G. Gano K - CAR ,5.00,Texans DEF ,0.00,D. Sproles RB - PHI ,0.00,-,-,77.72,Jeff,91.66
