Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,21.54,M. Ingram RB - NO ,29.10,A. Morris RB - DAL ,5.60,J. Jones WR - ATL ,17.10,M. Evans WR - TB ,27.00,C. Brate TE - TB ,10.30,S. Diggs WR - MIN ,9.20,J. Lambo K - LAC ,13.00,Panthers DEF ,10.00,J. Maclin WR - KC ,0.00,V. Green TE - DEN ,3.70,B. Powell RB - NYJ ,5.10,C. Newton QB - CAR ,14.60,C. Palmer QB - ARI ,0.00,T. Benjamin WR - LAC ,0.50,L. Miller RB - HOU ,0.00,J. Reed TE - WAS ,0.00,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,10.10,C. Fiedorowicz TE - HOU ,0.00,S. Coates WR - PIT ,0.00,K. Dixon RB - BAL ,1.30,S. Gostkowski K - NE ,0.00,Titans DEF ,0.00,-,-,-,-,142.84,Matthew,85.16
Dannye Van,7,A. Luck QB - IND ,12.74,J. Stewart RB - CAR ,4.20,C. West RB - KC ,7.40,M. Crabtree WR - LV ,2.70,K. Benjamin WR - CAR ,7.60,K. Rudolph TE - MIN ,6.10,J. Matthews WR - PHI ,8.80,B. McManus K - DEN ,10.00,Broncos DEF ,1.00,D. Walker TE - TEN ,10.20,D. Martin RB - TB ,0.00,A. Jeffery WR - CHI ,0.00,G. Bernard RB - CIN ,0.00,D. Hopkins WR - HOU ,0.00,L. Murray RB - LV ,30.70,D. Carr QB - LV ,7.66,J. Hill RB - CIN ,0.00,J. Langford RB - CHI ,0.00,D. Green-Beckham WR - PHI ,0.00,T. Sharpe WR - TEN ,5.80,P. Perkins RB - NYG ,4.70,T. Boyd WR - CIN ,0.00,R. Kelley RB - WAS ,0.00,C. Boswell K - PIT ,2.00,K. White WR - CHI ,0.00,-,-,60.54,Chris,40.70
Tilly,8,B. Roethlisberger QB - PIT ,18.86,T. West RB - BAL ,2.70,C. Prosise RB - SEA ,1.50,J. Nelson WR - GB ,15.40,B. Cooks WR - NO ,6.60,L. Kendricks TE - LA ,9.00,C. Beasley WR - DAL ,11.60,A. Vinatieri K - IND ,7.00,Packers DEF ,5.00,M. Bennett TE - NE ,0.00,J. Edelman WR - NE ,0.00,A. Dalton QB - CIN ,0.00,C. Kaepernick QB - SF ,22.22,M. Asiata RB - MIN ,4.10,D. Williams RB - PIT ,0.10,V. Cruz WR - NYG ,4.60,B. Osweiler QB - HOU ,0.00,R. Woods WR - BUF ,16.20,J. McKinnon RB - MIN ,0.80,T. Montgomery RB - GB ,9.10,T. Rawls RB - SEA ,0.00,H. Henry TE - LAC ,0.00,R. Aguayo K - TB ,2.00,Colts DEF ,11.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,77.66,Jeff,92.42
LeMar,3,M. Ryan QB - ATL ,27.76,D. Murray RB - TEN ,14.00,M. Gordon RB - LAC ,32.10,R. Cobb WR - GB ,7.40,R. Matthews WR - TEN ,18.30,G. Olsen TE - CAR ,11.20,R. Jennings RB - NYG ,3.90,R. Succop K - TEN ,5.00,Seahawks DEF ,7.00,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,16.20,M. Stafford QB - DET ,14.76,R. Mathews RB - PHI ,7.50,D. Thomas WR - DEN ,5.60,J. Thomas TE - JAX ,2.10,T. Smith WR - SF ,1.80,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,13.50,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,1.70,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,0.00,Cardinals DEF ,0.00,-,-,-,-,126.66,the old man,100.02
Quinten,6,A. Rodgers QB - GB ,26.18,C. Hyde RB - SF ,0.00,D. Henry RB - TEN ,0.00,A. Robinson WR - JAX ,13.60,D. Moncrief WR - IND ,11.50,J. Graham TE - SEA ,22.30,E. Sanders WR - DEN ,4.70,C. Santos K - KC ,15.00,Lions DEF ,3.00,D. Jackson WR - WAS ,0.00,J. Cook TE - GB ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,18.70,K. Juszczyk RB - BAL ,0.20,E. Ebron TE - DET ,9.20,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,0.00,J. Heuerman TE - DEN ,0.00,T. Yeldon RB - JAX ,10.50,W. Fuller WR - HOU ,0.00,M. Prater K - DET ,14.00,C. Barth K - CHI ,0.00,C. Catanzaro K - ARI ,0.00,Patriots DEF ,0.00,-,-,-,-,96.28,bob,91.58
bob,5,D. Prescott QB - DAL ,23.88,L. Bell RB - PIT ,7.00,D. Freeman RB - ATL ,10.50,D. Bryant WR - DAL ,1.90,A. Brown WR - PIT ,14.50,T. Kelce TE - KC ,5.80,D. Booker RB - DEN ,3.00,C. Sturgis K - PHI ,11.00,Chargers DEF ,14.00,G. Barnidge TE - CLE ,2.30,L. Blount RB - NE ,0.00,B. LaFell WR - CIN ,0.00,B. Marshall WR - NYJ ,4.60,M. Jones WR - DET ,0.50,R. Tannehill QB - MIA ,9.66,B. Bortles QB - JAX ,21.48,D. Parker WR - MIA ,0.80,J. Crowder WR - WAS ,0.00,D. Funchess WR - CAR ,2.80,T. Gurley RB - LA ,7.40,E. Rogers WR - PIT ,10.30,J. Howard RB - CHI ,0.00,M. Thomas WR - NO ,19.30,Ravens DEF ,11.00,E. Decker WR - NYJ ,0.00,-,-,91.58,Quinten,96.28
the old man,4,M. Mariota QB - TEN ,25.92,L. McCoy RB - BUF ,12.00,F. Gore RB - IND ,19.10,D. Baldwin WR - SEA ,8.90,T. Hilton WR - IND ,8.20,C. Walford TE - LV ,1.30,A. Cooper WR - LV ,5.60,M. Bryant K - ATL ,15.00,Eagles DEF ,4.00,R. Gronkowski TE - NE ,0.00,G. Tate WR - DET ,14.00,T. Taylor QB - BUF ,25.86,T. Brady QB - NE ,0.00,L. Fitzgerald WR - ARI ,0.00,T. Pryor WR - CLE ,10.70,R. Turbin RB - IND ,2.30,T. Austin WR - LA ,1.80,M. Gillislee RB - BUF ,9.60,J. White RB - NE ,0.00,T. Siemian QB - DEN ,15.32,S. Shepard WR - NYG ,11.00,D. Washington RB - LV ,3.50,D. Hopkins K - WAS ,0.00,Bills DEF ,3.00,A. Abdullah RB - DET ,0.00,-,-,100.02,LeMar,126.66
Jeff,1,D. Brees QB - NO ,24.72,C. Michael RB - GB ,6.10,I. Crowell RB - CLE ,6.70,J. Landry WR - MIA ,3.30,O. Beckham WR - NYG ,16.60,J. James TE - PIT ,1.30,M. Forte RB - NYJ ,15.70,S. Hauschka K - SEA ,7.00,Chiefs DEF ,11.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,10.90,S. Bradford QB - MIN ,15.42,A. Green WR - CIN ,0.00,M. Floyd WR - NE ,0.00,R. Wilson QB - SEA ,26.28,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,T. Coleman RB - ATL ,0.00,M. Jones RB - WAS ,0.00,D. Johnson RB - ARI ,0.00,T. Williams WR - LAC ,12.50,K. Drake RB - MIA ,0.60,C. Coleman WR - CLE ,4.10,Rams DEF ,9.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,92.42,Tilly,77.66
Chris,10,A. Smith QB - KC ,0.00,D. Johnson RB - CLE ,4.60,--empty--,-,J. Kearse WR - SEA ,3.60,W. Snead WR - NO ,3.60,J. Witten TE - DAL ,19.40,Q. Enunwa WR - NYJ ,2.50,B. Walsh K ,4.00,Vikings DEF ,3.00,P. Garcon WR - WAS ,0.00,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,21.88,D. Sproles RB - PHI ,7.10,M. Wallace WR - BAL ,18.40,C. Hogan WR - NE ,0.00,D. Allen TE - IND ,1.50,C. Anderson RB - DEN ,0.00,R. Rodgers TE - GB ,6.40,D. Williams RB - MIA ,4.90,L. Treadwell WR - MIN ,1.50,A. Janovich RB - DEN ,0.00,J. Richard RB - LV ,7.20,J. Tucker K - BAL ,7.00,Steelers DEF ,5.00,-,-,40.70,Dannye Van,60.54
Matthew,9,C. Wentz QB - PHI ,10.16,J. Ajayi RB - MIA ,19.00,E. Elliott RB - DAL ,21.70,M. Sanu WR - ATL ,7.40,P. Dorsett WR - IND ,2.80,Z. Ertz TE - PHI ,9.70,K. Wright WR - TEN ,6.40,M. Crosby K - GB ,8.00,Texans DEF ,0.00,J. Flacco QB - BAL ,14.84,E. Royal WR - CHI ,0.00,Z. Miller TE - CHI ,0.00,R. Fitzpatrick QB - NYJ ,10.36,C. Ivory RB - JAX ,8.70,K. Cousins QB - WAS ,0.00,C. Fleener TE - NO ,4.20,L. Green TE - PIT ,0.00,T. Riddick RB - DET ,7.60,J. Doyle TE - IND ,6.10,T. Lockett WR - SEA ,3.00,N. Agholor WR - PHI ,4.10,J. Allen RB - BAL ,0.00,N. Novak K - HOU ,0.00,Redskins DEF ,0.00,-,-,-,-,85.16,Will,142.84
