Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,C. Newton QB - CAR ,21.16,L. Blount RB - NE ,11.00,L. Miller RB - HOU ,11.70,J. Jones WR - ATL ,12.60,A. Brown WR - PIT ,24.60,J. Reed TE - WAS ,6.40,S. Watkins WR - BUF ,4.30,S. Gostkowski K - NE ,13.00,Panthers DEF ,8.00,J. Maclin WR - KC ,12.20,V. Green TE - DEN ,2.80,B. Powell RB - NYJ ,4.80,C. Palmer QB - ARI ,18.94,K. Aiken WR - BAL ,1.40,T. Benjamin WR - LAC ,3.20,A. Morris RB - DAL ,3.50,J. Gordon WR - CLE ,0.00,A. Ellington RB - ARI ,0.80,C. Thompson RB - WAS ,9.90,D. Adams WR - GB ,11.00,J. McKinnon RB - MIN ,0.90,S. Diggs WR - MIN ,10.20,K. Dixon RB - BAL ,0.00,Falcons DEF ,1.00,112.76,Dannye Van,99.86
Dannye Van,6,D. Carr QB - LV ,22.36,L. Murray RB - LV ,13.20,J. Hill RB - CIN ,9.10,A. Jeffery WR - CHI ,10.50,D. Hopkins WR - HOU ,11.40,D. Walker TE - TEN ,4.20,K. Benjamin WR - CAR ,15.10,C. Boswell K - PIT ,8.00,Broncos DEF ,6.00,J. Stewart RB - CAR ,6.40,M. Crabtree WR - LV ,10.70,A. Foster RB - MIA ,10.00,A. Luck QB - IND ,35.50,G. Bernard RB - CIN ,3.00,J. Landry WR - MIA ,5.90,J. Matthews WR - PHI ,17.40,J. Langford RB - CHI ,12.30,K. Williams RB - PIT ,0.00,M. Williams TE - BAL ,0.00,D. Green-Beckham WR - PHI ,1.40,K. White WR - CHI ,3.40,T. Sharpe WR - TEN ,7.60,P. Perkins RB - NYG ,0.00,T. Boyd WR - CIN ,2.40,99.86,Will,112.76
Tilly,2,B. Roethlisberger QB - PIT ,21.80,D. Williams RB - PIT ,29.10,A. Peterson RB - MIN ,3.10,J. Nelson WR - GB ,9.20,B. Cooks WR - NO ,27.40,V. McDonald TE - SF ,7.40,T. Rawls RB - SEA ,5.80,A. Vinatieri K - IND ,11.00,Chiefs DEF ,1.00,C. Johnson RB - ARI ,0.20,M. Bennett TE - NE ,1.40,J. Edelman WR - NE ,8.20,J. Starks RB - GB ,1.30,A. Dalton QB - CIN ,17.34,V. Jackson WR - TB ,1.80,V. Cruz WR - NYG ,9.40,B. Osweiler QB - HOU ,16.64,J. Winston QB - TB ,25.54,T. Montgomery RB - GB ,0.00,P. Lynch QB - DEN ,0.00,H. Henry TE - LAC ,2.00,C. Prosise RB - SEA ,1.10,R. Aguayo K - TB ,7.00,Colts DEF ,-3.00,115.80,Matthew,75.92
LeMar,9,M. Ryan QB - ATL ,24.36,D. Murray RB - TEN ,17.70,K. Davis RB - KC ,0.00,D. Thomas WR - DEN ,4.80,M. Wheaton WR - PIT ,0.00,G. Olsen TE - CAR ,7.30,E. Lacy RB - GB ,7.80,D. Carpenter K - BUF ,1.00,Cardinals DEF ,6.00,T. Hightower RB - NO ,1.00,R. Jennings RB - NYG ,7.80,M. Stafford QB - DET ,26.10,R. Mathews RB - PHI ,13.70,J. Thomas TE - JAX ,12.40,R. Cobb WR - GB ,6.80,T. Smith WR - SF ,1.30,A. Gates TE - LAC ,2.00,R. Matthews WR - TEN ,2.60,A. Seferian-Jenkins TE - NYJ ,9.00,A. Hurns WR - JAX ,7.50,M. Gordon RB - LAC ,17.70,C. Coleman WR - CLE ,6.90,J. Goff QB - LA ,0.00,Seahawks DEF ,9.00,68.96,Chris,132.62
Quinten,5,A. Rodgers QB - GB ,23.56,S. Vereen RB - NYG ,6.10,C. Hyde RB - SF ,21.30,D. Jackson WR - WAS ,10.20,A. Robinson WR - JAX ,7.20,E. Ebron TE - DET ,10.60,E. Sanders WR - DEN ,4.90,C. Catanzaro K - ARI ,3.00,Patriots DEF ,3.00,J. Cook TE - GB ,0.70,J. Graham TE - SEA ,1.10,P. Rivers QB - LAC ,14.62,D. Moncrief WR - IND ,12.40,C. Sims RB - TB ,10.10,J. Brown WR - ARI ,0.80,T. Yeldon RB - JAX ,12.90,W. Fuller WR - HOU ,16.70,D. Henry RB - TEN ,4.40,C. Santos K - KC ,9.00,Lions DEF ,0.00,-,-,-,-,-,-,-,-,89.86,Jeff,82.22
bob,10,B. Bortles QB - JAX ,15.00,D. Freeman RB - ATL ,4.00,T. Gurley RB - LA ,4.20,D. Bryant WR - DAL ,0.80,B. Marshall WR - NYJ ,3.20,G. Barnidge TE - CLE ,0.00,M. Evans WR - TB ,15.90,G. Gano K - CAR ,8.00,Giants DEF ,1.00,E. Decker WR - NYJ ,9.70,C. Clay TE - BUF ,4.00,M. Ingram RB - NO ,8.70,D. Lewis RB - NE ,0.00,T. Romo QB - DAL ,0.00,M. Jones WR - DET ,8.50,R. Tannehill QB - MIA ,15.14,L. Bell RB - PIT ,0.00,T. Kelce TE - KC ,7.40,D. Parker WR - MIA ,0.00,D. Funchess WR - CAR ,0.90,D. Booker RB - DEN ,-1.20,D. Prescott QB - DAL ,10.28,M. Thomas WR - NO ,5.80,Bears DEF ,4.00,52.10,the old man,94.74
the old man,4,T. Taylor QB - BUF ,5.54,L. McCoy RB - BUF ,13.00,F. Gore RB - IND ,7.80,D. Baldwin WR - SEA ,15.20,A. Cooper WR - LV ,15.70,W. Tye TE - NYG ,1.60,T. Hilton WR - IND ,7.90,D. Bailey K - DAL ,17.00,Eagles DEF ,11.00,J. Forsett RB - DEN ,5.60,R. Gronkowski TE - NE ,0.00,G. Tate WR - DET ,4.30,T. Brady QB - NE ,0.00,L. Fitzgerald WR - ARI ,20.10,T. Ginn WR - CAR ,2.50,R. Turbin RB - IND ,1.90,T. Austin WR - LA ,1.50,J. White RB - NE ,4.40,A. Abdullah RB - DET ,18.00,M. Mariota QB - TEN ,16.74,M. Davis RB - SF ,0.10,S. Shepard WR - NYG ,10.30,D. Washington RB - LV ,2.40,Bengals DEF ,3.00,94.74,bob,52.10
Jeff,7,R. Wilson QB - SEA ,11.92,M. Forte RB - NYJ ,15.50,C. Michael RB - GB ,7.10,A. Green WR - CIN ,24.00,O. Beckham WR - NYG ,7.30,J. James TE - PIT ,3.10,K. Allen WR - LAC ,6.30,S. Hauschka K - SEA ,6.00,Rams DEF ,1.00,J. Charles RB - KC ,0.00,D. Woodhead RB - LAC ,18.00,K. Britt WR - LA ,6.70,D. Brees QB - NO ,31.42,M. Floyd WR - NE ,6.10,D. Martin RB - TB ,9.60,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,25.90,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,13.80,T. Coleman RB - ATL ,11.70,M. Jones RB - WAS ,3.30,D. Johnson RB - ARI ,19.20,K. Drake RB - MIA ,0.00,J. Doctson WR - WAS ,0.90,82.22,Quinten,89.86
Chris,1,A. Smith QB - KC ,28.02,C. Anderson RB - DEN ,25.90,D. Johnson RB - CLE ,5.00,P. Garcon WR - WAS ,5.10,W. Snead WR - NO ,23.20,Z. Ertz TE - PHI ,5.80,D. Sproles RB - PHI ,3.60,B. Walsh K ,15.00,Vikings DEF ,21.00,D. Amendola WR - NE ,4.80,J. Witten TE - DAL ,6.60,E. Manning QB - NYG ,18.28,B. Bolden RB - NE ,0.40,J. Kearse WR - SEA ,5.70,D. Allen TE - IND ,13.30,C. Beasley WR - DAL ,6.50,K. Barner RB - PHI ,4.20,A. Blue RB - HOU ,0.40,C. West RB - KC ,2.30,R. Rodgers TE - GB ,2.20,M. Brown RB - LA ,1.30,L. Treadwell WR - MIN ,0.00,J. Tucker K - BAL ,9.00,Steelers DEF ,5.00,132.62,LeMar,68.96
Matthew,8,C. Wentz QB - PHI ,19.22,J. Ajayi RB - MIA ,0.00,E. Elliott RB - DAL ,11.20,P. Dorsett WR - IND ,9.40,T. Lockett WR - SEA ,1.70,Z. Miller TE - CHI ,1.40,M. Sanu WR - ATL ,16.00,M. Crosby K - GB ,9.00,Texans DEF ,8.00,J. Flacco QB - BAL ,12.02,S. Smith WR - BAL ,1.90,R. Fitzpatrick QB - NYJ ,15.06,J. Jones WR ,0.00,C. Ivory RB - JAX ,0.00,K. Cousins QB - WAS ,9.96,C. Fleener TE - NO ,0.60,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,0.00,T. Riddick RB - DET ,22.80,J. Abbrederis WR ,0.80,J. Allen RB - BAL ,0.00,J. Adams TE - NYG ,0.00,N. Novak K - HOU ,11.00,Redskins DEF ,-1.00,75.92,Tilly,115.80
