Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,1,C. Newton QB - CAR ,26.98,L. Blount RB - NE ,13.00,L. Miller RB - HOU ,29.80,J. Jones WR - ATL ,19.90,A. Brown WR - PIT ,4.50,J. Reed TE - WAS ,0.00,J. Maclin WR - KC ,4.90,S. Gostkowski K - NE ,9.00,Titans DEF ,6.00,B. Hoyer QB - CHI ,12.08,V. Green TE - DEN ,2.10,B. Powell RB - NYJ ,2.20,C. Palmer QB - ARI ,12.42,T. Benjamin WR - LAC ,-0.30,A. Morris RB - DAL ,0.20,F. Whittaker RB - CAR ,0.30,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,3.40,C. Brate TE - TB ,0.00,J. Winston QB - TB ,0.00,S. Coates WR - PIT ,0.00,S. Diggs WR - MIN ,0.00,K. Dixon RB - BAL ,1.20,Panthers DEF ,-1.00,-,-,114.08,the old man,132.14
Dannye Van,10,A. Luck QB - IND ,23.38,J. Stewart RB - CAR ,20.50,A. Foster RB - MIA ,1.50,M. Crabtree WR - LV ,1.00,T. Sharpe WR - TEN ,0.10,D. Walker TE - TEN ,2.10,D. Hopkins WR - HOU ,7.10,C. Boswell K - PIT ,1.00,Broncos DEF ,7.00,K. Rudolph TE - MIN ,0.00,D. Martin RB - TB ,0.00,A. Jeffery WR - CHI ,9.30,G. Bernard RB - CIN ,9.40,L. Murray RB - LV ,0.00,K. Benjamin WR - CAR ,8.60,D. Carr QB - LV ,9.80,J. Matthews WR - PHI ,7.50,J. Hill RB - CIN ,4.10,J. Langford RB - CHI ,0.00,D. Green-Beckham WR - PHI ,2.30,P. Perkins RB - NYG ,2.60,T. Boyd WR - CIN ,7.90,D. Washington RB - DET ,0.00,K. White WR - CHI ,0.00,-,-,63.68,Tilly,82.06
Tilly,4,B. Roethlisberger QB - PIT ,9.56,D. Williams RB - PIT ,1.00,T. West RB - BAL ,24.30,J. Nelson WR - GB ,4.80,C. Beasley WR - DAL ,17.80,M. Bennett TE - NE ,4.80,J. Edelman WR - NE ,3.80,A. Vinatieri K - IND ,11.00,Packers DEF ,5.00,A. Dalton QB - CIN ,21.86,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,V. Cruz WR - NYG ,3.10,B. Osweiler QB - HOU ,16.36,R. Woods WR - BUF ,11.00,B. Cooks WR - NO ,23.50,J. McKinnon RB - MIN ,0.00,C. Uzomah TE - CIN ,0.60,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,0.00,H. Henry TE - LAC ,14.30,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,0.00,Colts DEF ,3.00,-,-,82.06,Dannye Van,63.68
LeMar,5,M. Stafford QB - DET ,28.20,R. Mathews RB - PHI ,6.00,D. Murray RB - TEN ,12.50,R. Cobb WR - GB ,11.30,R. Matthews WR - TEN ,13.00,G. Olsen TE - CAR ,9.40,M. Gordon RB - LAC ,9.40,M. Bryant K - ATL ,6.00,Cardinals DEF ,12.00,M. Ryan QB - ATL ,21.60,T. Hightower RB - NO ,0.00,R. Jennings RB - NYG ,3.50,D. Thomas WR - DEN ,1.50,J. Thomas TE - JAX ,2.80,T. Smith WR - SF ,13.60,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,1.60,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,7.10,K. Davis RB - KC ,0.00,A. Seferian-Jenkins TE - NYJ ,0.00,A. Hurns WR - JAX ,7.40,J. Goff QB - LA ,0.00,Seahawks DEF ,8.00,-,-,107.80,Matthew,80.26
Quinten,7,A. Rodgers QB - GB ,12.46,K. Juszczyk RB - BAL ,2.50,C. Hyde RB - SF ,5.20,D. Jackson WR - WAS ,5.50,W. Fuller WR - HOU ,0.00,E. Ebron TE - DET ,0.00,E. Sanders WR - DEN ,4.00,C. Catanzaro K - ARI ,4.00,Patriots DEF ,5.00,J. Cook TE - GB ,0.00,J. Graham TE - SEA ,8.90,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,11.12,A. Robinson WR - JAX ,4.90,D. Moncrief WR - IND ,0.00,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,5.40,J. Heuerman TE - DEN ,0.00,T. Yeldon RB - JAX ,2.60,D. Henry RB - TEN ,2.70,C. Santos K - KC ,8.00,Lions DEF ,2.00,-,-,-,-,-,-,38.66,Chris,62.52
bob,6,D. Prescott QB - DAL ,18.48,L. Bell RB - PIT ,12.80,J. Howard RB - CHI ,10.00,B. Marshall WR - NYJ ,7.00,M. Jones WR - DET ,7.30,T. Kelce TE - KC ,3.20,D. Freeman RB - ATL ,5.00,G. Gano K - CAR ,6.00,Ravens DEF ,7.00,G. Barnidge TE - CLE ,5.90,D. Bryant WR - DAL ,0.00,E. Decker WR - NYJ ,0.00,M. Ingram RB - NO ,6.00,R. Tannehill QB - MIA ,10.38,M. Evans WR - TB ,0.00,B. Bortles QB - JAX ,10.94,C. Artis-Payne RB - CAR ,0.00,D. Parker WR - MIA ,2.80,D. Funchess WR - CAR ,10.80,T. Gurley RB - LA ,9.70,E. Rogers WR - PIT ,3.50,D. Booker RB - DEN ,5.30,M. Thomas WR - NO ,13.80,Jets DEF ,-1.00,-,-,76.78,Jeff,122.40
the old man,3,T. Brady QB - NE ,27.24,L. McCoy RB - BUF ,32.20,F. Gore RB - IND ,10.80,L. Fitzgerald WR - ARI ,4.90,T. Hilton WR - IND ,4.90,R. Gronkowski TE - NE ,22.20,A. Cooper WR - LV ,12.90,D. Hopkins K - WAS ,11.00,Bills DEF ,6.00,J. Forsett RB - DEN ,0.50,G. Tate WR - DET ,22.80,T. Taylor QB - BUF ,19.96,D. Baldwin WR - SEA ,3.10,T. Pryor WR - CLE ,19.84,R. Turbin RB - IND ,2.40,T. Austin WR - LA ,2.60,J. White RB - NE ,18.60,C. Walford TE - LV ,2.50,M. Mariota QB - TEN ,27.76,T. Siemian QB - DEN ,13.30,S. Shepard WR - NYG ,2.50,D. Washington RB - LV ,4.90,D. Bailey K - DAL ,12.00,Eagles DEF ,14.00,A. Abdullah RB - DET ,0.00,132.14,Will,114.08
Jeff,2,R. Wilson QB - SEA ,11.50,C. Michael RB - GB ,20.30,D. Johnson RB - ARI ,31.80,J. Landry WR - MIA ,9.10,O. Beckham WR - NYG ,32.20,J. James TE - PIT ,1.30,M. Floyd WR - NE ,8.20,S. Hauschka K - SEA ,8.00,Rams DEF ,0.00,M. Forte RB - NYJ ,2.20,J. Charles RB - KC ,10.70,K. Britt WR - LA ,25.60,S. Bradford QB - MIN ,0.00,A. Green WR - CIN ,8.80,D. Brees QB - NO ,32.60,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,22.30,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,3.60,T. Coleman RB - ATL ,1.70,M. Jones RB - WAS ,19.50,T. Williams WR - LAC ,2.80,K. Drake RB - MIA ,0.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,122.40,bob,76.78
Chris,9,E. Manning QB - NYG ,24.12,D. Sproles RB - PHI ,2.40,C. Anderson RB - DEN ,7.10,M. Wallace WR - BAL ,9.70,W. Snead WR - NO ,4.70,R. Rodgers TE - GB ,1.50,D. Amendola WR - NE ,3.00,J. Tucker K - BAL ,11.00,Steelers DEF ,-1.00,P. Garcon WR - WAS ,7.70,B. Gabbert QB - SF ,0.00,J. Witten TE - DAL ,4.20,A. Smith QB - KC ,8.86,C. Hogan WR - NE ,3.90,J. Kearse WR - SEA ,3.50,D. Allen TE - IND ,0.90,A. Blue RB - HOU ,1.30,Q. Enunwa WR - NYJ ,4.20,D. Johnson RB - CLE ,13.40,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,J. Richard RB - LV ,1.20,B. Walsh K ,0.00,Vikings DEF ,0.00,-,-,62.52,Quinten,38.66
Matthew,8,C. Wentz QB - PHI ,7.36,J. Ajayi RB - MIA ,32.70,E. Elliott RB - DAL ,17.40,P. Dorsett WR - IND ,1.20,N. Agholor WR - PHI ,3.40,Z. Ertz TE - PHI ,2.20,T. Riddick RB - DET ,0.00,M. Crosby K - GB ,10.00,Redskins DEF ,6.00,J. Flacco QB - BAL ,12.28,E. Royal WR - CHI ,5.40,Z. Miller TE - CHI ,3.60,R. Fitzpatrick QB - NYJ ,5.16,C. Ivory RB - JAX ,9.50,K. Cousins QB - WAS ,17.32,C. Fleener TE - NO ,19.60,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,19.30,M. Sanu WR - ATL ,10.70,J. Doyle TE - IND ,11.30,T. Lockett WR - SEA ,2.50,J. Allen RB - BAL ,0.00,N. Novak K - HOU ,8.00,Texans DEF ,5.00,-,-,80.26,LeMar,107.80
