Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,1,C. Newton QB - CAR ,20.44,L. Miller RB - HOU ,5.50,L. Murray RB - LV ,14.80,M. Evans WR - TB ,22.40,D. Adams WR - GB ,23.30,J. Reed TE - WAS ,21.50,J. Jones WR - ATL ,3.50,S. Gostkowski K - NE ,10.00,Titans DEF ,4.00,J. Maclin WR - KC ,0.00,J. Starks RB - GB ,6.80,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,4.30,M. Ingram RB - NO ,28.70,C. Palmer QB - ARI ,17.56,T. Benjamin WR - LAC ,0.80,A. Morris RB - DAL ,1.20,C. Fiedorowicz TE - HOU ,4.20,C. Brate TE - TB ,4.90,J. Winston QB - TB ,16.00,S. Diggs WR - MIN ,0.00,K. White WR - CHI ,0.00,J. Lambo K - LAC ,3.00,Panthers DEF ,4.00,-,-,-,-,125.44,LeMar,68.18
Dannye Van,7,D. Carr QB - LV ,17.40,J. Hill RB - CIN ,8.20,R. Kelley RB - WAS ,4.20,M. Crabtree WR - LV ,11.00,K. Benjamin WR - CAR ,11.30,D. Walker TE - TEN ,11.00,D. Hopkins WR - HOU ,7.00,D. Bailey K - DAL ,7.00,Broncos DEF ,5.00,J. Stewart RB - CAR ,21.60,K. Rudolph TE - MIN ,6.40,D. Martin RB - TB ,7.00,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,0.00,S. Watkins WR - BUF ,8.00,J. Matthews WR - PHI ,4.70,J. Langford RB - CHI ,0.50,D. Green-Beckham WR - PHI ,8.20,K. Dixon RB - BAL ,8.00,T. Sharpe WR - TEN ,1.10,P. Perkins RB - NYG ,4.30,T. Boyd WR - CIN ,6.20,B. McManus K - DEN ,9.00,G. Bernard RB - CIN ,0.00,-,-,-,-,82.10,bob,125.30
Tilly,8,B. Roethlisberger QB - PIT ,20.84,T. West RB - BAL ,6.40,T. Rawls RB - SEA ,3.80,C. Beasley WR - DAL ,5.60,B. Cooks WR - NO ,0.00,H. Henry TE - LAC ,8.00,J. Nelson WR - GB ,9.10,A. Vinatieri K - IND ,1.00,Giants DEF ,23.00,M. Bennett TE - NE ,2.60,J. Edelman WR - NE ,8.30,A. Dalton QB - CIN ,12.72,C. Kaepernick QB - SF ,33.14,L. Kendricks TE - LA ,11.10,M. Asiata RB - MIN ,10.10,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,3.70,B. Osweiler QB - HOU ,12.14,R. Woods WR - BUF ,0.00,J. McKinnon RB - MIN ,7.60,T. Montgomery RB - GB ,1.40,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,2.00,Cowboys DEF ,0.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,77.74,Quinten,86.82
LeMar,6,M. Stafford QB - DET ,16.28,D. Murray RB - TEN ,8.40,K. Davis RB - KC ,0.60,R. Cobb WR - GB ,4.10,R. Matthews WR - TEN ,12.40,G. Olsen TE - CAR ,4.50,R. Jennings RB - NYG ,5.90,R. Succop K - TEN ,9.00,Seahawks DEF ,7.00,M. Ryan QB - ATL ,18.26,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,16.50,R. Mathews RB - PHI ,0.00,D. Thomas WR - DEN ,6.00,J. Thomas TE - JAX ,0.00,T. Smith WR - SF ,8.40,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,0.00,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,A. Hurns WR - JAX ,7.20,M. Gordon RB - LAC ,8.90,J. Goff QB - LA ,16.56,Cardinals DEF ,1.00,-,-,-,-,68.18,Will,125.44
Quinten,5,A. Rodgers QB - GB ,23.12,C. Hyde RB - SF ,15.50,T. Yeldon RB - JAX ,2.00,A. Robinson WR - JAX ,2.40,J. Brown WR - ARI ,1.90,J. Graham TE - SEA ,4.70,E. Sanders WR - DEN ,22.20,C. Catanzaro K - ARI ,9.00,Patriots DEF ,6.00,D. Jackson WR - WAS ,17.80,J. Cook TE - GB ,0.70,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,19.68,K. Juszczyk RB - BAL ,1.80,E. Ebron TE - DET ,0.00,D. Moncrief WR - IND ,10.50,C. Sims RB - TB ,0.00,J. Heuerman TE - DEN ,0.00,W. Fuller WR - HOU ,6.00,D. Henry RB - TEN ,12.00,M. Prater K - DET ,10.00,C. Barth K - CHI ,3.00,C. Santos K - KC ,8.00,Lions DEF ,6.00,-,-,-,-,86.82,Tilly,77.74
bob,3,D. Prescott QB - DAL ,21.70,L. Blount RB - NE ,6.70,L. Bell RB - PIT ,20.20,A. Brown WR - PIT ,27.10,J. Crowder WR - WAS ,8.80,G. Barnidge TE - CLE ,1.10,D. Freeman RB - ATL ,19.70,C. Sturgis K - PHI ,9.00,Ravens DEF ,11.00,D. Bryant WR - DAL ,7.20,B. LaFell WR - CIN ,3.80,B. Marshall WR - NYJ ,12.70,M. Jones WR - DET ,5.40,R. Tannehill QB - MIA ,26.80,T. Kelce TE - KC ,10.10,B. Bortles QB - JAX ,21.14,D. Parker WR - MIA ,6.40,D. Funchess WR - CAR ,1.90,T. Gurley RB - LA ,8.90,E. Rogers WR - PIT ,3.60,D. Booker RB - DEN ,10.10,J. Howard RB - CHI ,12.70,M. Thomas WR - NO ,22.80,Chargers DEF ,13.00,E. Decker WR - NYJ ,0.00,-,-,125.30,Dannye Van,82.10
the old man,4,T. Brady QB - NE ,19.04,L. McCoy RB - BUF ,27.40,F. Gore RB - IND ,3.10,L. Fitzgerald WR - ARI ,5.30,T. Hilton WR - IND ,5.40,R. Gronkowski TE - NE ,0.00,A. Cooper WR - LV ,2.20,D. Hopkins K - WAS ,8.00,Bills DEF ,2.00,G. Tate WR - DET ,7.70,T. Taylor QB - BUF ,20.44,D. Baldwin WR - SEA ,3.40,T. Pryor WR - CLE ,13.10,T. Austin WR - LA ,11.50,M. Gillislee RB - BUF ,0.00,C. Thompson RB - WAS ,3.40,J. White RB - NE ,2.20,C. Walford TE - LV ,10.30,M. Mariota QB - TEN ,21.64,T. Siemian QB - DEN ,29.02,S. Shepard WR - NYG ,2.20,D. Washington RB - LV ,0.00,M. Bryant K - ATL ,8.00,Eagles DEF ,0.00,A. Abdullah RB - DET ,0.00,-,-,72.44,Matthew,101.86
Jeff,2,R. Wilson QB - SEA ,10.04,M. Forte RB - NYJ ,5.00,D. Johnson RB - ARI ,22.10,O. Beckham WR - NYG ,21.60,T. Williams WR - LAC ,13.00,T. Eifert TE - CIN ,12.80,J. Landry WR - MIA ,4.70,S. Hauschka K - SEA ,3.00,Chiefs DEF ,15.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,11.20,S. Bradford QB - MIN ,6.96,A. Green WR - CIN ,0.00,D. Brees QB - NO ,32.50,M. Floyd WR - NE ,3.10,C. Michael RB - GB ,0.40,S. Ware RB - KC ,9.60,I. Crowell RB - CLE ,7.10,T. Coleman RB - ATL ,7.30,J. James TE - PIT ,0.00,M. Jones RB - WAS ,0.00,K. Drake RB - MIA ,0.90,C. Coleman WR - CLE ,9.80,Rams DEF ,0.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,107.24,Chris,78.86
Chris,10,E. Manning QB - NYG ,19.56,D. Johnson RB - CLE ,4.00,J. Richard RB - LV ,2.30,P. Garcon WR - WAS ,4.30,W. Snead WR - NO ,9.80,J. Witten TE - DAL ,3.30,M. Wallace WR - BAL ,5.60,J. Tucker K - BAL ,19.00,Steelers DEF ,11.00,D. Amendola WR - NE ,0.80,B. Gabbert QB - SF ,0.00,A. Smith QB - KC ,15.00,D. Sproles RB - PHI ,5.40,C. Hogan WR - NE ,7.00,J. Kearse WR - SEA ,1.80,D. Allen TE - IND ,4.90,C. Anderson RB - DEN ,0.00,Q. Enunwa WR - NYJ ,16.90,R. Rodgers TE - GB ,0.00,D. Williams RB - MIA ,1.80,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,-0.10,B. Walsh K ,0.00,Vikings DEF ,3.00,-,-,-,-,78.86,Jeff,107.24
Matthew,9,K. Cousins QB - WAS ,30.16,J. Ajayi RB - MIA ,11.60,E. Elliott RB - DAL ,24.00,M. Sanu WR - ATL ,7.00,P. Dorsett WR - IND ,3.10,J. Doyle TE - IND ,2.50,C. Ivory RB - JAX ,11.50,M. Crosby K - GB ,9.00,Texans DEF ,3.00,J. Flacco QB - BAL ,13.26,E. Royal WR - CHI ,-0.60,Z. Miller TE - CHI ,0.00,D. Lewis RB - NE ,5.80,R. Fitzpatrick QB - NYJ ,16.86,C. Fleener TE - NO ,5.90,L. Green TE - PIT ,6.70,K. Wright WR - TEN ,0.00,T. Riddick RB - DET ,5.80,Z. Ertz TE - PHI ,3.60,T. Lockett WR - SEA ,0.90,N. Agholor WR - PHI ,0.00,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,17.46,Redskins DEF ,0.00,-,-,-,-,101.86,the old man,72.44
