Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,1,J. Winston QB - TB ,17.44,M. Ingram RB - NO ,7.50,L. Miller RB - HOU ,17.30,M. Evans WR - TB ,10.50,D. Adams WR - GB ,4.20,J. Reed TE - WAS ,7.90,L. Murray RB - LV ,9.20,S. Gostkowski K - NE ,6.00,Panthers DEF ,8.00,J. Maclin WR - KC ,0.00,J. Starks RB - GB ,13.10,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,0.00,J. Jones WR - ATL ,0.00,C. Newton QB - CAR ,12.38,C. Palmer QB - ARI ,13.02,T. Benjamin WR - LAC ,0.00,A. Morris RB - DAL ,0.30,C. Fiedorowicz TE - HOU ,8.20,C. Brate TE - TB ,1.80,S. Diggs WR - MIN ,3.70,K. White WR - CHI ,0.00,J. Lambo K - LAC ,0.00,Titans DEF ,4.00,-,-,-,-,88.04,Tilly,74.08
Dannye Van,7,A. Luck QB - IND ,18.68,J. Hill RB - CIN ,6.30,R. Kelley RB - WAS ,31.70,M. Crabtree WR - LV ,0.50,K. Benjamin WR - CAR ,5.60,D. Walker TE - TEN ,3.60,D. Hopkins WR - HOU ,5.80,D. Bailey K - DAL ,9.00,Dolphins DEF ,7.00,J. Stewart RB - CAR ,9.90,K. Rudolph TE - MIN ,1.20,D. Martin RB - TB ,10.50,A. Jeffery WR - CHI ,0.00,G. Bernard RB - CIN ,6.10,S. Watkins WR - BUF ,0.00,D. Carr QB - LV ,21.60,J. Matthews WR - PHI ,5.90,J. Langford RB - CHI ,9.80,D. Green-Beckham WR - PHI ,11.40,K. Dixon RB - BAL ,4.00,T. Sharpe WR - TEN ,12.80,P. Perkins RB - NYG ,3.50,T. Boyd WR - CIN ,11.40,B. McManus K - DEN ,0.00,Broncos DEF ,0.00,-,-,88.18,LeMar,82.92
Tilly,8,B. Roethlisberger QB - PIT ,8.68,T. West RB - BAL ,11.30,C. Prosise RB - SEA ,14.10,C. Beasley WR - DAL ,11.90,B. Cooks WR - NO ,4.90,M. Bennett TE - NE ,1.40,J. Nelson WR - GB ,8.80,A. Vinatieri K - IND ,6.00,Giants DEF ,7.00,J. Edelman WR - NE ,14.90,A. Dalton QB - CIN ,15.28,C. Kaepernick QB - SF ,19.44,L. Kendricks TE - LA ,1.80,M. Asiata RB - MIN ,8.70,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,4.80,B. Osweiler QB - HOU ,13.02,R. Woods WR - BUF ,4.10,J. McKinnon RB - MIN ,4.10,T. Montgomery RB - GB ,4.40,T. Rawls RB - SEA ,8.80,H. Henry TE - LAC ,0.00,R. Aguayo K - TB ,13.00,Cowboys DEF ,2.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,74.08,Will,88.04
LeMar,4,M. Stafford QB - DET ,11.12,R. Mathews RB - PHI ,3.10,D. Murray RB - TEN ,13.90,R. Cobb WR - GB ,8.40,R. Matthews WR - TEN ,12.20,G. Olsen TE - CAR ,3.30,R. Jennings RB - NYG ,18.90,R. Succop K - TEN ,5.00,Seahawks DEF ,7.00,M. Ryan QB - ATL ,0.00,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,12.60,D. Thomas WR - DEN ,0.00,J. Thomas TE - JAX ,1.20,T. Smith WR - SF ,0.00,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,0.00,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,0.90,M. Gordon RB - LAC ,0.00,J. Goff QB - LA ,6.46,Cardinals DEF ,4.00,-,-,-,-,82.92,Dannye Van,88.18
Quinten,6,A. Rodgers QB - GB ,29.34,C. Hyde RB - SF ,11.00,T. Yeldon RB - JAX ,3.20,A. Robinson WR - JAX ,7.80,J. Brown WR - ARI ,0.00,J. Graham TE - SEA ,10.60,D. Moncrief WR - IND ,9.70,C. Santos K - KC ,5.00,Patriots DEF ,6.00,D. Jackson WR - WAS ,11.10,J. Cook TE - GB ,14.50,E. Sanders WR - DEN ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,0.00,K. Juszczyk RB - BAL ,3.20,E. Ebron TE - DET ,13.10,C. Sims RB - TB ,0.00,J. Heuerman TE - DEN ,0.00,W. Fuller WR - HOU ,1.70,D. Henry RB - TEN ,0.00,M. Prater K - DET ,8.00,C. Barth K - CHI ,4.00,C. Catanzaro K - ARI ,6.00,Lions DEF ,19.00,-,-,-,-,82.64,Matthew,69.40
bob,5,B. Bortles QB - JAX ,12.38,L. Blount RB - NE ,12.40,L. Bell RB - PIT ,26.10,A. Brown WR - PIT ,7.60,J. Crowder WR - WAS ,16.20,T. Kelce TE - KC ,10.30,J. Howard RB - CHI ,9.90,C. Sturgis K - PHI ,1.00,Ravens DEF ,1.00,G. Barnidge TE - CLE ,8.30,D. Bryant WR - DAL ,20.00,B. LaFell WR - CIN ,3.20,B. Marshall WR - NYJ ,0.00,M. Jones WR - DET ,1.50,R. Tannehill QB - MIA ,14.78,D. Freeman RB - ATL ,0.00,D. Parker WR - MIA ,13.90,D. Funchess WR - CAR ,3.20,T. Gurley RB - LA ,13.60,E. Rogers WR - PIT ,2.00,D. Booker RB - DEN ,0.00,D. Prescott QB - DAL ,25.64,M. Thomas WR - NO ,6.80,Chargers DEF ,0.00,E. Decker WR - NYJ ,0.00,-,-,96.88,Chris,86.24
the old man,3,T. Brady QB - NE ,28.40,L. McCoy RB - BUF ,10.50,F. Gore RB - IND ,12.10,D. Baldwin WR - SEA ,15.00,T. Hilton WR - IND ,15.70,C. Walford TE - LV ,2.80,A. Cooper WR - LV ,11.70,D. Hopkins K - WAS ,6.00,Eagles DEF ,1.00,R. Gronkowski TE - NE ,0.00,G. Tate WR - DET ,0.10,T. Taylor QB - BUF ,8.54,L. Fitzgerald WR - ARI ,6.30,T. Pryor WR - CLE ,9.70,T. Austin WR - LA ,2.90,M. Gillislee RB - BUF ,7.20,C. Thompson RB - WAS ,1.90,J. White RB - NE ,12.30,M. Mariota QB - TEN ,22.50,T. Siemian QB - DEN ,0.00,S. Shepard WR - NYG ,11.00,D. Washington RB - LV ,0.00,M. Bryant K - ATL ,0.00,Bills DEF ,9.00,A. Abdullah RB - DET ,0.00,-,-,103.20,Jeff,81.00
Jeff,2,D. Brees QB - NO ,15.40,S. Ware RB - KC ,8.50,D. Johnson RB - ARI ,28.00,A. Green WR - CIN ,0.00,O. Beckham WR - NYG ,4.60,T. Eifert TE - CIN ,3.70,J. Landry WR - MIA ,8.80,S. Hauschka K - SEA ,8.00,Chiefs DEF ,4.00,M. Forte RB - NYJ ,0.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,4.30,S. Bradford QB - MIN ,8.66,M. Floyd WR - NE ,2.10,R. Wilson QB - SEA ,24.28,C. Michael RB - GB ,0.00,I. Crowell RB - CLE ,2.30,T. Coleman RB - ATL ,0.00,J. James TE - PIT ,0.50,M. Jones RB - WAS ,0.00,T. Williams WR - LAC ,0.00,K. Drake RB - MIA ,0.20,C. Coleman WR - CLE ,3.90,Rams DEF ,7.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,81.00,the old man,103.20
Chris,10,A. Smith QB - KC ,19.44,D. Sproles RB - PHI ,2.10,D. Johnson RB - CLE ,5.60,P. Garcon WR - WAS ,17.60,W. Snead WR - NO ,3.30,J. Witten TE - DAL ,3.70,M. Wallace WR - BAL ,7.50,J. Tucker K - BAL ,5.00,Steelers DEF ,22.00,D. Amendola WR - NE ,6.20,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,17.18,C. Hogan WR - NE ,0.00,J. Kearse WR - SEA ,2.90,D. Allen TE - IND ,0.00,C. Anderson RB - DEN ,0.00,Q. Enunwa WR - NYJ ,0.00,R. Rodgers TE - GB ,2.80,D. Williams RB - MIA ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,J. Richard RB - LV ,11.20,B. Walsh K ,0.00,Vikings DEF ,20.00,-,-,-,-,86.24,bob,96.88
Matthew,9,K. Cousins QB - WAS ,27.40,J. Ajayi RB - MIA ,8.40,E. Elliott RB - DAL ,12.70,P. Dorsett WR - IND ,5.00,N. Agholor WR - PHI ,2.00,J. Doyle TE - IND ,0.70,K. Wright WR - TEN ,5.20,M. Crosby K - GB ,6.00,Texans DEF ,2.00,J. Flacco QB - BAL ,15.36,E. Royal WR - CHI ,1.30,Z. Miller TE - CHI ,12.10,D. Lewis RB - NE ,4.90,R. Fitzpatrick QB - NYJ ,0.00,C. Ivory RB - JAX ,9.40,C. Fleener TE - NO ,7.70,L. Green TE - PIT ,0.00,M. Sanu WR - ATL ,0.00,T. Riddick RB - DET ,8.30,Z. Ertz TE - PHI ,9.50,T. Lockett WR - SEA ,3.90,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,14.92,Redskins DEF ,6.00,-,-,-,-,69.40,Quinten,82.64
