Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,J. Winston QB - TB ,20.66,L. Blount RB - NE ,25.40,L. Miller RB - HOU ,6.70,J. Jones WR - ATL ,17.40,A. Brown WR - PIT ,11.90,C. Brate TE - TB ,2.90,S. Diggs WR - MIN ,1.80,S. Gostkowski K - NE ,3.00,Titans DEF ,1.00,J. Maclin WR - KC ,4.00,B. Hoyer QB - CHI ,1.96,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,1.80,C. Newton QB - CAR ,0.00,C. Palmer QB - ARI ,14.48,T. Benjamin WR - LAC ,5.40,A. Morris RB - DAL ,0.00,F. Whittaker RB - CAR ,0.00,J. Reed TE - WAS ,0.00,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,25.20,S. Coates WR - PIT ,0.40,K. Dixon RB - BAL ,-0.10,Panthers DEF ,0.00,-,-,90.76,Jeff,102.28
Dannye Van,8,A. Luck QB - IND ,27.82,M. Gillislee RB - BUF ,2.00,J. Hill RB - CIN ,25.20,M. Crabtree WR - LV ,15.60,A. Jeffery WR - CHI ,3.30,D. Walker TE - TEN ,14.40,D. Hopkins WR - HOU ,3.60,C. Boswell K - PIT ,10.00,Broncos DEF ,9.00,J. Stewart RB - CAR ,0.00,K. Rudolph TE - MIN ,5.50,D. Martin RB - TB ,0.00,G. Bernard RB - CIN ,14.70,L. Murray RB - LV ,18.30,K. Benjamin WR - CAR ,0.00,D. Carr QB - LV ,12.40,J. Matthews WR - PHI ,1.00,J. Langford RB - CHI ,0.00,D. Green-Beckham WR - PHI ,6.80,T. Sharpe WR - TEN ,5.90,P. Perkins RB - NYG ,1.60,T. Boyd WR - CIN ,0.30,D. Washington RB - DET ,0.00,K. White WR - CHI ,0.00,-,-,110.92,Quinten,55.44
Tilly,6,A. Dalton QB - CIN ,20.32,T. West RB - BAL ,1.00,J. McKinnon RB - MIN ,4.80,J. Nelson WR - GB ,0.90,B. Cooks WR - NO ,11.80,H. Henry TE - LAC ,1.60,T. Montgomery RB - GB ,12.60,A. Vinatieri K - IND ,10.00,Packers DEF ,12.00,M. Bennett TE - NE ,0.50,J. Edelman WR - NE ,4.00,D. Williams RB - PIT ,0.00,B. Roethlisberger QB - PIT ,0.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,V. Cruz WR - NYG ,5.50,B. Osweiler QB - HOU ,4.84,C. Beasley WR - DAL ,0.00,R. Woods WR - BUF ,0.00,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,0.00,C. Prosise RB - SEA ,1.70,R. Aguayo K - TB ,10.00,Colts DEF ,11.00,-,-,75.02,LeMar,131.94
LeMar,3,M. Stafford QB - DET ,17.84,D. Murray RB - TEN ,18.70,M. Gordon RB - LAC ,30.10,R. Cobb WR - GB ,17.60,R. Matthews WR - TEN ,3.70,J. Tamme TE - ATL ,7.70,J. Rodgers RB - TB ,16.30,M. Bryant K - ATL ,12.00,Cardinals DEF ,8.00,M. Ryan QB - ATL ,13.72,T. Hightower RB - NO ,4.40,R. Jennings RB - NYG ,10.90,R. Mathews RB - PHI ,6.30,D. Thomas WR - DEN ,10.00,J. Thomas TE - JAX ,8.00,T. Smith WR - SF ,1.70,G. Olsen TE - CAR ,0.00,A. Gates TE - LAC ,3.80,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.10,A. Hurns WR - JAX ,4.50,J. Goff QB - LA ,0.00,Seahawks DEF ,11.00,-,-,131.94,Tilly,75.02
Quinten,7,A. Rodgers QB - GB ,23.74,T. Yeldon RB - JAX ,2.80,D. Henry RB - TEN ,0.30,D. Jackson WR - WAS ,3.50,W. Fuller WR - HOU ,2.20,J. Graham TE - SEA ,5.30,E. Sanders WR - DEN ,8.60,C. Catanzaro K - ARI ,6.00,Patriots DEF ,3.00,J. Cook TE - GB ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,14.64,K. Juszczyk RB - BAL ,0.20,E. Ebron TE - DET ,0.00,A. Robinson WR - JAX ,0.90,D. Moncrief WR - IND ,0.00,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,0.00,J. Heuerman TE - DEN ,0.00,C. Santos K - KC ,9.00,Lions DEF ,7.00,-,-,-,-,-,-,55.44,Dannye Van,110.92
bob,5,B. Bortles QB - JAX ,13.14,L. Bell RB - PIT ,14.90,T. Gurley RB - LA ,9.20,M. Jones WR - DET ,9.40,M. Evans WR - TB ,21.60,G. Barnidge TE - CLE ,6.60,D. Freeman RB - ATL ,10.00,C. Sturgis K - PHI ,7.00,Ravens DEF ,15.00,D. Bryant WR - DAL ,0.00,M. Ingram RB - NO ,12.20,B. Marshall WR - NYJ ,3.90,R. Tannehill QB - MIA ,16.26,T. Kelce TE - KC ,2.40,C. Artis-Payne RB - CAR ,0.00,D. Parker WR - MIA ,2.00,D. Funchess WR - CAR ,0.00,E. Rogers WR - PIT ,0.00,D. Booker RB - DEN ,14.70,D. Prescott QB - DAL ,0.00,J. Howard RB - CHI ,2.20,M. Thomas WR - NO ,13.00,Chargers DEF ,5.00,E. Decker WR - NYJ ,0.00,-,-,106.84,Matthew,67.74
the old man,2,T. Brady QB - NE ,18.18,L. McCoy RB - BUF ,1.10,F. Gore RB - IND ,14.30,L. Fitzgerald WR - ARI ,7.00,T. Hilton WR - IND ,19.30,R. Gronkowski TE - NE ,15.30,A. Cooper WR - LV ,2.90,D. Hopkins K - WAS ,5.00,Bills DEF ,0.00,J. Forsett RB - DEN ,4.80,G. Tate WR - DET ,9.30,T. Taylor QB - BUF ,24.34,D. Baldwin WR - SEA ,6.90,T. Pryor WR - CLE ,1.80,R. Turbin RB - IND ,2.20,T. Austin WR - LA ,12.70,J. White RB - NE ,9.20,C. Walford TE - LV ,0.50,M. Mariota QB - TEN ,16.68,T. Siemian QB - DEN ,10.18,S. Shepard WR - NYG ,3.20,D. Washington RB - LV ,2.20,D. Bailey K - DAL ,0.00,Eagles DEF ,24.00,A. Abdullah RB - DET ,0.00,83.08,Chris,68.96
Jeff,1,D. Brees QB - NO ,24.68,C. Michael RB - GB ,5.50,D. Johnson RB - ARI ,17.10,A. Green WR - CIN ,22.90,O. Beckham WR - NYG ,4.90,J. James TE - PIT ,1.80,T. Coleman RB - ATL ,13.40,S. Hauschka K - SEA ,6.00,Rams DEF ,6.00,M. Forte RB - NYJ ,25.40,J. Charles RB - KC ,0.00,K. Britt WR - LA ,4.30,S. Bradford QB - MIN ,6.86,M. Floyd WR - NE ,6.50,R. Wilson QB - SEA ,8.70,T. Eifert TE - CIN ,0.90,S. Ware RB - KC ,19.10,J. Landry WR - MIA ,9.80,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,13.90,M. Jones RB - WAS ,0.70,T. Williams WR - LAC ,14.00,K. Drake RB - MIA ,0.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,102.28,Will,90.76
Chris,10,A. Smith QB - KC ,17.26,C. Anderson RB - DEN ,16.70,D. Johnson RB - CLE ,3.30,P. Garcon WR - WAS ,2.20,W. Snead WR - NO ,8.70,R. Rodgers TE - GB ,0.70,J. Richard RB - LV ,0.10,J. Tucker K - BAL ,12.00,Vikings DEF ,8.00,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,0.00,J. Witten TE - DAL ,0.00,E. Manning QB - NYG ,7.64,D. Sproles RB - PHI ,4.90,M. Wallace WR - BAL ,12.00,C. Hogan WR - NE ,0.50,J. Kearse WR - SEA ,5.10,D. Allen TE - IND ,0.00,A. Blue RB - HOU ,4.30,Q. Enunwa WR - NYJ ,13.30,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,1.30,B. Walsh K ,4.00,Steelers DEF ,4.00,-,-,68.96,the old man,83.08
Matthew,9,K. Cousins QB - WAS ,21.54,C. Ivory RB - JAX ,5.10,J. Ajayi RB - MIA ,27.60,M. Sanu WR - ATL ,1.60,T. Lockett WR - SEA ,1.30,Z. Ertz TE - PHI ,1.40,K. Wright WR - TEN ,1.20,M. Crosby K - GB ,8.00,Texans DEF ,0.00,J. Flacco QB - BAL ,6.02,E. Royal WR - CHI ,0.00,Z. Miller TE - CHI ,4.00,R. Fitzpatrick QB - NYJ ,8.70,C. Fleener TE - NO ,4.40,L. Green TE - PIT ,0.00,T. Riddick RB - DET ,0.00,J. Doyle TE - IND ,13.80,P. Dorsett WR - IND ,0.00,N. Agholor WR - PHI ,1.00,J. Allen RB - BAL ,0.00,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,6.12,N. Novak K - HOU ,9.00,Redskins DEF ,4.00,-,-,67.74,bob,106.84
