Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,1,C. Newton QB - CAR ,15.60,L. Blount RB - NE ,5.80,L. Miller RB - HOU ,10.80,J. Jones WR - ATL ,36.00,A. Brown WR - PIT ,18.40,J. Reed TE - WAS ,19.30,T. Benjamin WR - LAC ,2.80,S. Gostkowski K - NE ,0.00,Dolphins DEF ,1.00,J. Maclin WR - KC ,7.80,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,8.00,C. Palmer QB - ARI ,11.52,R. Hillman RB - LAC ,0.00,A. Morris RB - DAL ,3.40,J. Gordon WR - CLE ,0.00,C. Thompson RB - WAS ,10.00,F. Whittaker RB - CAR ,9.20,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,0.00,J. McKinnon RB - MIN ,15.50,S. Diggs WR - MIN ,4.60,K. Dixon RB - BAL ,0.00,Panthers DEF ,7.00,-,-,109.70,Quinten,95.94
Dannye Van,7,A. Luck QB - IND ,17.66,J. Hill RB - CIN ,7.10,D. Washington RB - DET ,1.40,K. Benjamin WR - CAR ,9.90,K. White WR - CHI ,5.50,K. Rudolph TE - MIN ,11.50,D. Hopkins WR - HOU ,0.40,C. Boswell K - PIT ,5.00,Broncos DEF ,15.00,J. Stewart RB - CAR ,0.00,M. Crabtree WR - LV ,26.80,A. Foster RB - MIA ,0.00,D. Walker TE - TEN ,3.40,A. Jeffery WR - CHI ,4.60,G. Bernard RB - CIN ,4.20,L. Murray RB - LV ,2.40,J. Landry WR - MIA ,6.10,D. Carr QB - LV ,23.76,J. Matthews WR - PHI ,0.00,J. Langford RB - CHI ,0.00,D. Green-Beckham WR - PHI ,0.00,T. Sharpe WR - TEN ,1.50,P. Perkins RB - NYG ,8.00,T. Boyd WR - CIN ,1.00,-,-,73.46,Jeff,107.88
Tilly,4,B. Roethlisberger QB - PIT ,33.90,D. Williams RB - PIT ,6.90,T. West RB - BAL ,17.30,V. Jackson WR - TB ,3.80,V. Cruz WR - NYG ,5.00,M. Bennett TE - NE ,10.90,J. Edelman WR - NE ,1.70,A. Vinatieri K - IND ,11.00,Colts DEF ,2.00,C. Johnson RB - ARI ,3.40,J. Nelson WR - GB ,0.00,A. Dalton QB - CIN ,14.64,A. Peterson RB - MIN ,0.00,B. Osweiler QB - HOU ,15.56,R. Woods WR - BUF ,8.90,B. Cooks WR - NO ,3.10,J. Winston QB - TB ,11.06,C. Uzomah TE - CIN ,4.50,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,10.40,H. Henry TE - LAC ,12.10,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,1.00,Packers DEF ,0.00,-,-,92.50,the old man,82.82
LeMar,8,M. Stafford QB - DET ,8.22,R. Jennings RB - NYG ,0.00,D. Murray RB - TEN ,23.90,R. Matthews WR - TEN ,8.20,M. Wheaton WR - PIT ,11.00,J. Thomas TE - JAX ,0.00,A. Hurns WR - JAX ,10.70,M. Bryant K - ATL ,14.00,Seahawks DEF ,11.00,M. Ryan QB - ATL ,35.52,T. Hightower RB - NO ,1.10,R. Mathews RB - PHI ,0.00,D. Thomas WR - DEN ,15.40,R. Cobb WR - GB ,0.00,T. Smith WR - SF ,0.30,G. Olsen TE - CAR ,15.60,A. Gates TE - LAC ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,1.20,A. Seferian-Jenkins TE - NYJ ,0.00,M. Gordon RB - LAC ,17.90,C. Coleman WR - CLE ,0.00,J. Goff QB - LA ,0.00,Cardinals DEF ,5.00,-,-,87.02,bob,75.56
Quinten,3,P. Rivers QB - LAC ,18.84,C. Hyde RB - SF ,13.90,C. Sims RB - TB ,1.50,A. Robinson WR - JAX ,11.50,W. Fuller WR - HOU ,14.10,J. Graham TE - SEA ,11.30,E. Sanders WR - DEN ,14.80,C. Catanzaro K - ARI ,7.00,Patriots DEF ,3.00,D. Jackson WR - WAS ,0.50,J. Cook TE - GB ,0.00,S. Vereen RB - NYG ,0.00,A. Rodgers QB - GB ,0.00,E. Ebron TE - DET ,4.20,D. Moncrief WR - IND ,0.00,J. Brown WR - ARI ,14.40,T. Yeldon RB - JAX ,11.70,D. Henry RB - TEN ,0.90,C. Santos K - KC ,2.00,Lions DEF ,9.00,-,-,-,-,-,-,-,-,-,-,95.94,Will,109.70
bob,5,R. Tannehill QB - MIA ,7.56,L. Bell RB - PIT ,17.80,D. Freeman RB - ATL ,12.40,M. Jones WR - DET ,7.40,M. Evans WR - TB ,5.90,T. Kelce TE - KC ,8.30,T. Gurley RB - LA ,8.20,G. Gano K - CAR ,7.00,Ravens DEF ,1.00,G. Barnidge TE - CLE ,5.70,D. Bryant WR - DAL ,0.00,E. Decker WR - NYJ ,0.00,M. Ingram RB - NO ,16.50,B. Marshall WR - NYJ ,14.90,B. Bortles QB - JAX ,25.88,C. Artis-Payne RB - CAR ,1.20,D. Parker WR - MIA ,2.00,D. Funchess WR - CAR ,5.60,E. Rogers WR - PIT ,0.00,D. Booker RB - DEN ,3.00,D. Prescott QB - DAL ,18.10,J. Howard RB - CHI ,13.20,M. Thomas WR - NO ,10.40,Jets DEF ,2.00,-,-,75.56,LeMar,87.02
the old man,6,T. Siemian QB - DEN ,6.72,L. McCoy RB - BUF ,16.80,F. Gore RB - IND ,15.50,T. Hilton WR - IND ,10.20,S. Shepard WR - NYG ,3.00,C. Walford TE - LV ,2.30,L. Fitzgerald WR - ARI ,6.30,D. Hopkins K - WAS ,7.00,Bills DEF ,15.00,J. Forsett RB - DEN ,0.00,R. Gronkowski TE - NE ,1.10,G. Tate WR - DET ,2.10,T. Taylor QB - BUF ,16.64,T. Brady QB - NE ,0.00,D. Baldwin WR - SEA ,5.40,T. Pryor WR - CLE ,10.00,R. Turbin RB - IND ,0.50,T. Austin WR - LA ,0.80,J. White RB - NE ,6.20,M. Mariota QB - TEN ,8.08,A. Cooper WR - LV ,4.80,D. Washington RB - LV ,2.60,D. Bailey K - DAL ,6.00,Eagles DEF ,0.00,A. Abdullah RB - DET ,0.00,82.82,Tilly,92.50
Jeff,2,D. Brees QB - NO ,11.88,M. Forte RB - NYJ ,4.30,D. Johnson RB - ARI ,10.40,A. Green WR - CIN ,23.30,O. Beckham WR - NYG ,2.30,J. James TE - PIT ,7.50,I. Crowell RB - CLE ,20.20,S. Hauschka K - SEA ,11.00,Rams DEF ,17.00,J. Charles RB - KC ,0.70,D. Woodhead RB - LAC ,0.00,K. Britt WR - LA ,8.20,M. Floyd WR - NE ,9.60,D. Martin RB - TB ,0.00,R. Wilson QB - SEA ,23.86,C. Michael RB - GB ,15.00,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,0.00,S. Ware RB - KC ,7.60,M. Bryant WR - PIT ,0.00,T. Coleman RB - ATL ,3.30,M. Jones RB - WAS ,19.80,K. Drake RB - MIA ,1.50,J. Doctson WR - WAS ,0.00,-,-,107.88,Dannye Van,73.46
Chris,9,A. Smith QB - KC ,17.68,C. Anderson RB - DEN ,11.20,D. Johnson RB - CLE ,5.60,J. Kearse WR - SEA ,2.30,Q. Enunwa WR - NYJ ,6.00,D. Allen TE - IND ,2.00,P. Garcon WR - WAS ,3.90,B. Walsh K ,6.00,Vikings DEF ,8.00,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,12.54,J. Witten TE - DAL ,4.70,E. Manning QB - NYG ,8.44,D. Sproles RB - PHI ,0.00,M. Wallace WR - BAL ,6.70,C. Hogan WR - NE ,0.00,A. Blue RB - HOU ,2.30,W. Snead WR - NO ,2.30,R. Rodgers TE - GB ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,J. Richard RB - LV ,2.00,J. Tucker K - BAL ,7.00,Steelers DEF ,9.00,-,-,62.68,Matthew,107.32
Matthew,10,K. Cousins QB - WAS ,17.32,J. Ajayi RB - MIA ,4.60,E. Elliott RB - DAL ,21.70,E. Royal WR - CHI ,17.10,P. Dorsett WR - IND ,12.70,Z. Miller TE - CHI ,9.10,T. Riddick RB - DET ,5.80,N. Novak K - HOU ,11.00,Redskins DEF ,8.00,J. Flacco QB - BAL ,22.02,R. Fitzpatrick QB - NYJ ,8.94,C. Ivory RB - JAX ,2.90,C. Fleener TE - NO ,1.90,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,1.40,M. Sanu WR - ATL ,2.20,Z. Ertz TE - PHI ,0.00,J. Doyle TE - IND ,0.60,T. Lockett WR - SEA ,1.30,N. Agholor WR - PHI ,0.00,J. Allen RB - BAL ,2.80,C. Wentz QB - PHI ,0.00,M. Crosby K - GB ,0.00,Texans DEF ,10.00,-,-,107.32,Chris,62.68
