Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,16.48,L. Miller RB - HOU ,0.00,L. Murray RB - LV ,5.10,J. Jones WR - ATL ,6.00,M. Evans WR - TB ,15.70,C. Brate TE - TB ,7.20,M. Ingram RB - NO ,23.30,S. Gostkowski K - NE ,11.00,Dolphins DEF ,1.00,J. Maclin WR - KC ,0.90,J. Starks RB - GB ,0.00,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,7.40,C. Newton QB - CAR ,11.52,C. Palmer QB - ARI ,15.26,D. Inman WR - LAC ,4.40,T. Benjamin WR - LAC ,7.50,A. Morris RB - DAL ,0.00,J. Reed TE - WAS ,0.00,D. Adams WR - GB ,10.40,S. Diggs WR - MIN ,8.90,K. White WR - CHI ,0.00,J. Lambo K - LAC ,5.00,Panthers DEF ,3.00,-,-,-,-,85.78,Jeff,126.30
Dannye Van,8,D. Carr QB - LV ,22.08,D. Martin RB - TB ,0.00,J. Hill RB - CIN ,0.80,S. Watkins WR - BUF ,21.40,T. Boyd WR - CIN ,2.50,K. Rudolph TE - MIN ,5.30,D. Hopkins WR - HOU ,4.30,B. McManus K - DEN ,6.60,Broncos DEF ,1.00,J. Stewart RB - CAR ,5.20,M. Crabtree WR - LV ,9.00,D. Walker TE - TEN ,8.30,A. Luck QB - IND ,24.72,A. Jeffery WR - CHI ,9.20,K. Benjamin WR - CAR ,12.30,J. Matthews WR - PHI ,1.20,J. Langford RB - CHI ,8.30,D. Green-Beckham WR - PHI ,0.70,K. Dixon RB - BAL ,5.80,T. Sharpe WR - TEN ,4.80,P. Perkins RB - NYG ,7.70,T. Hill WR - KC ,15.50,R. Kelley RB - WAS ,8.20,D. Bailey K - DAL ,6.00,G. Bernard RB - CIN ,0.00,-,-,63.98,Chris,86.76
Tilly,7,B. Roethlisberger QB - PIT ,19.06,T. Montgomery RB - GB ,4.00,T. Rawls RB - SEA ,0.80,C. Beasley WR - DAL ,2.50,B. Cooks WR - NO ,9.80,M. Bennett TE - NE ,7.90,J. Nelson WR - GB ,27.40,A. Vinatieri K - IND ,5.00,Giants DEF ,3.00,J. Edelman WR - NE ,8.90,A. Dalton QB - CIN ,12.72,L. Kendricks TE - LA ,3.60,M. Asiata RB - MIN ,6.40,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,8.40,B. Osweiler QB - HOU ,0.00,R. Woods WR - BUF ,4.30,T. West RB - BAL ,5.50,J. McKinnon RB - MIN ,8.50,H. Henry TE - LAC ,0.00,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,6.00,Cowboys DEF ,8.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,-,-,79.46,Matthew,109.60
LeMar,6,M. Stafford QB - DET ,12.50,D. Murray RB - TEN ,6.00,M. Gordon RB - LAC ,0.00,D. Thomas WR - DEN ,2.00,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,5.90,R. Jennings RB - NYG ,5.10,W. Lutz K - NO ,11.00,Cardinals DEF ,7.00,M. Ryan QB - ATL ,19.98,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,4.00,R. Mathews RB - PHI ,6.20,J. Thomas TE - JAX ,0.00,T. Smith WR - SF ,0.00,J. Rodgers RB - TB ,13.80,A. Gates TE - LAC ,15.40,R. Matthews WR - TEN ,9.10,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,4.00,Seahawks DEF ,2.00,-,-,-,-,49.50,Quinten,104.28
Quinten,5,A. Rodgers QB - GB ,37.18,W. Smallwood RB - PHI ,0.00,D. Henry RB - TEN ,3.50,E. Sanders WR - DEN ,2.60,A. Robinson WR - JAX ,14.70,J. Graham TE - SEA ,10.30,D. Moncrief WR - IND ,9.00,C. Catanzaro K - ARI ,10.00,Patriots DEF ,17.00,D. Jackson WR - WAS ,11.40,J. Cook TE - GB ,3.70,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,18.88,K. Juszczyk RB - BAL ,8.50,E. Ebron TE - DET ,9.30,C. Hyde RB - SF ,10.20,C. Sims RB - TB ,4.20,J. Brown WR - ARI ,1.20,T. Yeldon RB - JAX ,0.50,W. Fuller WR - HOU ,3.90,M. Prater K - DET ,3.00,C. Barth K - CHI ,3.00,C. Santos K - KC ,9.00,Lions DEF ,-3.00,-,-,-,-,104.28,LeMar,49.50
bob,3,D. Prescott QB - DAL ,23.98,L. Bell RB - PIT ,25.70,J. Howard RB - CHI ,12.80,A. Brown WR - PIT ,15.60,M. Thomas WR - NO ,9.80,T. Kelce TE - KC ,22.00,T. Gurley RB - LA ,14.70,C. Sturgis K - PHI ,6.00,Chargers DEF ,10.00,G. Barnidge TE - CLE ,4.20,L. Blount RB - NE ,17.00,D. Bryant WR - DAL ,23.40,B. LaFell WR - CIN ,19.00,B. Marshall WR - NYJ ,2.80,M. Jones WR - DET ,1.60,R. Tannehill QB - MIA ,0.00,B. Bortles QB - JAX ,25.70,D. Freeman RB - ATL ,8.80,D. Parker WR - MIA ,14.50,J. Crowder WR - WAS ,0.30,D. Funchess WR - CAR ,0.90,M. Mitchell WR - NE ,2.90,D. Booker RB - DEN ,5.10,Ravens DEF ,3.00,E. Decker WR - NYJ ,0.00,-,-,140.58,the old man,111.76
the old man,4,T. Taylor QB - BUF ,31.16,L. McCoy RB - BUF ,20.50,F. Gore RB - IND ,6.40,D. Baldwin WR - SEA ,23.70,T. Hilton WR - IND ,12.50,J. Gresham TE - ARI ,4.00,T. Gabriel WR - ATL ,1.50,D. Hopkins K - WAS ,11.00,Bills DEF ,1.00,G. Tate WR - DET ,5.80,T. Brady QB - NE ,20.56,L. Fitzgerald WR - ARI ,3.10,T. Pryor WR - CLE ,3.60,T. Austin WR - LA ,10.00,M. Gillislee RB - BUF ,9.10,C. Thompson RB - WAS ,15.70,J. White RB - NE ,10.60,C. Walford TE - LV ,8.00,M. Mariota QB - TEN ,8.26,A. Cooper WR - LV ,7.60,T. Siemian QB - DEN ,5.32,S. Shepard WR - NYG ,12.30,M. Bryant K - ATL ,19.00,Eagles DEF ,13.00,R. Gronkowski TE - NE ,0.00,A. Abdullah RB - DET ,0.00,111.76,bob,140.58
Jeff,1,R. Wilson QB - SEA ,33.60,I. Crowell RB - CLE ,17.80,D. Johnson RB - ARI ,29.60,J. Landry WR - MIA ,2.90,O. Beckham WR - NYG ,15.00,T. Eifert TE - CIN ,0.00,T. Williams WR - LAC ,12.40,S. Hauschka K - SEA ,5.00,Chiefs DEF ,10.00,M. Forte RB - NYJ ,0.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,1.50,S. Bradford QB - MIN ,25.78,A. Green WR - CIN ,0.00,D. Brees QB - NO ,16.06,M. Floyd WR - NE ,0.60,C. Michael RB - GB ,0.50,S. Ware RB - KC ,8.20,T. Coleman RB - ATL ,19.50,J. James TE - PIT ,4.90,M. Jones RB - WAS ,0.00,K. Drake RB - MIA ,11.60,C. Coleman WR - CLE ,1.50,Rams DEF ,8.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,126.30,Will,85.78
Chris,10,A. Smith QB - KC ,22.36,D. Johnson RB - CLE ,4.90,J. Richard RB - LV ,13.90,P. Garcon WR - WAS ,9.40,Q. Enunwa WR - NYJ ,4.20,J. Witten TE - DAL ,9.30,J. Kearse WR - SEA ,9.70,J. Tucker K - BAL ,13.00,Vikings DEF ,0.00,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,12.24,D. Sproles RB - PHI ,12.30,M. Wallace WR - BAL ,2.10,C. Hogan WR - NE ,2.20,D. Allen TE - IND ,3.10,C. Anderson RB - DEN ,0.00,W. Snead WR - NO ,2.10,R. Rodgers TE - GB ,8.00,D. Williams RB - MIA ,5.10,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,B. Walsh K ,0.00,Steelers DEF ,4.00,-,-,-,-,86.76,Dannye Van,63.98
Matthew,9,K. Cousins QB - WAS ,29.80,J. Ajayi RB - MIA ,26.90,E. Elliott RB - DAL ,21.20,M. Sanu WR - ATL ,5.60,T. Lockett WR - SEA ,3.80,Z. Ertz TE - PHI ,3.30,T. Riddick RB - DET ,0.00,M. Crosby K - GB ,8.00,Redskins DEF ,11.00,J. Flacco QB - BAL ,14.48,E. Royal WR - CHI ,0.00,D. Lewis RB - NE ,5.70,R. Fitzpatrick QB - NYJ ,1.74,C. Ivory RB - JAX ,15.40,C. Fleener TE - NO ,3.00,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,2.10,J. Doyle TE - IND ,4.60,P. Dorsett WR - IND ,0.80,N. Agholor WR - PHI ,11.20,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,10.78,Texans DEF ,9.00,Z. Miller TE - CHI ,0.00,-,-,-,-,109.60,Tilly,79.46
