Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,18.48,M. Ingram RB - NO ,6.30,L. Miller RB - HOU ,8.30,J. Jones WR - ATL ,13.50,M. Evans WR - TB ,6.60,J. Reed TE - WAS ,4.10,S. Diggs WR - MIN ,16.40,S. Gostkowski K - NE ,6.00,Panthers DEF ,6.00,J. Maclin WR - KC ,0.00,J. Starks RB - GB ,10.40,V. Green TE - DEN ,2.40,B. Powell RB - NYJ ,14.90,C. Newton QB - CAR ,23.84,C. Palmer QB - ARI ,14.64,T. Benjamin WR - LAC ,0.00,A. Morris RB - DAL ,1.90,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,15.60,C. Fiedorowicz TE - HOU ,2.60,C. Brate TE - TB ,14.40,K. Dixon RB - BAL ,8.00,J. Lambo K - LAC ,6.00,Titans DEF ,11.00,-,-,-,-,85.68,Dannye Van,82.38
Dannye Van,8,J. Cutler QB - CHI ,5.98,J. Hill RB - CIN ,10.60,R. Kelley RB - WAS ,9.50,A. Jeffery WR - CHI ,4.70,K. Benjamin WR - CAR ,6.40,D. Walker TE - TEN ,18.40,D. Hopkins WR - HOU ,4.80,B. McManus K - DEN ,13.00,Broncos DEF ,9.00,J. Stewart RB - CAR ,3.90,M. Crabtree WR - LV ,0.00,K. Rudolph TE - MIN ,12.90,D. Martin RB - TB ,10.60,A. Luck QB - IND ,0.00,G. Bernard RB - CIN ,3.60,L. Murray RB - LV ,0.00,D. Carr QB - LV ,0.00,J. Matthews WR - PHI ,7.30,C. West RB - KC ,1.00,J. Langford RB - CHI ,2.60,D. Green-Beckham WR - PHI ,0.00,T. Sharpe WR - TEN ,12.80,P. Perkins RB - NYG ,3.10,T. Boyd WR - CIN ,1.20,K. White WR - CHI ,0.00,-,-,82.38,Will,85.68
Tilly,6,B. Roethlisberger QB - PIT ,28.42,T. West RB - BAL ,7.70,C. Prosise RB - SEA ,15.30,J. Nelson WR - GB ,18.60,T. Montgomery RB - GB ,2.00,M. Bennett TE - NE ,10.20,J. Edelman WR - NE ,7.90,R. Aguayo K - TB ,10.00,Packers DEF ,-3.00,A. Dalton QB - CIN ,11.66,C. Kaepernick QB - SF ,23.90,L. Kendricks TE - LA ,0.00,M. Asiata RB - MIN ,7.50,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,0.00,B. Osweiler QB - HOU ,14.26,C. Beasley WR - DAL ,3.30,R. Woods WR - BUF ,0.00,B. Cooks WR - NO ,15.80,J. McKinnon RB - MIN ,3.30,T. Rawls RB - SEA ,0.00,H. Henry TE - LAC ,7.10,A. Vinatieri K - IND ,0.00,Colts DEF ,0.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,97.12,Matthew,88.54
LeMar,3,M. Ryan QB - ATL ,12.68,D. Murray RB - TEN ,26.00,M. Gordon RB - LAC ,13.20,R. Cobb WR - GB ,3.10,R. Matthews WR - TEN ,12.30,G. Olsen TE - CAR ,3.90,R. Jennings RB - NYG ,10.90,R. Succop K - TEN ,13.00,Cardinals DEF ,6.00,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,5.50,M. Stafford QB - DET ,0.00,R. Mathews RB - PHI ,27.90,D. Thomas WR - DEN ,14.70,J. Thomas TE - JAX ,8.40,T. Smith WR - SF ,2.60,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,12.30,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,1.30,J. Goff QB - LA ,0.00,Seahawks DEF ,6.00,-,-,-,-,101.08,Chris,50.02
Quinten,7,A. Rodgers QB - GB ,27.54,C. Hyde RB - SF ,1.40,T. Yeldon RB - JAX ,5.90,A. Robinson WR - JAX ,18.70,J. Brown WR - ARI ,4.00,J. Graham TE - SEA ,4.80,E. Sanders WR - DEN ,5.40,C. Santos K - KC ,12.00,Patriots DEF ,2.00,D. Jackson WR - WAS ,0.00,J. Cook TE - GB ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,17.04,K. Juszczyk RB - BAL ,2.70,E. Ebron TE - DET ,0.00,D. Moncrief WR - IND ,0.00,C. Sims RB - TB ,0.00,J. Heuerman TE - DEN ,0.00,W. Fuller WR - HOU ,0.00,D. Henry RB - TEN ,3.10,M. Prater K - DET ,0.00,C. Barth K - CHI ,6.00,C. Catanzaro K - ARI ,11.00,Lions DEF ,0.00,-,-,-,-,81.74,Jeff,123.42
bob,5,D. Prescott QB - DAL ,18.76,L. Bell RB - PIT ,25.40,D. Freeman RB - ATL ,8.10,A. Brown WR - PIT ,20.40,M. Thomas WR - NO ,0.00,T. Kelce TE - KC ,5.10,D. Booker RB - DEN ,8.80,C. Sturgis K - PHI ,10.00,Chargers DEF ,3.00,G. Barnidge TE - CLE ,0.80,L. Blount RB - NE ,24.90,D. Bryant WR - DAL ,17.60,B. LaFell WR - CIN ,0.90,B. Marshall WR - NYJ ,1.50,M. Jones WR - DET ,0.00,R. Tannehill QB - MIA ,19.20,B. Bortles QB - JAX ,17.70,D. Parker WR - MIA ,10.30,J. Crowder WR - WAS ,10.40,D. Funchess WR - CAR ,11.60,T. Gurley RB - LA ,7.20,E. Rogers WR - PIT ,10.20,J. Howard RB - CHI ,8.00,Ravens DEF ,14.00,E. Decker WR - NYJ ,0.00,-,-,99.56,the old man,107.00
the old man,4,M. Mariota QB - TEN ,27.80,C. Thompson RB - WAS ,1.60,J. White RB - NE ,3.70,D. Baldwin WR - SEA ,23.90,S. Shepard WR - NYG ,10.20,R. Gronkowski TE - NE ,5.60,L. Fitzgerald WR - ARI ,13.20,D. Hopkins K - WAS ,16.00,Eagles DEF ,5.00,L. McCoy RB - BUF ,0.00,G. Tate WR - DET ,0.00,T. Taylor QB - BUF ,0.00,T. Brady QB - NE ,11.34,F. Gore RB - IND ,0.00,T. Pryor WR - CLE ,4.80,T. Hilton WR - IND ,0.00,T. Austin WR - LA ,2.90,M. Gillislee RB - BUF ,0.00,C. Walford TE - LV ,0.00,A. Cooper WR - LV ,0.00,T. Siemian QB - DEN ,14.82,D. Washington RB - LV ,0.00,M. Bryant K - ATL ,9.00,Bills DEF ,0.00,A. Abdullah RB - DET ,0.00,-,-,107.00,bob,99.56
Jeff,1,D. Brees QB - NO ,21.02,M. Forte RB - NYJ ,10.90,D. Johnson RB - ARI ,22.10,A. Green WR - CIN ,12.80,O. Beckham WR - NYG ,15.70,T. Eifert TE - CIN ,9.60,J. Landry WR - MIA ,5.30,S. Hauschka K - SEA ,13.00,Chiefs DEF ,13.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,10.90,S. Bradford QB - MIN ,18.28,M. Floyd WR - NE ,10.10,R. Wilson QB - SEA ,26.52,C. Michael RB - GB ,2.60,S. Ware RB - KC ,7.20,I. Crowell RB - CLE ,5.30,T. Coleman RB - ATL ,0.00,J. James TE - PIT ,5.90,M. Jones RB - WAS ,0.00,T. Williams WR - LAC ,18.50,K. Drake RB - MIA ,0.90,C. Coleman WR - CLE ,1.70,Rams DEF ,10.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,123.42,Quinten,81.74
Chris,10,A. Smith QB - KC ,8.42,D. Sproles RB - PHI ,7.60,D. Johnson RB - CLE ,3.10,J. Kearse WR - SEA ,2.60,W. Snead WR - NO ,16.70,J. Witten TE - DAL ,5.90,Q. Enunwa WR - NYJ ,0.70,B. Walsh K ,2.00,Vikings DEF ,3.00,P. Garcon WR - WAS ,8.10,D. Amendola WR - NE ,1.40,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,18.00,M. Wallace WR - BAL ,5.90,C. Hogan WR - NE ,0.00,D. Allen TE - IND ,0.00,C. Anderson RB - DEN ,0.00,R. Rodgers TE - GB ,2.70,D. Williams RB - MIA ,14.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.90,J. Richard RB - LV ,0.00,J. Tucker K - BAL ,8.00,Steelers DEF ,0.00,-,-,-,-,50.02,LeMar,101.08
Matthew,9,C. Wentz QB - PHI ,8.24,J. Ajayi RB - MIA ,8.00,E. Elliott RB - DAL ,38.90,M. Sanu WR - ATL ,1.40,N. Agholor WR - PHI ,0.70,Z. Ertz TE - PHI ,5.50,K. Wright WR - TEN ,6.80,M. Crosby K - GB ,7.00,Texans DEF ,12.00,J. Flacco QB - BAL ,22.14,E. Royal WR - CHI ,2.40,Z. Miller TE - CHI ,3.20,D. Lewis RB - NE ,0.00,R. Fitzpatrick QB - NYJ ,0.00,C. Ivory RB - JAX ,4.10,K. Cousins QB - WAS ,18.38,C. Fleener TE - NO ,2.60,L. Green TE - PIT ,3.00,T. Riddick RB - DET ,0.00,J. Doyle TE - IND ,0.00,P. Dorsett WR - IND ,0.00,T. Lockett WR - SEA ,7.20,J. Allen RB - BAL ,0.30,Redskins DEF ,6.00,-,-,-,-,88.54,Tilly,97.12
