Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,1,C. Newton QB - CAR ,29.82,L. Blount RB - NE ,18.30,L. Miller RB - HOU ,9.70,J. Jones WR - ATL ,16.60,A. Brown WR - PIT ,3.90,J. Reed TE - WAS ,7.00,S. Diggs WR - MIN ,24.20,S. Gostkowski K - NE ,7.00,Panthers DEF ,14.00,J. Maclin WR - KC ,6.80,V. Green TE - DEN ,4.60,B. Powell RB - NYJ ,0.30,C. Palmer QB - ARI ,24.16,K. Aiken WR - BAL ,0.00,T. Benjamin WR - LAC ,23.40,A. Morris RB - DAL ,6.70,J. Gordon WR - CLE ,0.00,A. Ellington RB - ARI ,1.10,C. Thompson RB - WAS ,5.80,S. Watkins WR - BUF ,2.00,D. Adams WR - GB ,0.60,J. McKinnon RB - MIN ,0.10,K. Dixon RB - BAL ,0.00,Falcons DEF ,0.00,130.52,Tilly,92.96
Dannye Van,3,D. Carr QB - LV ,24.96,L. Murray RB - LV ,16.10,J. Langford RB - CHI ,7.40,A. Jeffery WR - CHI ,9.60,K. Benjamin WR - CAR ,22.80,D. Walker TE - TEN ,14.30,D. Hopkins WR - HOU ,17.30,C. Boswell K - PIT ,6.00,Broncos DEF ,22.00,J. Stewart RB - CAR ,1.60,M. Crabtree WR - LV ,9.10,A. Foster RB - MIA ,0.90,K. Rudolph TE - MIN ,9.10,A. Luck QB - IND ,10.08,G. Bernard RB - CIN ,15.70,J. Landry WR - MIA ,11.50,J. Matthews WR - PHI ,7.10,J. Hill RB - CIN ,5.90,K. Williams RB - PIT ,0.00,D. Green-Beckham WR - PHI ,1.80,K. White WR - CHI ,4.50,T. Sharpe WR - TEN ,3.30,P. Perkins RB - NYG ,0.00,T. Boyd WR - CIN ,5.80,140.46,LeMar,129.04
Tilly,5,B. Roethlisberger QB - PIT ,19.76,D. Williams RB - PIT ,19.20,A. Peterson RB - MIN ,2.60,J. Nelson WR - GB ,13.30,B. Cooks WR - NO ,6.80,V. McDonald TE - SF ,13.50,T. Rawls RB - SEA ,0.80,A. Vinatieri K - IND ,10.00,Chiefs DEF ,7.00,M. Bennett TE - NE ,17.40,J. Edelman WR - NE ,7.60,J. Starks RB - GB ,1.90,A. Dalton QB - CIN ,19.34,V. Jackson WR - TB ,4.40,V. Cruz WR - NYG ,7.10,B. Osweiler QB - HOU ,10.42,R. Woods WR - BUF ,1.00,J. Winston QB - TB ,4.62,T. Montgomery RB - GB ,0.00,P. Lynch QB - DEN ,0.00,H. Henry TE - LAC ,0.00,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,1.00,Colts DEF ,3.00,92.96,Will,130.52
LeMar,9,M. Ryan QB - ATL ,27.84,D. Murray RB - TEN ,14.50,M. Gordon RB - LAC ,18.00,T. Smith WR - SF ,11.50,R. Matthews WR - TEN ,4.00,G. Olsen TE - CAR ,18.20,E. Lacy RB - GB ,5.00,D. Carpenter K - BUF ,7.00,Cardinals DEF ,23.00,T. Hightower RB - NO ,0.90,R. Jennings RB - NYG ,4.00,M. Stafford QB - DET ,15.50,R. Mathews RB - PHI ,15.50,D. Thomas WR - DEN ,11.00,J. Thomas TE - JAX ,7.10,R. Cobb WR - GB ,4.30,A. Gates TE - LAC ,7.50,M. Wheaton WR - PIT ,0.00,K. Davis RB - KC ,0.00,A. Seferian-Jenkins TE - NYJ ,1.40,A. Hurns WR - JAX ,6.40,C. Coleman WR - CLE ,22.40,J. Goff QB - LA ,0.00,Seahawks DEF ,7.00,129.04,Dannye Van,140.46
Quinten,2,A. Rodgers QB - GB ,17.42,S. Vereen RB - NYG ,4.60,C. Hyde RB - SF ,3.20,A. Robinson WR - JAX ,5.40,W. Fuller WR - HOU ,10.40,J. Graham TE - SEA ,4.20,E. Sanders WR - DEN ,3.90,C. Catanzaro K - ARI ,10.00,Patriots DEF ,8.00,D. Jackson WR - WAS ,4.00,J. Cook TE - GB ,3.10,P. Rivers QB - LAC ,23.80,E. Ebron TE - DET ,5.30,D. Moncrief WR - IND ,0.90,C. Sims RB - TB ,2.80,J. Brown WR - ARI ,1.40,T. Yeldon RB - JAX ,3.80,D. Henry RB - TEN ,4.90,C. Santos K - KC ,14.00,Lions DEF ,8.00,-,-,-,-,-,-,-,-,67.12,Matthew,65.80
bob,8,B. Bortles QB - JAX ,18.56,M. Ingram RB - NO ,4.70,T. Gurley RB - LA ,7.00,D. Bryant WR - DAL ,10.20,B. Marshall WR - NYJ ,10.10,G. Barnidge TE - CLE ,3.70,M. Evans WR - TB ,13.00,G. Gano K - CAR ,16.00,Ravens DEF ,8.00,E. Decker WR - NYJ ,18.60,C. Clay TE - BUF ,2.70,D. Lewis RB - NE ,0.00,M. Jones WR - DET ,11.80,R. Tannehill QB - MIA ,22.98,L. Bell RB - PIT ,0.00,T. Kelce TE - KC ,3.40,D. Freeman RB - ATL ,9.30,D. Parker WR - MIA ,10.60,D. Funchess WR - CAR ,7.90,E. Rogers WR - PIT ,0.90,D. Booker RB - DEN ,5.10,D. Prescott QB - DAL ,18.28,M. Thomas WR - NO ,5.60,Jets DEF ,2.00,91.26,Chris,86.42
the old man,7,M. Mariota QB - TEN ,16.62,J. Forsett RB - DEN ,4.60,L. McCoy RB - BUF ,9.00,D. Baldwin WR - SEA ,2.00,A. Cooper WR - LV ,7.10,C. Walford TE - LV ,11.00,L. Fitzgerald WR - ARI ,14.10,D. Bailey K - DAL ,9.00,Eagles DEF ,10.00,R. Gronkowski TE - NE ,0.00,G. Tate WR - DET ,1.30,T. Taylor QB - BUF ,24.38,T. Brady QB - NE ,0.00,F. Gore RB - IND ,12.30,T. Ginn WR - CAR ,3.60,T. Hilton WR - IND ,4.10,R. Turbin RB - IND ,7.00,T. Austin WR - LA ,5.60,J. White RB - NE ,2.90,J. Garoppolo QB - NE ,21.28,A. Abdullah RB - DET ,3.80,S. Shepard WR - NYG ,11.70,D. Washington RB - LV ,5.20,Bengals DEF ,5.00,83.42,Jeff,96.12
Jeff,6,D. Brees QB - NO ,14.52,M. Forte RB - NYJ ,28.90,D. Woodhead RB - LAC ,3.10,A. Green WR - CIN ,3.80,O. Beckham WR - NYG ,8.60,J. James TE - PIT ,8.90,D. Johnson RB - ARI ,14.30,S. Hauschka K - SEA ,3.00,Rams DEF ,11.00,J. Charles RB - KC ,0.00,K. Britt WR - LA ,9.40,M. Floyd WR - NE ,6.80,D. Martin RB - TB ,2.30,R. Wilson QB - SEA ,11.56,C. Michael RB - GB ,6.60,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,0.00,S. Ware RB - KC ,8.50,M. Bryant WR - PIT ,0.00,I. Crowell RB - CLE ,20.80,T. Coleman RB - ATL ,13.10,M. Jones RB - WAS ,12.50,K. Drake RB - MIA ,7.80,J. Doctson WR - WAS ,5.70,96.12,the old man,83.42
Chris,4,E. Manning QB - NYG ,12.32,C. Anderson RB - DEN ,15.30,J. Richard RB - LV ,2.70,J. Kearse WR - SEA ,1.10,W. Snead WR - NO ,11.40,D. Allen TE - IND ,2.50,M. Wallace WR - BAL ,16.10,J. Tucker K - BAL ,13.00,Vikings DEF ,12.00,P. Garcon WR - WAS ,2.50,D. Amendola WR - NE ,14.80,B. Gabbert QB - SF ,20.72,J. Witten TE - DAL ,5.10,A. Smith QB - KC ,3.64,D. Sproles RB - PHI ,4.80,C. Hogan WR - NE ,5.90,C. Beasley WR - DAL ,7.50,A. Blue RB - HOU ,1.10,R. Rodgers TE - GB ,2.50,D. Johnson RB - CLE ,5.60,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,1.10,B. Walsh K ,5.00,Steelers DEF ,6.00,86.42,bob,91.26
Matthew,10,C. Wentz QB - PHI ,12.60,T. Riddick RB - DET ,6.50,E. Elliott RB - DAL ,12.70,E. Royal WR - CHI ,5.20,N. Agholor WR - PHI ,4.20,J. Doyle TE - IND ,3.70,M. Sanu WR - ATL ,1.90,N. Novak K - HOU ,13.00,Redskins DEF ,6.00,J. Flacco QB - BAL ,16.18,Z. Miller TE - CHI ,3.30,R. Fitzpatrick QB - NYJ ,21.06,C. Ivory RB - JAX ,0.00,K. Cousins QB - WAS ,18.56,C. Fleener TE - NO ,2.90,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,0.00,Z. Ertz TE - PHI ,0.00,P. Dorsett WR - IND ,3.00,T. Lockett WR - SEA ,9.90,J. Ajayi RB - MIA ,2.50,J. Allen RB - BAL ,0.00,M. Crosby K - GB ,2.00,Texans DEF ,14.00,65.80,Quinten,67.12
