Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,1,J. Winston QB - TB ,15.36,L. Blount RB - NE ,9.70,L. Miller RB - HOU ,2.40,J. Jones WR - ATL ,2.90,A. Brown WR - PIT ,13.80,J. Reed TE - WAS ,5.30,T. Benjamin WR - LAC ,11.70,S. Gostkowski K - NE ,7.00,Dolphins DEF ,5.00,J. Maclin WR - KC ,0.00,B. Hoyer QB - CHI ,23.78,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,5.10,C. Newton QB - CAR ,0.00,C. Palmer QB - ARI ,0.00,A. Morris RB - DAL ,3.30,J. Gordon WR - CLE ,0.00,F. Whittaker RB - CAR ,5.40,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,14.50,C. Brate TE - TB ,3.80,S. Diggs WR - MIN ,0.00,K. Dixon RB - BAL ,0.50,Panthers DEF ,3.00,-,-,73.16,bob,121.38
Dannye Van,9,A. Luck QB - IND ,22.18,G. Bernard RB - CIN ,9.60,J. Hill RB - CIN ,1.20,M. Crabtree WR - LV ,10.70,K. Benjamin WR - CAR ,7.00,K. Rudolph TE - MIN ,1.50,J. Matthews WR - PHI ,6.50,C. Boswell K - PIT ,7.00,Broncos DEF ,4.00,J. Stewart RB - CAR ,0.00,A. Foster RB - MIA ,0.00,D. Walker TE - TEN ,12.60,A. Jeffery WR - CHI ,7.70,D. Hopkins WR - HOU ,11.60,L. Murray RB - LV ,0.00,J. Landry WR - MIA ,3.00,D. Carr QB - LV ,21.98,J. Langford RB - CHI ,0.00,D. Green-Beckham WR - PHI ,4.30,T. Sharpe WR - TEN ,1.70,P. Perkins RB - NYG ,2.20,T. Boyd WR - CIN ,3.30,D. Washington RB - DET ,0.00,K. White WR - CHI ,0.00,-,-,69.68,Matthew,111.92
Tilly,3,B. Roethlisberger QB - PIT ,29.20,T. West RB - BAL ,8.90,J. McKinnon RB - MIN ,4.60,J. Nelson WR - GB ,9.80,C. Beasley WR - DAL ,11.30,M. Bennett TE - NE ,24.70,J. Edelman WR - NE ,3.50,A. Vinatieri K - IND ,21.00,Packers DEF ,7.00,A. Dalton QB - CIN ,22.16,D. Williams RB - PIT ,0.00,V. Jackson WR - TB ,3.60,A. Peterson RB - MIN ,0.00,V. Cruz WR - NYG ,0.00,B. Osweiler QB - HOU ,9.36,R. Woods WR - BUF ,2.60,B. Cooks WR - NO ,0.00,C. Uzomah TE - CIN ,4.30,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,12.72,H. Henry TE - LAC ,13.40,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,9.00,Colts DEF ,2.00,-,-,120.00,Chris,51.56
LeMar,7,M. Stafford QB - DET ,18.80,D. Murray RB - TEN ,13.70,J. Rodgers RB - TB ,12.90,R. Matthews WR - TEN ,9.20,M. Wheaton WR - PIT ,1.90,G. Olsen TE - CAR ,18.10,M. Gordon RB - LAC ,12.70,M. Bryant K - ATL ,11.00,Cardinals DEF ,15.00,M. Ryan QB - ATL ,14.98,T. Hightower RB - NO ,0.00,R. Jennings RB - NYG ,0.00,R. Mathews RB - PHI ,11.50,D. Thomas WR - DEN ,10.90,J. Thomas TE - JAX ,0.00,R. Cobb WR - GB ,10.80,T. Smith WR - SF ,0.00,A. Gates TE - LAC ,7.00,E. Lacy RB - GB ,8.40,K. Davis RB - KC ,0.00,A. Seferian-Jenkins TE - NYJ ,1.70,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,0.00,Seahawks DEF ,0.00,-,-,113.30,Jeff,90.04
Quinten,6,A. Rodgers QB - GB ,15.86,C. Hyde RB - SF ,17.40,C. Sims RB - TB ,0.00,D. Jackson WR - WAS ,3.50,W. Fuller WR - HOU ,0.40,E. Ebron TE - DET ,0.00,E. Sanders WR - DEN ,8.00,C. Catanzaro K - ARI ,7.00,Patriots DEF ,10.00,J. Cook TE - GB ,0.00,J. Graham TE - SEA ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,26.36,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.00,J. Brown WR - ARI ,1.10,J. Heuerman TE - DEN ,0.00,T. Yeldon RB - JAX ,0.00,D. Henry RB - TEN ,5.40,C. Santos K - KC ,0.00,Lions DEF ,7.00,-,-,-,-,-,-,-,-,62.16,the old man,115.04
bob,4,D. Prescott QB - DAL ,17.48,L. Bell RB - PIT ,15.40,J. Howard RB - CHI ,22.30,B. Marshall WR - NYJ ,17.40,M. Evans WR - TB ,14.90,G. Barnidge TE - CLE ,7.60,D. Freeman RB - ATL ,18.30,G. Gano K - CAR ,2.00,Ravens DEF ,6.00,D. Bryant WR - DAL ,0.00,E. Decker WR - NYJ ,0.00,M. Ingram RB - NO ,0.00,M. Jones WR - DET ,9.70,R. Tannehill QB - MIA ,3.64,T. Kelce TE - KC ,0.00,B. Bortles QB - JAX ,0.00,C. Artis-Payne RB - CAR ,20.50,D. Parker WR - MIA ,7.00,D. Funchess WR - CAR ,0.00,T. Gurley RB - LA ,14.80,E. Rogers WR - PIT ,0.00,D. Booker RB - DEN ,5.90,M. Thomas WR - NO ,0.00,Jets DEF ,2.00,-,-,121.38,Will,73.16
the old man,5,T. Brady QB - NE ,29.64,L. McCoy RB - BUF ,15.80,F. Gore RB - IND ,7.90,T. Hilton WR - IND ,23.10,S. Shepard WR - NYG ,1.40,R. Gronkowski TE - NE ,10.90,T. Pryor WR - CLE ,5.30,D. Hopkins K - WAS ,4.00,Bills DEF ,17.00,J. Forsett RB - DEN ,0.00,G. Tate WR - DET ,4.50,T. Taylor QB - BUF ,15.76,L. Fitzgerald WR - ARI ,20.10,D. Baldwin WR - SEA ,0.00,R. Turbin RB - IND ,0.00,T. Austin WR - LA ,8.50,J. White RB - NE ,8.90,C. Walford TE - LV ,0.00,M. Mariota QB - TEN ,30.52,A. Cooper WR - LV ,21.80,T. Siemian QB - DEN ,0.00,D. Washington RB - LV ,5.20,D. Bailey K - DAL ,4.00,Eagles DEF ,6.00,A. Abdullah RB - DET ,0.00,115.04,Quinten,62.16
Jeff,2,S. Bradford QB - MIN ,18.64,M. Forte RB - NYJ ,6.00,D. Johnson RB - ARI ,30.50,A. Green WR - CIN ,5.00,O. Beckham WR - NYG ,11.60,J. James TE - PIT ,10.30,I. Crowell RB - CLE ,4.00,M. Nugent K ,2.00,Rams DEF ,2.00,J. Charles RB - KC ,0.00,D. Woodhead RB - LAC ,0.00,K. Britt WR - LA ,7.50,D. Brees QB - NO ,0.00,M. Floyd WR - NE ,0.00,D. Martin RB - TB ,0.00,R. Wilson QB - SEA ,0.00,C. Michael RB - GB ,0.00,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,0.00,S. Ware RB - KC ,0.00,M. Bryant WR - PIT ,0.00,T. Coleman RB - ATL ,22.30,M. Jones RB - WAS ,3.60,K. Drake RB - MIA ,2.00,-,-,90.04,LeMar,113.30
Chris,10,E. Manning QB - NYG ,10.06,C. Anderson RB - DEN ,6.20,D. Johnson RB - CLE ,2.20,M. Wallace WR - BAL ,6.30,Q. Enunwa WR - NYJ ,5.10,R. Rodgers TE - GB ,0.60,D. Amendola WR - NE ,1.10,J. Tucker K - BAL ,4.00,Vikings DEF ,16.00,P. Garcon WR - WAS ,11.60,B. Gabbert QB - SF ,19.48,J. Witten TE - DAL ,4.30,A. Smith QB - KC ,0.00,D. Sproles RB - PHI ,6.80,C. Hogan WR - NE ,11.60,J. Kearse WR - SEA ,0.00,D. Allen TE - IND ,11.00,A. Blue RB - HOU ,3.90,W. Snead WR - NO ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.20,J. Richard RB - LV ,9.70,B. Walsh K ,7.00,Steelers DEF ,7.00,-,-,51.56,Tilly,120.00
Matthew,8,C. Wentz QB - PHI ,16.92,J. Ajayi RB - MIA ,10.20,E. Elliott RB - DAL ,29.10,P. Dorsett WR - IND ,2.60,N. Agholor WR - PHI ,3.20,Z. Ertz TE - PHI ,3.70,T. Riddick RB - DET ,20.20,M. Crosby K - GB ,11.00,Redskins DEF ,15.00,J. Flacco QB - BAL ,13.00,E. Royal WR - CHI ,4.30,Z. Miller TE - CHI ,7.30,R. Fitzpatrick QB - NYJ ,15.10,C. Ivory RB - JAX ,0.00,K. Cousins QB - WAS ,12.30,C. Fleener TE - NO ,0.00,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,0.90,M. Sanu WR - ATL ,2.30,J. Doyle TE - IND ,0.80,T. Lockett WR - SEA ,0.00,J. Allen RB - BAL ,1.80,N. Novak K - HOU ,7.00,Texans DEF ,1.00,-,-,111.92,Dannye Van,69.68
