Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,15.30,L. Miller RB - HOU ,1.80,L. Murray RB - LV ,22.50,M. Evans WR - TB ,5.80,D. Adams WR - GB ,1.70,C. Fiedorowicz TE - HOU ,4.40,J. Jones WR - ATL ,11.30,S. Gostkowski K - NE ,14.00,Dolphins DEF ,0.00,J. Maclin WR - KC ,0.00,J. Starks RB - GB ,0.10,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,0.30,C. Newton QB - CAR ,12.48,M. Ingram RB - NO ,5.30,C. Palmer QB - ARI ,23.90,T. Benjamin WR - LAC ,2.40,A. Morris RB - DAL ,1.10,J. Reed TE - WAS ,0.00,C. Brate TE - TB ,14.60,S. Diggs WR - MIN ,5.90,K. White WR - CHI ,0.00,J. Lambo K - LAC ,3.00,Panthers DEF ,1.00,-,-,-,-,76.80,Quinten,71.16
Dannye Van,8,D. Carr QB - LV ,20.80,D. Martin RB - TB ,12.80,J. Hill RB - CIN ,10.50,S. Watkins WR - BUF ,3.80,T. Boyd WR - CIN ,6.60,K. Rudolph TE - MIN ,4.50,D. Hopkins WR - HOU ,11.80,B. McManus K - DEN ,8.00,Broncos DEF ,17.00,J. Stewart RB - CAR ,3.30,M. Crabtree WR - LV ,13.40,D. Walker TE - TEN ,0.00,A. Luck QB - IND ,29.72,A. Jeffery WR - CHI ,0.00,K. Benjamin WR - CAR ,1.80,J. Matthews WR - PHI ,0.00,J. Langford RB - CHI ,0.20,D. Green-Beckham WR - PHI ,2.90,K. Dixon RB - BAL ,7.70,T. Sharpe WR - TEN ,0.00,P. Perkins RB - NYG ,3.80,T. Hill WR - KC ,7.20,R. Kelley RB - WAS ,6.30,D. Bailey K - DAL ,5.00,G. Bernard RB - CIN ,0.00,-,-,95.80,Jeff,116.54
Tilly,7,B. Roethlisberger QB - PIT ,17.56,T. West RB - BAL ,18.80,T. Rawls RB - SEA ,23.80,J. Edelman WR - NE ,10.10,C. Beasley WR - DAL ,2.30,M. Bennett TE - NE ,0.40,J. Nelson WR - GB ,17.80,A. Vinatieri K - IND ,13.00,Giants DEF ,6.00,A. Dalton QB - CIN ,22.18,C. Kaepernick QB - SF ,2.16,L. Kendricks TE - LA ,1.30,M. Asiata RB - MIN ,2.70,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,0.00,B. Osweiler QB - HOU ,17.28,R. Woods WR - BUF ,0.00,B. Cooks WR - NO ,7.70,J. McKinnon RB - MIN ,11.50,T. Montgomery RB - GB ,5.60,H. Henry TE - LAC ,1.40,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,8.00,Cowboys DEF ,6.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,109.76,the old man,86.66
LeMar,6,M. Stafford QB - DET ,23.84,T. Hightower RB - NO ,0.90,M. Gordon RB - LAC ,19.80,D. Thomas WR - DEN ,6.10,R. Cobb WR - GB ,7.90,G. Olsen TE - CAR ,3.00,R. Jennings RB - NYG ,11.30,W. Lutz K - NO ,7.00,Seahawks DEF ,8.00,M. Ryan QB - ATL ,16.18,J. Tamme TE - ATL ,0.00,R. Mathews RB - PHI ,0.00,D. Murray RB - TEN ,0.00,J. Thomas TE - JAX ,0.00,T. Smith WR - SF ,0.00,J. Rodgers RB - TB ,5.00,A. Gates TE - LAC ,3.70,R. Matthews WR - TEN ,0.00,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,6.34,Cardinals DEF ,6.00,-,-,-,-,87.84,bob,118.56
Quinten,5,A. Rodgers QB - GB ,15.96,C. Hyde RB - SF ,9.80,W. Smallwood RB - PHI ,1.90,E. Sanders WR - DEN ,3.20,A. Robinson WR - JAX ,3.10,J. Graham TE - SEA ,12.30,W. Fuller WR - HOU ,5.90,C. Catanzaro K - ARI ,7.00,Patriots DEF ,12.00,D. Jackson WR - WAS ,5.90,J. Cook TE - GB ,1.90,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,14.80,K. Juszczyk RB - BAL ,0.60,E. Ebron TE - DET ,3.80,D. Moncrief WR - IND ,8.60,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,0.00,T. Yeldon RB - JAX ,8.20,D. Henry RB - TEN ,0.00,M. Prater K - DET ,18.00,C. Barth K - CHI ,6.00,C. Santos K - KC ,3.00,Lions DEF ,11.00,-,-,-,-,71.16,Will,76.80
bob,3,D. Prescott QB - DAL ,11.26,L. Blount RB - NE ,14.80,L. Bell RB - PIT ,16.20,A. Brown WR - PIT ,11.40,M. Thomas WR - NO ,4.20,T. Kelce TE - KC ,14.00,J. Howard RB - CHI ,29.70,C. Sturgis K - PHI ,2.00,Ravens DEF ,15.00,G. Barnidge TE - CLE ,0.00,D. Bryant WR - DAL ,14.40,B. LaFell WR - CIN ,15.50,B. Marshall WR - NYJ ,4.30,M. Jones WR - DET ,0.00,R. Tannehill QB - MIA ,7.04,B. Bortles QB - JAX ,10.14,D. Freeman RB - ATL ,22.50,D. Parker WR - MIA ,9.40,J. Crowder WR - WAS ,10.20,D. Funchess WR - CAR ,4.40,T. Gurley RB - LA ,4.70,E. Rogers WR - PIT ,1.80,D. Booker RB - DEN ,9.70,Chargers DEF ,3.00,E. Decker WR - NYJ ,0.00,-,-,118.56,LeMar,87.84
the old man,4,T. Brady QB - NE ,14.86,L. McCoy RB - BUF ,19.10,F. Gore RB - IND ,7.90,L. Fitzgerald WR - ARI ,7.80,T. Gabriel WR - ATL ,4.40,V. Davis TE - WAS ,4.70,A. Cooper WR - LV ,11.90,D. Hopkins K - WAS ,13.00,Eagles DEF ,3.00,G. Tate WR - DET ,20.50,T. Taylor QB - BUF ,12.64,D. Baldwin WR - SEA ,6.50,T. Pryor WR - CLE ,0.00,T. Hilton WR - IND ,14.60,T. Austin WR - LA ,0.00,M. Gillislee RB - BUF ,16.90,C. Thompson RB - WAS ,4.50,J. White RB - NE ,3.50,C. Walford TE - LV ,1.80,M. Mariota QB - TEN ,0.00,T. Siemian QB - DEN ,0.00,S. Shepard WR - NYG ,8.10,M. Bryant K - ATL ,12.00,Bills DEF ,-4.00,R. Gronkowski TE - NE ,0.00,A. Abdullah RB - DET ,0.00,86.66,Tilly,109.76
Jeff,1,D. Brees QB - NO ,7.04,S. Ware RB - KC ,17.20,D. Johnson RB - ARI ,29.50,O. Beckham WR - NYG ,10.00,T. Williams WR - LAC ,10.70,T. Eifert TE - CIN ,8.50,J. Landry WR - MIA ,8.60,S. Hauschka K - SEA ,16.00,Chiefs DEF ,9.00,M. Forte RB - NYJ ,7.90,J. Charles RB - KC ,0.00,K. Britt WR - LA ,12.70,S. Bradford QB - MIN ,14.88,A. Green WR - CIN ,0.00,M. Floyd WR - NE ,7.80,R. Wilson QB - SEA ,15.98,C. Michael RB - GB ,1.90,I. Crowell RB - CLE ,0.00,T. Coleman RB - ATL ,4.90,J. James TE - PIT ,3.20,M. Jones RB - WAS ,0.00,K. Drake RB - MIA ,0.50,C. Coleman WR - CLE ,0.00,Rams DEF ,0.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,116.54,Dannye Van,95.80
Chris,10,E. Manning QB - NYG ,11.70,D. Sproles RB - PHI ,10.90,J. Richard RB - LV ,5.30,P. Garcon WR - WAS ,7.80,M. Wallace WR - BAL ,5.90,J. Witten TE - DAL ,0.00,W. Snead WR - NO ,3.80,J. Tucker K - BAL ,10.00,Steelers DEF ,9.00,D. Amendola WR - NE ,3.00,B. Gabbert QB - SF ,1.50,A. Smith QB - KC ,12.50,C. Hogan WR - NE ,8.30,J. Kearse WR - SEA ,6.80,D. Allen TE - IND ,25.20,C. Anderson RB - DEN ,0.00,Q. Enunwa WR - NYJ ,1.00,R. Rodgers TE - GB ,1.60,D. Williams RB - MIA ,0.90,D. Johnson RB - CLE ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,B. Walsh K ,0.00,Vikings DEF ,8.00,-,-,-,-,64.40,Matthew,90.04
Matthew,9,K. Cousins QB - WAS ,16.84,J. Ajayi RB - MIA ,8.70,E. Elliott RB - DAL ,16.50,M. Sanu WR - ATL ,2.60,T. Lockett WR - SEA ,19.80,Z. Ertz TE - PHI ,13.90,T. Riddick RB - DET ,7.70,M. Crosby K - GB ,3.00,Redskins DEF ,1.00,J. Flacco QB - BAL ,29.24,E. Royal WR - CHI ,0.00,D. Lewis RB - NE ,3.80,R. Fitzpatrick QB - NYJ ,1.54,C. Ivory RB - JAX ,0.00,C. Fleener TE - NO ,8.60,L. Green TE - PIT ,17.00,K. Wright WR - TEN ,0.00,J. Doyle TE - IND ,1.00,P. Dorsett WR - IND ,0.70,N. Agholor WR - PHI ,2.70,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,12.62,Texans DEF ,3.00,Z. Miller TE - CHI ,0.00,-,-,-,-,90.04,Chris,64.40
