Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,8.96,L. Miller RB - HOU ,18.20,L. Murray RB - LV ,16.30,M. Evans WR - TB ,4.20,D. Adams WR - GB ,16.40,C. Fiedorowicz TE - HOU ,3.20,J. Jones WR - ATL ,0.00,S. Gostkowski K - NE ,4.00,Dolphins DEF ,11.00,J. Maclin WR - KC ,1.60,J. Starks RB - GB ,0.30,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,29.90,C. Newton QB - CAR ,11.50,M. Ingram RB - NO ,2.30,C. Palmer QB - ARI ,10.30,T. Benjamin WR - LAC ,-0.20,A. Morris RB - DAL ,0.00,J. Reed TE - WAS ,1.00,C. Brate TE - TB ,4.70,S. Diggs WR - MIN ,5.50,K. White WR - CHI ,0.00,J. Lambo K - LAC ,4.00,Panthers DEF ,18.00,-,-,-,-,82.26,-,-
Dannye Van,8,D. Carr QB - LV ,4.98,D. Martin RB - TB ,14.50,J. Hill RB - CIN ,20.20,S. Watkins WR - BUF ,11.40,T. Boyd WR - CIN ,8.90,K. Rudolph TE - MIN ,12.00,D. Hopkins WR - HOU ,3.30,B. McManus K - DEN ,4.00,Broncos DEF ,6.00,J. Stewart RB - CAR ,12.60,M. Crabtree WR - LV ,2.10,D. Walker TE - TEN ,3.80,A. Luck QB - IND ,16.24,A. Jeffery WR - CHI ,0.00,K. Benjamin WR - CAR ,1.10,J. Matthews WR - PHI ,7.90,J. Langford RB - CHI ,0.50,D. Green-Beckham WR - PHI ,0.00,K. Dixon RB - BAL ,14.10,T. Sharpe WR - TEN ,0.00,P. Perkins RB - NYG ,4.50,T. Hill WR - KC ,10.80,R. Kelley RB - WAS ,14.80,D. Bailey K - DAL ,1.00,G. Bernard RB - CIN ,0.00,-,-,85.28,-,-
Tilly,7,B. Roethlisberger QB - PIT ,2.60,T. West RB - BAL ,2.60,T. Rawls RB - SEA ,7.40,J. Edelman WR - NE ,7.30,C. Beasley WR - DAL ,4.10,M. Bennett TE - NE ,13.00,J. Nelson WR - GB ,16.10,A. Vinatieri K - IND ,5.00,Giants DEF ,13.00,A. Dalton QB - CIN ,16.90,L. Kendricks TE - LA ,1.30,M. Asiata RB - MIN ,9.10,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,0.40,B. Osweiler QB - HOU ,3.68,R. Woods WR - BUF ,2.90,B. Cooks WR - NO ,6.10,J. McKinnon RB - MIN ,6.90,T. Montgomery RB - GB ,14.60,H. Henry TE - LAC ,7.30,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,10.00,Cowboys DEF ,13.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,-,-,71.10,-,-
LeMar,6,M. Stafford QB - DET ,16.42,D. Murray RB - TEN ,15.20,M. Gordon RB - LAC ,0.50,D. Thomas WR - DEN ,12.60,R. Cobb WR - GB ,3.30,G. Olsen TE - CAR ,8.70,R. Jennings RB - NYG ,5.70,W. Lutz K - NO ,9.00,Cardinals DEF ,7.00,M. Ryan QB - ATL ,21.48,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,3.90,R. Mathews RB - PHI ,6.00,J. Thomas TE - JAX ,0.00,T. Smith WR - SF ,0.00,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,6.10,R. Matthews WR - TEN ,2.60,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,9.60,Seahawks DEF ,-3.00,-,-,-,-,78.42,bob,102.90
Quinten,5,A. Rodgers QB - GB ,21.24,W. Smallwood RB - PHI ,0.30,D. Henry RB - TEN ,4.70,E. Sanders WR - DEN ,16.00,A. Robinson WR - JAX ,1.70,J. Graham TE - SEA ,1.60,D. Moncrief WR - IND ,0.00,C. Catanzaro K - ARI ,5.00,Patriots DEF ,6.00,D. Jackson WR - WAS ,16.20,J. Cook TE - GB ,1.50,S. Vereen RB - NYG ,1.00,P. Rivers QB - LAC ,7.44,K. Juszczyk RB - BAL ,4.60,E. Ebron TE - DET ,3.20,C. Hyde RB - SF ,26.00,C. Sims RB - TB ,5.00,J. Brown WR - ARI ,0.00,T. Yeldon RB - JAX ,9.00,W. Fuller WR - HOU ,2.20,M. Prater K - DET ,10.00,C. Barth K - CHI ,5.00,C. Santos K - KC ,3.00,Lions DEF ,5.00,-,-,-,-,56.54,the old man,94.04
bob,3,D. Prescott QB - DAL ,6.70,L. Bell RB - PIT ,47.80,J. Howard RB - CHI ,11.00,A. Brown WR - PIT ,7.80,J. Crowder WR - WAS ,3.70,T. Kelce TE - KC ,10.10,D. Freeman RB - ATL ,1.80,C. Sturgis K - PHI ,10.00,Chargers DEF ,4.00,G. Barnidge TE - CLE ,2.70,L. Blount RB - NE ,13.90,D. Bryant WR - DAL ,-1.00,B. LaFell WR - CIN ,2.20,B. Marshall WR - NYJ ,3.30,M. Jones WR - DET ,6.70,R. Tannehill QB - MIA ,17.80,B. Bortles QB - JAX ,15.58,D. Parker WR - MIA ,1.40,D. Funchess WR - CAR ,9.30,T. Gurley RB - LA ,14.30,E. Rogers WR - PIT ,2.00,D. Booker RB - DEN ,1.10,M. Thomas WR - NO ,0.00,Ravens DEF ,6.00,E. Decker WR - NYJ ,0.00,-,-,102.90,LeMar,78.42
the old man,4,T. Brady QB - NE ,26.14,L. McCoy RB - BUF ,16.80,F. Gore RB - IND ,13.40,L. Fitzgerald WR - ARI ,1.20,T. Hilton WR - IND ,17.50,V. Davis TE - WAS ,0.10,A. Cooper WR - LV ,2.90,M. Bryant K - ATL ,6.00,Eagles DEF ,10.00,G. Tate WR - DET ,5.70,T. Taylor QB - BUF ,15.32,D. Baldwin WR - SEA ,4.60,T. Pryor WR - CLE ,0.30,T. Austin WR - LA ,8.90,M. Gillislee RB - BUF ,3.40,C. Thompson RB - WAS ,9.80,J. White RB - NE ,8.40,T. Gabriel WR - ATL ,14.20,C. Walford TE - LV ,2.10,M. Mariota QB - TEN ,7.32,T. Siemian QB - DEN ,17.36,S. Shepard WR - NYG ,3.90,D. Hopkins K - WAS ,3.00,Bills DEF ,6.00,R. Gronkowski TE - NE ,0.00,A. Abdullah RB - DET ,0.00,94.04,Quinten,56.54
Jeff,1,D. Brees QB - NO ,4.48,S. Ware RB - KC ,6.30,D. Johnson RB - ARI ,12.10,O. Beckham WR - NYG ,15.40,T. Williams WR - LAC ,6.80,T. Eifert TE - CIN ,16.80,J. Landry WR - MIA ,8.30,S. Hauschka K - SEA ,4.00,Chiefs DEF ,11.00,M. Forte RB - NYJ ,0.80,J. Charles RB - KC ,0.00,K. Britt WR - LA ,8.20,S. Bradford QB - MIN ,17.38,A. Green WR - CIN ,0.00,M. Floyd WR - NE ,1.80,R. Wilson QB - SEA ,5.50,C. Michael RB - GB ,3.60,I. Crowell RB - CLE ,11.80,T. Coleman RB - ATL ,17.50,J. James TE - PIT ,0.50,M. Jones RB - WAS ,0.00,K. Drake RB - MIA ,1.10,C. Coleman WR - CLE ,2.70,Rams DEF ,1.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,85.18,-,-
Chris,10,A. Smith QB - KC ,11.16,D. Sproles RB - PHI ,10.00,J. Richard RB - LV ,2.90,M. Wallace WR - BAL ,5.20,C. Hogan WR - NE ,19.60,D. Allen TE - IND ,0.00,W. Snead WR - NO ,8.50,J. Tucker K - BAL ,13.00,Vikings DEF ,5.00,P. Garcon WR - WAS ,11.90,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,0.00,J. Witten TE - DAL ,2.60,E. Manning QB - NYG ,5.52,J. Kearse WR - SEA ,0.70,C. Anderson RB - DEN ,0.00,Q. Enunwa WR - NYJ ,2.90,R. Rodgers TE - GB ,0.80,D. Williams RB - MIA ,6.80,D. Johnson RB - CLE ,4.50,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,B. Walsh K ,0.00,Steelers DEF ,8.00,-,-,-,-,75.36,-,-
Matthew,9,K. Cousins QB - WAS ,15.96,J. Ajayi RB - MIA ,6.30,E. Elliott RB - DAL ,10.70,M. Sanu WR - ATL ,0.00,T. Lockett WR - SEA ,5.60,Z. Ertz TE - PHI ,11.20,T. Riddick RB - DET ,0.00,M. Crosby K - GB ,8.00,Redskins DEF ,9.00,J. Flacco QB - BAL ,19.06,E. Royal WR - CHI ,0.00,D. Lewis RB - NE ,1.90,R. Fitzpatrick QB - NYJ ,0.00,C. Ivory RB - JAX ,0.00,C. Fleener TE - NO ,0.60,L. Green TE - PIT ,2.50,K. Wright WR - TEN ,0.00,J. Doyle TE - IND ,5.50,P. Dorsett WR - IND ,1.90,N. Agholor WR - PHI ,2.20,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,13.06,Texans DEF ,8.00,Z. Miller TE - CHI ,0.00,-,-,-,-,66.76,-,-
